channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.1513439252,0.009021441662539006,0.00548800528,0.1521803958,250,0.673,0.028,0.08671956792
28,O2,0.14353369087999998,0.0070678402374001635,-0.02288340896,0.14661783471999998,250,0.673,0.028,0.08671956792
15,T3,0.12618742204,0.009336141947419095,0.1261280266,0.13187062800000002,250,0.673,0.028,0.08671956792
17,CP3,0.12168417596,0.007097150540086876,0.02998220632,0.13965834236,250,0.673,0.028,0.08671956792
16,T4,0.12166018472000001,0.00653895225650467,0.01332268972,0.13468827519999998,250,0.673,0.028,0.08671956792
27,O1,0.12082957600000001,0.010854879918790325,0.05575741696,0.13198808044000002,250,0.673,0.028,0.08671956792
13,C3,0.11258190088,0.010916800256699813,0.06934055039999999,0.1152973186,250,0.673,0.028,0.08671956792
18,CP4,0.11030092404,0.007799917410490528,0.03425216032,0.12720100392,250,0.673,0.028,0.08671956792
0,Fp1,0.10847097272,0.008085373747376808,-0.09457721048,0.12146445572,250,0.673,0.028,0.08671956792
22,P3,0.1061420964,0.009085209156839679,0.105958933,0.11637738,250,0.673,0.028,0.08671956792
2,Fz,0.10555798728,0.006167295441385202,-0.09906189639999999,0.11882597592000001,250,0.673,0.028,0.08671956792
23,P4,0.10479436219999999,0.006520330126667704,-0.09217401544,0.11677398332,250,0.673,0.028,0.08671956792
24,T5,0.10382438472,0.00948580541447748,0.07190947923999999,0.11318074448,250,0.673,0.028,0.08671956792
7,FCz,0.09839360364,0.008439606720856111,0.09741816987999999,0.11308262892000001,250,0.673,0.028,0.08671956792
4,F4,0.09576040944,0.00636563305088802,0.013690449720000001,0.10626146604,250,0.673,0.028,0.08671956792
20,TP8,0.09061058611999999,0.0071112600868699066,-0.05919195728,0.10975610924,250,0.673,0.028,0.08671956792
10,FT7,0.08934586708,0.00735971434227925,-0.056347962359999997,0.10332346532,250,0.673,0.028,0.08671956792
3,F3,0.0870608876,0.006416186519374181,0.027223515160000003,0.09465110404,250,0.673,0.028,0.08671956792
14,C4,0.08591245476,0.006058757520456326,-0.07403943936,0.09660647212000001,250,0.673,0.028,0.08671956792
5,F7,0.08490560879999999,0.006926899446132209,0.08166847564,0.0983511328,250,0.673,0.028,0.08671956792
19,TP7,0.08463392400000001,0.0068676270489755695,-0.019804093640000003,0.09548989664,250,0.673,0.028,0.08671956792
11,FT8,0.08089126896,0.008508664392504622,-0.0035645079600000002,0.09785167824,250,0.673,0.028,0.08671956792
25,T6,0.08020523872,0.0075977340429751765,-0.06157220512,0.09201826572,250,0.673,0.028,0.08671956792
26,Oz,0.07784680976,0.008055936039887288,0.04234295272,0.08098991968,250,0.673,0.028,0.08671956792
12,Cz,0.07751290828,0.007677255652734249,0.07424083131999999,0.09225129096000001,250,0.673,0.028,0.08671956792
1,Fp2,0.07744000396,0.00693065519952272,0.06083548616,0.09543085452,250,0.673,0.028,0.08671956792
6,F8,0.0763529154,0.009518460264496613,-0.028081487800000002,0.07869983888,250,0.673,0.028,0.08671956792
9,FC4,0.058803597240000005,0.0058038088108435205,-0.05554724744,0.07572342144,250,0.673,0.028,0.08671956792
8,FC3,0.032871102640000004,0.008209096839912685,0.00535848688,0.03968690512,250,0.673,0.028,0.08671956792
