subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.11841099,-0.09376165,0.1303786,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,1,Fp2,0.0797444,0.06972025,0.09853967,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,2,Fz,0.10881212,-0.09763713,0.12075017,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,3,F3,0.08767553,0.02177031,0.09419066,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,4,F4,0.09281254,0.01519625,0.09973702,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,5,F7,0.0829678,0.0829678,0.09513269,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,6,F8,0.06497946,-0.02328081,0.06749678,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,7,FCz,0.10664637,0.10664637,0.12262663,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,8,FC3,0.0214399,0.00077407,0.02166774,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,9,FC4,0.06220371,-0.05820831,0.07667036,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,10,FT7,0.08506425,-0.06123823,0.10129069,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,11,FT8,0.07858856,-0.0082491,0.09272694,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,12,Cz,0.08674615,0.08674615,0.10259765,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,13,C3,0.11029468,0.05425619,0.11070737,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,14,C4,0.08486164,-0.07598548,0.09457535,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,15,T3,0.11410797,0.11410797,0.12455167,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,16,T4,0.12293054,0.00302527,0.13421197,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,17,CP3,0.12440962,0.03025881,0.14401086,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,18,CP4,0.11075231,0.03759134,0.12968203,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,19,TP7,0.07831305,-0.03656502,0.09575035,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,20,TP8,0.09024569,-0.06617138,0.11416519,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,21,Pz,0.1570529,0.01537035,0.15880585,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,22,P3,0.10347139,0.10347139,0.11680052,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,23,P4,0.10358191,-0.08958938,0.11332571,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,24,T5,0.09663771,0.06079226,0.10520343,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,25,T6,0.07577124,-0.05930269,0.08352108,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,26,Oz,0.07582189,0.04119826,0.07705916,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,27,O1,0.13697256,0.06198423,0.14354464,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,1,28,O2,0.13583384,-0.02701574,0.13967517,0.5,0.5,"[4, 4]",0.5,False,0.17110721,0.04629608,0.14336841,True
1,2,0,Fp1,0.12160687,-0.09240203,0.13007404,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,1,Fp2,0.07290377,0.05797807,0.09512737,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,2,Fz,0.10939722,-0.10939722,0.12630214,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,3,F3,0.08994012,0.02839816,0.09460668,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,4,F4,0.08709183,0.00600776,0.09824713,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,5,F7,0.08471843,0.08471843,0.09561151,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,6,F8,0.06345528,-0.02667966,0.06378302,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,7,FCz,0.09116486,0.08495834,0.10524417,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,8,FC3,0.02074928,0.00077889,0.02160722,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,9,FC4,0.05561316,-0.05511239,0.07335579,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,10,FT7,0.08493999,-0.0565993,0.09581196,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,11,FT8,0.09212449,-0.01871769,0.1060805,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,12,Cz,0.07195497,0.06847771,0.09154896,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,13,C3,0.11984439,0.0573858,0.12099694,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,14,C4,0.08676102,-0.08676102,0.09856941,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,15,T3,0.12121468,0.12121468,0.12750369,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,16,T4,0.12202919,0.00064815,0.13343865,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,17,CP3,0.11911343,0.01756807,0.13904652,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,18,CP4,0.11279327,0.04061352,0.12739581,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,19,TP7,0.07927397,-0.03082085,0.09274115,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,20,TP8,0.09475248,-0.05470797,0.11144222,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,21,Pz,0.15803863,0.00531715,0.15943161,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,22,P3,0.09868899,0.09868899,0.10861912,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,23,P4,0.0975493,-0.08186378,0.10624199,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,24,T5,0.10147911,0.07415704,0.1124504,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,25,T6,0.07624392,-0.05194123,0.08353761,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,26,Oz,0.07854274,0.04982372,0.08037943,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,27,O1,0.144228,0.07488183,0.15194517,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,2,28,O2,0.13875273,-0.00895306,0.14062761,0.5,0.5,"[8, 0]",1.0,True,0.17778156,0.03948834,0.14896075,True
1,3,0,Fp1,0.10909883,-0.09594661,0.12221435,0.5,0.5,"[4, 4]",0.5,False,0.01214664,0.00233095,0.0101775,True
1,3,1,Fp2,0.07790334,0.06126999,0.0956342,0.5,0.5,"[4, 4]",0.5,False,0.01214664,0.00233095,0.0101775,True
1,3,2,Fz,0.10468951,-0.09913206,0.11823934,0.5,0.5,"[4, 4]",0.5,False,0.01214664,0.00233095,0.0101775,True
1,3,3,F3,0.08716932,0.02682954,0.09387562,0.5,0.5,"[4, 4]",0.5,False,0.01214664,0.00233095,0.0101775,True
1,3,4,F4,0.09704901,0.0124281,0.10722526,0.5,0.5,"[4, 4]",0.5,False,0.01214664,0.00233095,0.0101775,True
1,3,5,F7,0.08371425,0.08058594,0.09695665,0.5,0.5,"[4, 4]",0.5,False,0.01214664,0.00233095,0.0101775,True
1,3,6,F8,0.0767457,-0.02793982,0.07786807,0.5,0.5,"[4, 4]",0.5,False,0.01214664,0.00233095,0.0101775,True
1,3,7,FCz,0.0983446,0.0983446,0.11372732,0.5,0.5,"[4, 4]",0.5,False,0.01214664,0.00233095,0.0101775,True
