subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01243012,0.00232858,0.01046814,True,0.50387906,0.9999419,1658
1,2,0.625,0.625,"[5, 3]",0.625,False,0,1.13534909,0.30572149,0.95614458,True,0.58402672,0.97214943,1658
1,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01125161,0.00211574,0.00947565,True,0.50394846,0.9999374,1658
1,4,0.75,0.75,"[4, 4]",0.5,False,0,1.17024554,0.29966067,0.98553294,True,0.6016461,0.95858228,1658
1,5,0.5,0.5,"[4, 4]",0.5,False,0,1.02839295,0.29845537,0.86607049,True,0.55809642,0.98339721,1658
2,1,0.75,0.75,"[6, 2]",0.75,False,0,0.69192179,0.16490482,0.58270824,True,0.6248044,0.94480188,1658
2,2,0.5,0.5,"[4, 4]",0.5,False,0,0.98873107,0.33171758,0.83266888,True,0.56760366,0.98412326,1658
2,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01221702,0.00221969,0.01028867,True,0.50506517,0.99990913,1658
2,4,0.75,0.75,"[4, 4]",0.5,False,0,0.9832436,0.24112624,0.82804756,True,0.64591634,0.91116224,1658
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01383354,0.00224029,0.01165004,True,0.50573173,0.99987559,1658
3,1,0.25,0.25,"[4, 4]",0.5,False,0,1.31104484,0.32174713,1.10410836,True,0.781891,0.69709145,1658
3,2,0.5,0.5,"[2, 6]",0.75,False,1,1.34375053,0.32995991,1.13165175,True,0.74254958,0.7338116,1658
3,3,0.625,0.625,"[1, 7]",0.875,False,1,0.01348574,0.00216785,0.01135714,True,0.50496332,0.99991335,1658
3,4,0.625,0.625,"[3, 5]",0.625,False,1,1.35351998,0.37445344,1.13987919,True,0.76062743,0.69525585,1658
3,5,0.5,0.5,"[0, 8]",1.0,True,1,0.02042197,0.00420585,0.01719854,True,0.50585422,0.99989361,1658
4,1,0.75,0.75,"[4, 4]",0.5,False,0,0.35621667,0.10288832,0.29999111,True,0.57374921,0.9742926,1658
4,2,0.625,0.625,"[3, 5]",0.625,False,1,0.8330934,0.21101289,0.7015972,True,0.69831488,0.82064781,1658
4,3,0.5,0.5,"[2, 6]",0.75,False,1,0.01244074,0.00219211,0.01047708,True,0.50507191,0.99989777,1658
4,4,0.75,0.75,"[2, 6]",0.75,False,1,1.06445687,0.25282819,0.89644205,True,0.73149923,0.74966178,1658
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01172932,0.00234863,0.00987795,True,0.50454982,0.999936,1658
5,1,0.5,0.5,"[6, 2]",0.75,False,0,0.73516609,0.15633024,0.61912682,True,0.53306928,0.99459625,1658
5,2,0.75,0.75,"[6, 2]",0.75,False,0,1.0266458,0.24989342,0.86459911,True,0.64058438,0.91926075,1658
5,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01197942,0.0021822,0.01008858,True,0.50606595,0.99987884,1658
5,4,0.625,0.625,"[3, 5]",0.625,False,1,1.11114349,0.24713831,0.93575961,True,0.55925932,0.9878394,1658
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01265928,0.0021044,0.01066113,True,0.50464944,0.99992981,1658
6,1,0.625,0.625,"[3, 5]",0.625,False,1,1.17790722,0.28189403,0.9919853,True,0.65737804,0.90647689,1658
6,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01325028,0.00210257,0.01115884,True,0.50677752,0.99983197,1658
6,3,0.5,0.5,"[4, 4]",0.5,False,0,0.84191631,0.19480091,0.70902749,True,0.67307534,0.87404759,1658
6,4,0.625,0.625,"[5, 3]",0.625,False,0,0.40242147,0.0971742,0.3389029,True,0.54342251,0.99016017,1658
