subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.11381356,0.05276548,0.12989011,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,1,Fp2,0.09250347,-0.02665088,0.10873834,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,2,Fz,0.08789826,-0.01242012,0.09826612,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,3,F3,0.06494512,-0.02280718,0.0770981,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,4,F4,0.09687716,0.00268735,0.11617142,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,5,F7,0.09954184,-0.03817202,0.11177276,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,6,F8,0.10344593,0.0041489,0.12560344,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,7,FCz,0.12210613,0.01178481,0.12748136,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,8,FC3,0.07191952,-0.01671301,0.07944246,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,9,FC4,0.12087565,-0.05222485,0.12862408,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,10,FT7,0.06290892,-0.04294466,0.08285762,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,11,FT8,0.10664566,-0.03718529,0.11420599,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,12,Cz,0.12919468,-0.07959454,0.13231513,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,13,C3,0.11075179,0.05153716,0.1163397,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,14,C4,0.12213244,-0.04869326,0.12972754,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,15,T3,0.09766345,-0.01591143,0.12282601,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,16,T4,0.07711272,-0.00800774,0.10463528,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,17,CP3,0.05913243,-0.01081567,0.07739944,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,18,CP4,0.10021883,-0.05274573,0.10432659,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,19,TP7,0.09345552,0.07085164,0.10971827,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,20,TP8,0.06639586,-0.06639586,0.09584577,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,21,Pz,0.10343281,0.00253855,0.10943258,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,22,P3,0.08332169,-0.05991328,0.10490107,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,23,P4,0.12429401,-0.12429401,0.1278253,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,24,T5,0.06614734,0.03537896,0.07524053,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,25,T6,0.07494095,-0.00458161,0.08755163,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,26,Oz,0.13299702,0.07397862,0.13928321,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,27,O1,0.10273871,-0.00606411,0.11469752,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,1,28,O2,0.09347251,0.07060482,0.10294026,0.5,0.5,"[0, 8]",1.0,True,0.01243012,0.00232858,0.01046814,True
1,2,0,Fp1,0.10175335,0.03147642,0.11545276,0.625,0.625,"[5, 3]",0.625,False,1.13534909,0.30572149,0.95614458,True
1,2,1,Fp2,0.06693859,-0.0182207,0.07248534,0.625,0.625,"[5, 3]",0.625,False,1.13534909,0.30572149,0.95614458,True
1,2,2,Fz,0.07812424,-0.07576728,0.10751288,0.625,0.625,"[5, 3]",0.625,False,1.13534909,0.30572149,0.95614458,True
1,2,3,F3,0.04833559,-0.02793577,0.06180957,0.625,0.625,"[5, 3]",0.625,False,1.13534909,0.30572149,0.95614458,True
1,2,4,F4,0.04820866,-0.01835326,0.05610268,0.625,0.625,"[5, 3]",0.625,False,1.13534909,0.30572149,0.95614458,True
1,2,5,F7,0.06300778,-0.0162622,0.06996138,0.625,0.625,"[5, 3]",0.625,False,1.13534909,0.30572149,0.95614458,True
1,2,6,F8,0.08149151,0.05379802,0.11596925,0.625,0.625,"[5, 3]",0.625,False,1.13534909,0.30572149,0.95614458,True
1,2,7,FCz,0.15044527,0.04638493,0.16743325,0.625,0.625,"[5, 3]",0.625,False,1.13534909,0.30572149,0.95614458,True
1,2,8,FC3,0.16381301,-0.10509454,0.16756418,0.625,0.625,"[5, 3]",0.625,False,1.13534909,0.30572149,0.95614458,True
1,2,9,FC4,0.03379158,-0.00752227,0.04181319,0.625,0.625,"[5, 3]",0.625,False,1.13534909,0.30572149,0.95614458,True
1,2,10,FT7,0.07891827,-0.03541368,0.09530832,0.625,0.625,"[5, 3]",0.625,False,1.13534909,0.30572149,0.95614458,True
1,2,11,FT8,0.12496215,-0.0185258,0.14638796,0.625,0.625,"[5, 3]",0.625,False,1.13534909,0.30572149,0.95614458,True
1,2,12,Cz,0.05764988,-0.04673627,0.07493763,0.625,0.625,"[5, 3]",0.625,False,1.13534909,0.30572149,0.95614458,True
