subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.25,0.25,"[2, 6]",0.75,False,1,1.51824205,0.4400188,1.24944892,True,0.63749404,0.92079379,1658
1,2,0.625,0.625,"[5, 3]",0.625,False,0,0.71365897,0.16272803,0.58731112,True,0.52461997,0.99724005,1658
1,3,0.625,0.625,"[3, 5]",0.625,False,1,1.29950225,0.36117838,1.06943532,True,0.67212397,0.88499732,1658
1,4,0.5,0.5,"[6, 2]",0.75,False,0,0.03571519,0.00742879,0.02939209,True,0.5008857,0.99999588,1658
1,5,0.75,0.75,"[4, 4]",0.5,False,0,0.37719088,0.09114684,0.31041212,True,0.50791863,0.99963181,1658
2,1,0.375,0.375,"[5, 3]",0.625,False,0,1.18733822,0.29092252,0.97712907,True,0.81157441,0.62552237,1658
2,2,0.375,0.375,"[3, 5]",0.625,False,1,0.45383611,0.11223799,0.3734879,True,0.53436662,0.99596504,1658
2,3,0.375,0.375,"[5, 3]",0.625,False,0,1.09906132,0.31573913,0.90448092,True,0.68803851,0.84073629,1658
2,4,0.75,0.75,"[2, 6]",0.75,False,1,0.82115846,0.25306007,0.67577864,True,0.56532584,0.97535171,1658
2,5,0.625,0.625,"[5, 3]",0.625,False,0,0.90666407,0.22435698,0.74614614,True,0.78219994,0.70620864,1658
3,1,0.25,0.25,"[4, 4]",0.5,False,0,1.30490453,0.2939612,1.07388117,True,0.68573958,0.81996054,1658
3,2,0.625,0.625,"[5, 3]",0.625,False,0,0.34784005,0.0694508,0.28625763,True,0.5158046,0.99880894,1658
3,3,0.5,0.5,"[4, 4]",0.5,False,0,0.97391765,0.28125831,0.80149299,True,0.62846836,0.92574386,1658
3,4,0.875,0.875,"[5, 3]",0.625,False,0,0.19617352,0.03745652,0.1614425,True,0.5107496,0.99951264,1658
3,5,0.5,0.5,"[2, 6]",0.75,False,1,0.85188264,0.25703517,0.70106334,True,0.61437825,0.92674616,1658
4,1,0.625,0.625,"[3, 5]",0.625,False,1,0.01150108,0.00203926,0.0094649,True,0.5015742,0.99998888,1658
4,2,0.625,0.625,"[1, 7]",0.875,False,1,0.5764958,0.16344681,0.47443163,True,0.53910724,0.99380189,1658
4,3,0.375,0.375,"[1, 7]",0.875,False,1,0.05091739,0.00895692,0.04190285,True,0.50411916,0.99991818,1658
4,4,0.375,0.375,"[3, 5]",0.625,False,1,0.05948067,0.01275868,0.04895007,True,0.50421842,0.9999383,1658
4,5,0.625,0.625,"[3, 5]",0.625,False,1,0.72360427,0.26153095,0.59549567,True,0.61308359,0.94352528,1658
5,1,0.625,0.625,"[3, 5]",0.625,False,1,0.01308222,0.00223338,0.01076612,True,0.50191866,0.99998414,1658
5,2,0.375,0.375,"[3, 5]",0.625,False,1,0.01221889,0.00221271,0.01005563,True,0.50104041,0.99999469,1658
5,3,0.75,0.75,"[4, 4]",0.5,False,0,0.01278143,0.00234054,0.01051857,True,0.50129592,0.99999291,1658
5,4,0.5,0.5,"[4, 4]",0.5,False,0,1.10970759,0.24659175,0.91324235,True,0.56227155,0.9860984,1658
5,5,0.5,0.5,"[4, 4]",0.5,False,0,0.01263213,0.00227396,0.01039571,True,0.50177291,0.99998843,1658
6,1,0.625,0.625,"[5, 3]",0.625,False,0,0.33364927,0.07899462,0.27457922,True,0.54472528,0.99275902,1658
6,2,0.5,0.5,"[4, 4]",0.5,False,0,1.02046263,0.34215288,0.83979753,True,0.70956866,0.81889172,1658
6,3,0.75,0.75,"[4, 4]",0.5,False,0,0.14522491,0.03883199,0.11951395,True,0.51245371,0.99940715,1658
6,4,0.375,0.375,"[3, 5]",0.625,False,1,0.01280885,0.00217986,0.01054114,True,0.50188933,0.99997931,1658
6,5,0.5,0.5,"[2, 6]",0.75,False,1,1.02290658,0.23629493,0.8418088,True,0.68426029,0.85086328,1658
7,1,0.5,0.5,"[2, 6]",0.75,False,1,0.0127212,0.00217402,0.01046901,True,0.5017905,0.99998775,1658
7,2,0.625,0.625,"[3, 5]",0.625,False,1,0.43519981,0.11019098,0.35815102,True,0.5371519,0.99043548,1658
7,3,0.875,0.875,"[5, 3]",0.625,False,0,0.01198859,0.00219734,0.00986611,True,0.50252033,0.99996283,1658
7,4,0.75,0.75,"[2, 6]",0.75,False,1,0.30231157,0.0639898,0.24878962,True,0.52424914,0.99652706,1658
7,5,0.5,0.5,"[4, 4]",0.5,False,0,0.54738816,0.13210895,0.45047728,True,0.57920406,0.9683083,1658
8,1,1.0,1.0,"[4, 4]",0.5,False,0,1.13011913,0.34620452,0.93004019,True,0.86652607,0.4865385,1658
8,2,0.75,0.75,"[6, 2]",0.75,False,0,0.92034112,0.2399833,0.75740177,True,0.7184561,0.81016381,1658
8,3,0.625,0.625,"[7, 1]",0.875,False,0,1.16891059,0.35964942,0.96196391,True,0.7939862,0.6623171,1658
8,4,0.875,0.875,"[5, 3]",0.625,False,0,0.90317945,0.25407477,0.74327844,True,0.76467282,0.75936552,1658
8,5,0.5,0.5,"[4, 4]",0.5,False,0,0.98950722,0.22355019,0.81432254,True,0.86805307,0.37573931,1658
9,1,0.375,0.375,"[1, 7]",0.875,False,1,0.16199512,0.03476371,0.13331512,True,0.51039967,0.99958359,1658
9,2,0.625,0.625,"[3, 5]",0.625,False,1,0.06938411,0.01465787,0.05710018,True,0.50324708,0.99995932,1658
9,3,0.625,0.625,"[3, 5]",0.625,False,1,0.00953903,0.00228533,0.00785022,True,0.50317321,0.99995994,1658
9,4,0.625,0.625,"[3, 5]",0.625,False,1,0.01067589,0.00230347,0.0087858,True,0.50260827,0.999977,1658
9,5,0.25,0.25,"[2, 6]",0.75,False,1,0.01126716,0.00231074,0.0092724,True,0.5019339,0.99997998,1658
10,1,0.5,0.5,"[2, 6]",0.75,False,1,0.00974773,0.00204733,0.00802197,True,0.50263237,0.99997259,1658
10,2,0.375,0.375,"[5, 3]",0.625,False,0,0.02011344,0.00380772,0.01655251,True,0.50231563,0.99998208,1658
10,3,0.625,0.625,"[5, 3]",0.625,False,0,0.90552518,0.21504839,0.74520888,True,0.55911801,0.98511569,1658
10,4,0.25,0.25,"[2, 6]",0.75,False,1,0.02195594,0.00441268,0.01806881,True,0.50211594,0.99997969,1658
10,5,0.375,0.375,"[5, 3]",0.625,False,0,0.99505114,0.23203507,0.81888495,True,0.68755069,0.87092198,1658
11,1,0.25,0.25,"[2, 6]",0.75,False,1,0.01370805,0.00205487,0.01128115,True,0.50180087,0.99998811,1658
11,2,0.375,0.375,"[5, 3]",0.625,False,0,1.0791306,0.3191746,0.88807879,True,0.64468259,0.90484635,1658
11,3,0.75,0.75,"[2, 6]",0.75,False,1,0.01330313,0.00227221,0.01094791,True,0.50181817,0.99998264,1658
11,4,0.625,0.625,"[3, 5]",0.625,False,1,0.01053847,0.00202093,0.00867271,True,0.50123902,0.99998955,1658
11,5,0.625,0.625,"[1, 7]",0.875,False,1,0.01251203,0.00235308,0.01029687,True,0.50142973,0.9999912,1658
12,1,0.625,0.625,"[3, 5]",0.625,False,1,0.52069807,0.14069753,0.42851246,True,0.59317464,0.97167193,1658
12,2,0.625,0.625,"[1, 7]",0.875,False,1,1.19210458,0.27968365,0.98105159,True,0.71902861,0.78212565,1658
12,3,0.625,0.625,"[3, 5]",0.625,False,1,0.76339346,0.19891886,0.62824049,True,0.60408918,0.94736136,1658
12,4,0.75,0.75,"[4, 4]",0.5,False,0,0.03228865,0.00558043,0.02657219,True,0.50294679,0.99994863,1658
12,5,0.375,0.375,"[5, 3]",0.625,False,0,0.88179928,0.23851742,0.72568347,True,0.58357018,0.96637596,1658
13,1,0.625,0.625,"[5, 3]",0.625,False,0,0.47960029,0.11619263,0.39469073,True,0.55790671,0.98712706,1658
13,2,0.875,0.875,"[5, 3]",0.625,False,0,0.78223809,0.213503,0.64374882,True,0.66745383,0.89099007,1658
13,3,0.375,0.375,"[3, 5]",0.625,False,1,0.51318213,0.12041597,0.42232716,True,0.57467177,0.97648897,1658
13,4,1.0,1.0,"[4, 4]",0.5,False,0,1.40489776,0.37665741,1.15617137,True,0.86366764,0.40017616,1658
13,5,0.75,0.75,"[4, 4]",0.5,False,0,1.03804603,0.28530292,0.85426793,True,0.79796287,0.67877723,1658
14,1,0.5,0.5,"[2, 6]",0.75,False,1,1.17817457,0.29317836,0.96958778,True,0.66427262,0.8959991,1658
14,2,0.75,0.75,"[6, 2]",0.75,False,0,0.81426068,0.21126861,0.67010206,True,0.57176413,0.9802079,1658
14,3,0.625,0.625,"[5, 3]",0.625,False,0,0.01205816,0.00231592,0.00992336,True,0.50119826,0.99999449,1658
14,4,0.25,0.25,"[2, 6]",0.75,False,1,0.73689026,0.16008066,0.60642948,True,0.57737669,0.97977939,1658
14,5,0.75,0.75,"[4, 4]",0.5,False,0,1.30931014,0.33804281,1.0775068,True,0.66587286,0.87533128,1658
15,1,0.75,0.75,"[2, 6]",0.75,False,1,0.01324931,0.0023106,0.01090362,True,0.50198314,0.99998584,1658
15,2,0.5,0.5,"[2, 6]",0.75,False,1,0.63648534,0.11270414,0.52380048,True,0.5200665,0.99837067,1658
15,3,0.375,0.375,"[3, 5]",0.625,False,1,0.01284473,0.00233099,0.01057067,True,0.50131246,0.99999379,1658
15,4,0.75,0.75,"[4, 4]",0.5,False,0,0.01341625,0.00223703,0.011041,True,0.50235383,0.99996916,1658
15,5,0.5,0.5,"[6, 2]",0.75,False,0,1.3201207,0.35637134,1.08640344,True,0.61272074,0.92727492,1658
16,1,0.375,0.375,"[1, 7]",0.875,False,1,0.01335165,0.00208884,0.01098784,True,0.50279152,0.99997267,1658
16,2,0.75,0.75,"[4, 4]",0.5,False,0,0.20878212,0.05253562,0.17181884,True,0.50743873,0.99973739,1658
16,3,0.375,0.375,"[3, 5]",0.625,False,1,1.11358331,0.27102259,0.91643191,True,0.73419768,0.76270577,1658
16,4,0.5,0.5,"[4, 4]",0.5,False,0,0.01253472,0.00227796,0.01031555,True,0.5017769,0.99998498,1658
16,5,0.25,0.25,"[4, 4]",0.5,False,0,0.81157126,0.25404508,0.66788878,True,0.61157957,0.95753644,1658
17,1,0.5,0.5,"[6, 2]",0.75,False,0,0.30307657,0.08380037,0.24941918,True,0.51462047,0.99907273,1658
17,2,0.5,0.5,"[4, 4]",0.5,False,0,0.78952296,0.20647636,0.64974396,True,0.57838523,0.97186588,1658
17,3,0.75,0.75,"[2, 6]",0.75,False,1,0.01200594,0.00222124,0.00988038,True,0.50181312,0.99998747,1658
17,4,0.625,0.625,"[5, 3]",0.625,False,0,0.05444713,0.01019542,0.04480768,True,0.50335795,0.99995695,1658
