subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.375,0.375,"[7, 1]",0.875,False,0,0.0114382,0.00229679,0.01087259,True,0.50232051,0.99997657,1658
1,2,0.5,0.5,"[2, 6]",0.75,False,1,0.60306268,0.13518224,0.5732418,True,0.54560299,0.99161446,1658
1,3,0.375,0.375,"[5, 3]",0.625,False,0,0.22091025,0.04628185,0.20998645,True,0.50808838,0.99968957,1658
1,4,0.5,0.5,"[2, 6]",0.75,False,1,0.40670284,0.08218523,0.38659177,True,0.52063052,0.99809342,1658
1,5,0.375,0.375,"[5, 3]",0.625,False,0,0.6576331,0.15259225,0.62511376,True,0.52851705,0.99673958,1658
2,1,0.5,0.5,"[6, 2]",0.75,False,0,0.19583426,0.05204596,0.18615044,True,0.51535739,0.99902385,1658
2,2,0.75,0.75,"[4, 4]",0.5,False,0,0.44413985,0.10366784,0.42217755,True,0.55125478,0.99055003,1658
2,3,0.625,0.625,"[5, 3]",0.625,False,0,0.65940405,0.25224768,0.62679714,True,0.5943618,0.96286008,1658
2,4,0.625,0.625,"[3, 5]",0.625,False,1,0.26645211,0.06577682,0.25327631,True,0.54039204,0.99216992,1658
2,5,0.75,0.75,"[6, 2]",0.75,False,0,0.01274031,0.00218525,0.01211032,True,0.50281122,0.99997011,1658
3,1,0.75,0.75,"[4, 4]",0.5,False,0,1.38157781,0.34946972,1.31326009,True,0.84571658,0.43768847,1658
3,2,0.625,0.625,"[3, 5]",0.625,False,1,0.96424,0.23328931,0.91655924,True,0.57883585,0.97336556,1658
3,3,0.5,0.5,"[4, 4]",0.5,False,0,1.20055309,0.30006967,1.14118687,True,0.65955642,0.91341583,1658
3,4,0.75,0.75,"[4, 4]",0.5,False,0,1.11461256,0.29342267,1.05949602,True,0.67732404,0.87461532,1658
3,5,1.0,1.0,"[4, 4]",0.5,False,0,0.97296126,0.34111757,0.92484925,True,0.64282344,0.88121523,1658
4,1,0.375,0.375,"[5, 3]",0.625,False,0,0.61536954,0.18287586,0.5849401,True,0.61472733,0.93911623,1658
4,2,0.5,0.5,"[6, 2]",0.75,False,0,0.87392556,0.202594,0.83071077,True,0.68273141,0.84492404,1658
4,3,0.375,0.375,"[1, 7]",0.875,False,1,0.44799549,0.12389604,0.42584254,True,0.56674555,0.98152588,1658
4,4,0.625,0.625,"[5, 3]",0.625,False,0,1.05637859,0.3422256,1.00414167,True,0.5842777,0.96323825,1658
4,5,0.75,0.75,"[6, 2]",0.75,False,0,0.01368864,0.00228812,0.01301175,True,0.50348068,0.99995574,1658
5,1,0.75,0.75,"[6, 2]",0.75,False,0,0.01100447,0.0021127,0.01046031,True,0.50244257,0.99997937,1658
5,2,0.25,0.25,"[4, 4]",0.5,False,0,0.20788047,0.03898698,0.19760098,True,0.50358068,0.99992927,1658
5,3,0.625,0.625,"[7, 1]",0.875,False,0,0.01181179,0.00229849,0.0112277,True,0.50136043,0.99999296,1658
5,4,0.25,0.25,"[2, 6]",0.75,False,1,0.95760298,0.30234022,0.91025042,True,0.56696697,0.98327494,1658
