subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.10153764,-0.09405734,0.11655787,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,1,Fp2,0.08193396,0.05983913,0.09691953,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,2,Fz,0.100715,-0.08447555,0.10833706,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,3,F3,0.08765363,0.02537531,0.0980438,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,4,F4,0.08150186,0.00312484,0.09338075,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,5,F7,0.08483841,0.08258604,0.09962166,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,6,F8,0.07697618,-0.04056824,0.07782655,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,7,FCz,0.10830615,0.10830615,0.12443119,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,8,FC3,0.03338559,0.00704903,0.03623322,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,9,FC4,0.06456979,-0.06456979,0.07832546,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,10,FT7,0.09505144,-0.05978921,0.1177256,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,11,FT8,0.07844122,0.00232155,0.09315091,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,12,Cz,0.08338092,0.08338092,0.10317011,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,13,C3,0.1184443,0.06116536,0.12006755,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,14,C4,0.07236842,-0.07126073,0.08628598,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,15,T3,0.13606216,0.13606216,0.1428872,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,16,T4,0.11403377,0.00469633,0.12462546,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,17,CP3,0.12027122,0.03816088,0.13678952,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,18,CP4,0.10449351,0.0366169,0.12770678,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,19,TP7,0.08219641,-0.02740229,0.0981174,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,20,TP8,0.08380887,-0.0584503,0.10412569,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,21,Pz,0.15041877,0.01767254,0.15149507,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,22,P3,0.11238846,0.11238846,0.12399624,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,23,P4,0.09122355,-0.08681154,0.10439671,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,24,T5,0.10228439,0.06945216,0.11475437,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,25,T6,0.08324865,-0.05580935,0.09003705,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,26,Oz,0.06764966,0.03616515,0.06804734,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,27,O1,0.12133752,0.05407688,0.13502897,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,1,28,O2,0.14676969,-0.02575986,0.15250225,0.375,0.375,"[5, 3]",0.625,False,0.17442265,0.03396326,0.14614636,True
1,2,0,Fp1,0.10934035,-0.0959328,0.12238886,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,1,Fp2,0.07821311,0.06203204,0.09590115,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,2,Fz,0.1041649,-0.09816627,0.11745252,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,3,F3,0.08814859,0.02752966,0.09472772,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,4,F4,0.09745084,0.01296214,0.10739698,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,5,F7,0.08400442,0.08117305,0.09736238,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,6,F8,0.07685608,-0.02913557,0.07780996,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,7,FCz,0.09969866,0.09969866,0.11488552,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,8,FC3,0.03107002,0.0061447,0.03732624,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,9,FC4,0.05819428,-0.05819428,0.07669865,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,10,FT7,0.09077238,-0.05899226,0.10441016,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,11,FT8,0.08051756,-0.00328847,0.09725521,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,12,Cz,0.07801866,0.07634168,0.09348118,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,13,C3,0.11518477,0.07254356,0.11737151,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,14,C4,0.08545309,-0.07438691,0.09566495,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,15,T3,0.12616529,0.12616529,0.13140102,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,16,T4,0.12195285,0.01392367,0.13435039,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,17,CP3,0.12148143,0.03293465,0.13980083,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,18,CP4,0.11082903,0.03468382,0.12777846,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,19,TP7,0.08444356,-0.01880628,0.09467649,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,20,TP8,0.08918505,-0.05948695,0.10843687,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,21,Pz,0.15317288,0.00693119,0.15336674,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,22,P3,0.10792095,0.10792095,0.11723422,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,23,P4,0.10504607,-0.09355091,0.11712059,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,24,T5,0.1051126,0.07312718,0.11451861,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,25,T6,0.08148713,-0.06216933,0.09235033,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,26,Oz,0.07737515,0.04203331,0.07975887,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,27,O1,0.1218373,0.05575809,0.13242032,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,2,28,O2,0.1438235,-0.02413603,0.14667474,0.5,0.5,"[8, 0]",1.0,True,0.00788963,0.00119975,0.00661061,True
1,3,0,Fp1,0.10872021,-0.1004955,0.12676734,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,1,Fp2,0.05129715,0.02687702,0.06462767,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,2,Fz,0.0928534,-0.07261488,0.10056116,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,3,F3,0.0941833,0.04900512,0.10976797,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,4,F4,0.05808247,-0.03677521,0.09355932,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,5,F7,0.10121018,0.10121018,0.10813459,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,6,F8,0.07720098,-0.063205,0.08594786,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,7,FCz,0.12124196,0.12124196,0.13936298,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,8,FC3,0.03998309,0.03998309,0.0453258,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,9,FC4,0.04815956,-0.04755324,0.07071009,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,10,FT7,0.05899284,-0.04772499,0.07514001,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,11,FT8,0.05576007,0.00423032,0.06969571,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,12,Cz,0.09776349,0.0926481,0.11886672,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,13,C3,0.08716734,0.04243691,0.089454,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,14,C4,0.09503486,-0.09503486,0.11058669,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,15,T3,0.13319154,0.13319154,0.13633907,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,16,T4,0.10574414,0.00257051,0.11075979,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,17,CP3,0.12972482,0.0308394,0.14953825,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,18,CP4,0.1479609,0.08830442,0.15593512,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,19,TP7,0.08372606,-0.04766109,0.10273245,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,20,TP8,0.07210569,-0.03652993,0.08126534,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,21,Pz,0.1342328,0.04473604,0.14342125,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,22,P3,0.12093548,0.12093548,0.15293001,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,23,P4,0.07523149,-0.07523149,0.08898479,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,24,T5,0.07669053,0.020198,0.090574,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
1,3,25,T6,0.1060219,-0.08306612,0.11424784,0.25,0.25,"[4, 4]",0.5,False,0.45272587,0.08858378,0.37933285,True
