channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.15218818324,0.0069930443182568205,0.00681920384,0.15270427564,250,0.7895,0.296,0.07415246844000001
28,O2,0.144826143,0.006101367262744354,-0.0233268742,0.14777289252,250,0.7895,0.296,0.07415246844000001
15,T3,0.12636460144,0.005535139918085777,0.12636460144,0.13202074644,250,0.7895,0.296,0.07415246844000001
17,CP3,0.12151400476,0.0059281297689816196,0.03108239984,0.13955864764,250,0.7895,0.296,0.07415246844000001
27,O1,0.12119829248000001,0.006378186898829056,0.05594947416,0.13227680124,250,0.7895,0.296,0.07415246844000001
16,T4,0.12118161211999999,0.004860314828315352,0.01329684208,0.13392302704,250,0.7895,0.296,0.07415246844000001
13,C3,0.11398036208000001,0.007285360077279789,0.07067386212,0.1166508528,250,0.7895,0.296,0.07415246844000001
18,CP4,0.11148445264,0.005988024201532657,0.03467033812,0.12856218744,250,0.7895,0.296,0.07415246844000001
0,Fp1,0.10979715867999999,0.005572349484663463,-0.09559564704000001,0.12262161836,250,0.7895,0.296,0.07415246844000001
22,P3,0.1063898818,0.006666292078614222,0.10638914532,0.11609169192,250,0.7895,0.296,0.07415246844000001
23,P4,0.1054122696,0.0062494506643876475,-0.0927097276,0.11740548576000001,250,0.7895,0.296,0.07415246844000001
2,Fz,0.10444821468000001,0.005829651192141245,-0.09823531644000001,0.11776634747999999,250,0.7895,0.296,0.07415246844000001
24,T5,0.1033925148,0.00649657212049309,0.07229523552,0.11330542988,250,0.7895,0.296,0.07415246844000001
7,FCz,0.09912205884,0.005649591900128206,0.09872462156,0.11404911212,250,0.7895,0.296,0.07415246844000001
4,F4,0.09565381996000001,0.00545810156082923,0.012125219960000001,0.10632689568,250,0.7895,0.296,0.07415246844000001
20,TP8,0.09078370499999999,0.005414359411524661,-0.05864809604,0.10954018639999999,250,0.7895,0.296,0.07415246844000001
10,FT7,0.09051823351999999,0.005071734785769966,-0.05808866536,0.10435113712,250,0.7895,0.296,0.07415246844000001
3,F3,0.08696318768,0.006306745985778518,0.02761190956,0.09410225391999999,250,0.7895,0.296,0.07415246844000001
14,C4,0.086373069,0.0051420298075979575,-0.07481480536,0.09706014208000001,250,0.7895,0.296,0.07415246844000001
5,F7,0.08528944631999999,0.006134358146164679,0.0820590036,0.09816855376,250,0.7895,0.296,0.07415246844000001
19,TP7,0.0838856578,0.005406907153129474,-0.02004734212,0.09416321968,250,0.7895,0.296,0.07415246844000001
25,T6,0.07997192036,0.004531635317402052,-0.060915053999999996,0.09184627211999999,250,0.7895,0.296,0.07415246844000001
11,FT8,0.0794995598,0.0049604458201972955,-0.0022811502799999998,0.096857123,250,0.7895,0.296,0.07415246844000001
12,Cz,0.07782879072,0.0054356574068312015,0.07516657804,0.09265319612,250,0.7895,0.296,0.07415246844000001
26,Oz,0.07756041072,0.005438504796351813,0.04266143776,0.0805609554,250,0.7895,0.296,0.07415246844000001
1,Fp2,0.0773570482,0.005302258816949776,0.061415473,0.09576734247999999,250,0.7895,0.296,0.07415246844000001
6,F8,0.076527627,0.00820121267327777,-0.02830887392,0.07833661924,250,0.7895,0.296,0.07415246844000001
9,FC4,0.05827567028,0.004901611413750417,-0.05708457176,0.0758717386,250,0.7895,0.296,0.07415246844000001
8,FC3,0.03184469736,0.00496800886237967,0.00480173236,0.03826424916,250,0.7895,0.296,0.07415246844000001
