channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.13641117232,0.03212666754656776,0.00482342024,0.14167430336,250,0.7875,0.404,0.36021973415999997
28,O2,0.13474975496,0.028303485413010913,-0.01863231876,0.14148977308,250,0.7875,0.404,0.36021973415999997
17,CP3,0.121667498,0.02507725737462899,0.021785173799999998,0.14107384524,250,0.7875,0.404,0.36021973415999997
15,T3,0.11869363032,0.02734272002917431,0.11262964132,0.12746545484,250,0.7875,0.404,0.36021973415999997
18,CP4,0.11231832336,0.023328568681833313,0.04278236276,0.12910162844,250,0.7875,0.404,0.36021973415999997
13,C3,0.11113464351999999,0.02694154296216987,0.05499890764,0.11850840976,250,0.7875,0.404,0.36021973415999997
16,T4,0.11025338384,0.022460380974827627,0.0138643656,0.12448043808,250,0.7875,0.404,0.36021973415999997
27,O1,0.11025120608,0.022749103480693148,0.04430211764,0.12237000524,250,0.7875,0.404,0.36021973415999997
23,P4,0.10630561047999999,0.027257145787549376,-0.08162819636,0.11989084984000001,250,0.7875,0.404,0.36021973415999997
22,P3,0.10527810843999999,0.023987013017277823,0.0889541534,0.11782328632,250,0.7875,0.404,0.36021973415999997
2,Fz,0.10394834852,0.0236439843893175,-0.08989823683999999,0.1173292632,250,0.7875,0.404,0.36021973415999997
7,FCz,0.10042280088,0.029894444877166033,0.08595745252,0.1149077292,250,0.7875,0.404,0.36021973415999997
0,Fp1,0.0976094738,0.025517815414399656,-0.08085131400000001,0.11078703116,250,0.7875,0.404,0.36021973415999997
4,F4,0.09668394532,0.01922178399261128,0.017973281679999998,0.10907783071999999,250,0.7875,0.404,0.36021973415999997
24,T5,0.09610954628,0.026996604326692854,0.05764236728,0.10627419788,250,0.7875,0.404,0.36021973415999997
20,TP8,0.09332143064000001,0.029663354062926178,-0.04855812644,0.11122402936,250,0.7875,0.404,0.36021973415999997
14,C4,0.09320807876000001,0.02871720361819165,-0.06417763580000001,0.1052829306,250,0.7875,0.404,0.36021973415999997
3,F3,0.08934383424,0.020530226035827003,0.0290555388,0.09908539708000001,250,0.7875,0.404,0.36021973415999997
19,TP7,0.08737940732,0.02244330174807856,-0.0280033296,0.09917049536,250,0.7875,0.404,0.36021973415999997
5,F7,0.08493246607999999,0.024983864355913828,0.07453331108,0.09847158304,250,0.7875,0.404,0.36021973415999997
10,FT7,0.08431505812000001,0.019792808129340218,-0.04887337944,0.09791109584,250,0.7875,0.404,0.36021973415999997
11,FT8,0.08419242271999999,0.022079060783839144,-0.00359956112,0.09989269887999999,250,0.7875,0.404,0.36021973415999997
12,Cz,0.08241734787999999,0.021329628618436892,0.06818598267999999,0.09717321615999999,250,0.7875,0.404,0.36021973415999997
26,Oz,0.08218696984,0.021405357273976303,0.04290122616,0.09009643904,250,0.7875,0.404,0.36021973415999997
25,T6,0.07845535796,0.02148286849759475,-0.04371030672,0.09095639296000001,250,0.7875,0.404,0.36021973415999997
6,F8,0.07309794827999999,0.020250549347813642,-0.01927334668,0.07955684723999999,250,0.7875,0.404,0.36021973415999997
1,Fp2,0.07177964472,0.01838227789311808,0.05360512104,0.0880977922,250,0.7875,0.404,0.36021973415999997
9,FC4,0.06738500576,0.028105155315799765,-0.046731864719999995,0.08356824684,250,0.7875,0.404,0.36021973415999997
8,FC3,0.05029044964,0.03559728747374307,0.0036527594800000005,0.05897124636,250,0.7875,0.404,0.36021973415999997
