channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.138429709,0.03394409347301377,0.00020679095999999992,0.1443762092,250,0.801,0.408,0.3854609894
28,O2,0.1333663558,0.02714674372535772,-0.01833328664,0.1419172768,250,0.801,0.408,0.3854609894
17,CP3,0.12425215504,0.027935565012386768,0.02232974948,0.14371387487999998,250,0.801,0.408,0.3854609894
18,CP4,0.11699028636,0.024888073961116922,0.039375612920000004,0.13469681036,250,0.801,0.408,0.3854609894
15,T3,0.11566320331999999,0.026875917092447382,0.10681513604,0.12562932112,250,0.801,0.408,0.3854609894
27,O1,0.11161635692,0.023831942324464443,0.043446135159999996,0.12354453100000001,250,0.801,0.408,0.3854609894
13,C3,0.11103233400000001,0.02867922953528502,0.05902256016,0.12030811624,250,0.801,0.408,0.3854609894
16,T4,0.11096530072,0.02459391623810625,0.011734147439999999,0.12527367092,250,0.801,0.408,0.3854609894
2,Fz,0.10375389864000001,0.02399339656424999,-0.0914297406,0.11859354668000001,250,0.801,0.408,0.3854609894
22,P3,0.102498954,0.024714670908577024,0.09038182268,0.11425019356,250,0.801,0.408,0.3854609894
7,FCz,0.09940499072,0.024340533279552996,0.08739470716,0.1143005554,250,0.801,0.408,0.3854609894
23,P4,0.09842439664,0.026760758664400867,-0.0731523024,0.11152403359999999,250,0.801,0.408,0.3854609894
24,T5,0.09632811268000001,0.0246677097340666,0.05441502028,0.10806511272,250,0.801,0.408,0.3854609894
0,Fp1,0.09502120852,0.02548362525688358,-0.0774337306,0.10764219328,250,0.801,0.408,0.3854609894
14,C4,0.09214656696,0.028965811426606945,-0.06479245588,0.10486101264,250,0.801,0.408,0.3854609894
20,TP8,0.09153437484,0.02422450310207418,-0.042600892,0.10933284768,250,0.801,0.408,0.3854609894
4,F4,0.09119283403999999,0.0212470137717555,0.01810222068,0.10360035188000001,250,0.801,0.408,0.3854609894
3,F3,0.08806035512,0.01987881135936495,0.02605732124,0.09831412548,250,0.801,0.408,0.3854609894
10,FT7,0.08546645656,0.02479759077045602,-0.04450369508,0.09837611904,250,0.801,0.408,0.3854609894
12,Cz,0.08537337116,0.024475340360317937,0.06528237903999999,0.10023258228,250,0.801,0.408,0.3854609894
19,TP7,0.08529403496,0.022661258513133692,-0.0231354328,0.0972492414,250,0.801,0.408,0.3854609894
26,Oz,0.08488183064,0.029554761774956338,0.043965628039999996,0.09196900496,250,0.801,0.408,0.3854609894
5,F7,0.08267785588,0.021565135927292544,0.0742063916,0.0967982684,250,0.801,0.408,0.3854609894
25,T6,0.0826576038,0.02350145369546577,-0.049651299880000006,0.09474397336,250,0.801,0.408,0.3854609894
11,FT8,0.0822465554,0.02547214008508059,-0.00102380408,0.09725543124,250,0.801,0.408,0.3854609894
6,F8,0.07428097271999999,0.020329607239969377,-0.02032216928,0.08074146880000001,250,0.801,0.408,0.3854609894
1,Fp2,0.06982628004,0.01660961172090818,0.04916648052,0.08607471688,250,0.801,0.408,0.3854609894
9,FC4,0.06749450048,0.024898933045765643,-0.043320993,0.08388425748,250,0.801,0.408,0.3854609894
8,FC3,0.05081378224,0.03518589535375317,0.0004915289200000002,0.05983747512,250,0.801,0.408,0.3854609894
