subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.375,0.375,"[3, 5]",0.625,False,1,1.36334215,0.36633357,1.14232585,True,0.72530086,0.79543911,2170
1,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01039971,0.00207654,0.00871378,True,0.50591117,0.99989151,2170
1,3,0.25,0.25,"[2, 6]",0.75,False,1,0.16578726,0.04394161,0.13891089,True,0.51433294,0.99918686,2170
1,4,0.5,0.5,"[4, 4]",0.5,False,0,1.11846712,0.31752802,0.9371484,True,0.57361239,0.96696451,2170
1,5,0.625,0.625,"[3, 5]",0.625,False,1,0.16597358,0.03909381,0.139067,True,0.50527821,0.99990282,2170
2,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01186436,0.00203522,0.00994098,True,0.50538772,0.99989254,2170
2,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01190646,0.00205228,0.00997626,True,0.50804196,0.99979907,2170
2,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01280684,0.00228615,0.01073068,True,0.50774701,0.99979897,2170
2,4,0.5,0.5,"[0, 8]",1.0,True,1,0.0115474,0.00223308,0.00967541,True,0.50756692,0.99982892,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01157435,0.00206366,0.00969799,True,0.50691259,0.99983587,2170
3,1,0.375,0.375,"[5, 3]",0.625,False,0,0.73187032,0.17173063,0.61322419,True,0.55484073,0.98382429,2170
3,2,0.75,0.75,"[6, 2]",0.75,False,0,1.32391152,0.30267724,1.10928747,True,0.76928109,0.72080817,2170
3,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01207493,0.00223322,0.01011742,True,0.50693994,0.99983604,2170
3,4,0.5,0.5,"[0, 8]",1.0,True,1,0.01226334,0.0023248,0.01027528,True,0.5064948,0.99984959,2170
3,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01180637,0.00222718,0.0098924,True,0.50496748,0.99990791,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01377717,0.00225559,0.0115437,True,0.50845141,0.9997821,2170
4,2,0.625,0.625,"[3, 5]",0.625,False,1,0.60804889,0.14250259,0.5094759,True,0.54767516,0.98885037,2170
4,3,0.5,0.5,"[4, 4]",0.5,False,0,1.40676634,0.44725239,1.1787104,True,0.60703018,0.94782428,2170
4,4,0.5,0.5,"[8, 0]",1.0,True,0,1.51767069,0.50894408,1.27163564,True,0.78231951,0.66856609,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.0136947,0.00218672,0.0114746,True,0.50770132,0.99978786,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01189842,0.00227775,0.00996953,True,0.50710006,0.99984886,2170
