subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.11093128,-0.09125854,0.1239617,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,1,Fp2,0.08180049,0.04889461,0.09752382,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,2,Fz,0.0896783,-0.06997017,0.10011782,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,3,F3,0.0362528,-0.00635488,0.04436023,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,4,F4,0.10747569,0.03927491,0.11174658,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,5,F7,0.10672352,0.09121527,0.11895917,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,6,F8,0.0459129,-0.02279017,0.05374243,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,7,FCz,0.09434962,0.07248288,0.12617816,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,8,FC3,0.02060888,-0.02060888,0.02574425,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,9,FC4,0.0486921,-0.03581454,0.05166458,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,10,FT7,0.10949099,-0.07999519,0.13836163,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,11,FT8,0.11323235,0.06212154,0.11761274,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,12,Cz,0.06261583,0.06261583,0.0811439,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,13,C3,0.11324592,0.05370028,0.11393277,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,14,C4,0.09362631,-0.06562372,0.10636725,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,15,T3,0.13418488,0.13418488,0.13625556,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,16,T4,0.15315545,0.050271,0.17391565,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,17,CP3,0.09577595,-0.00317561,0.10950268,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,18,CP4,0.10180254,0.03481988,0.11733408,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,19,TP7,0.07309375,-0.0477965,0.09312777,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,20,TP8,0.08764175,0.00338134,0.09920179,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,21,Pz,0.14666675,-0.01913625,0.14819919,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
1,1,22,P3,0.08173431,0.08173431,0.09514557,0.375,0.375,"[5, 3]",0.625,False,0.47326269,0.10590218,0.39654037,True
