channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.13650844932,0.032760845556793754,0.00543596324,0.1415860772,250,0.8,0.42,0.34215511816
28,O2,0.13468036288,0.0275455272431983,-0.018631104,0.14125569540000002,250,0.8,0.42,0.34215511816
17,CP3,0.12158210920000001,0.023792775293104515,0.0218867428,0.14103114528,250,0.8,0.42,0.34215511816
15,T3,0.11825176032,0.027657761152235984,0.11274430428,0.12677312092,250,0.8,0.42,0.34215511816
18,CP4,0.11198825048000001,0.02225815042916269,0.04204512976,0.12896050120000002,250,0.8,0.42,0.34215511816
16,T4,0.11122698036,0.02185074463155124,0.01401476284,0.12539450496000001,250,0.8,0.42,0.34215511816
13,C3,0.11090931088,0.025475742499178233,0.05565811808,0.11819102447999999,250,0.8,0.42,0.34215511816
27,O1,0.1105629124,0.02284069812095877,0.04477973176,0.12265559776000001,250,0.8,0.42,0.34215511816
23,P4,0.10624734732,0.027058570440510257,-0.0819167152,0.11975438672,250,0.8,0.42,0.34215511816
22,P3,0.10514509940000001,0.0244544574635954,0.09002446568000001,0.11752045032,250,0.8,0.42,0.34215511816
2,Fz,0.1037051522,0.02382235440126917,-0.08963633475999999,0.11712291084,250,0.8,0.42,0.34215511816
7,FCz,0.100976474,0.02890288199831045,0.0870705806,0.11539554699999999,250,0.8,0.42,0.34215511816
0,Fp1,0.0979559296,0.025208503183281692,-0.08128251236,0.11116274764,250,0.8,0.42,0.34215511816
4,F4,0.09669973899999999,0.019826355699041658,0.01764935852,0.10860355268,250,0.8,0.42,0.34215511816
24,T5,0.09551977272,0.026773653405012535,0.057642717159999995,0.10561040996,250,0.8,0.42,0.34215511816
20,TP8,0.09291755372,0.028647176637050933,-0.04870300796,0.11066166852,250,0.8,0.42,0.34215511816
14,C4,0.09273113984,0.027297079937722384,-0.06494422768,0.10501404588,250,0.8,0.42,0.34215511816
3,F3,0.08858234052,0.020043114722000627,0.028562450439999998,0.09808274548,250,0.8,0.42,0.34215511816
19,TP7,0.0872556126,0.02165320104148602,-0.02802618652,0.09882874744,250,0.8,0.42,0.34215511816
5,F7,0.08440875476,0.024305285236211605,0.07476422708,0.09788008136000001,250,0.8,0.42,0.34215511816
10,FT7,0.08433194356,0.019496827046522922,-0.049210250799999994,0.09761312476,250,0.8,0.42,0.34215511816
11,FT8,0.08329265588,0.02180990081041299,-0.00387185792,0.09917119332,250,0.8,0.42,0.34215511816
12,Cz,0.08206021,0.020709952510333775,0.06863443172,0.09694109648,250,0.8,0.42,0.34215511816
26,Oz,0.08174616492,0.020836117586292426,0.04255411572,0.08949563012,250,0.8,0.42,0.34215511816
25,T6,0.07875941348000001,0.021424718139622177,-0.044184612479999996,0.09124279576,250,0.8,0.42,0.34215511816
6,F8,0.07274654084,0.018766886766113284,-0.01908168504,0.07882888412,250,0.8,0.42,0.34215511816
1,Fp2,0.07207785900000001,0.01804987780849046,0.05385650108,0.08833715891999999,250,0.8,0.42,0.34215511816
9,FC4,0.06720280576,0.026604101004144426,-0.04752010056,0.08353074012,250,0.8,0.42,0.34215511816
8,FC3,0.04944841928,0.035396598096921104,0.00393615896,0.05783384568,250,0.8,0.42,0.34215511816
