channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.13937716968,0.028516979343429973,0.00075832084,0.14384410144,250,0.793,0.388,0.30325602312
28,O2,0.13808924147999999,0.023006749441227863,-0.02141420324,0.1444493274,250,0.793,0.388,0.30325602312
15,T3,0.12029631224000001,0.022439218261577087,0.11524671644,0.12854115768,250,0.793,0.388,0.30325602312
17,CP3,0.1191986144,0.02283600082374098,0.019035826279999998,0.13805205424,250,0.793,0.388,0.30325602312
27,O1,0.1172995136,0.01929209934494045,0.0522905926,0.12996534063999998,250,0.793,0.388,0.30325602312
16,T4,0.11486875876000001,0.0185156209770054,0.0163491142,0.12967631123999998,250,0.793,0.388,0.30325602312
18,CP4,0.11342900672,0.0207717502038925,0.038578320640000004,0.13073759236000002,250,0.793,0.388,0.30325602312
13,C3,0.1098770822,0.02192561822472401,0.06272186372,0.11702368108,250,0.793,0.388,0.30325602312
22,P3,0.10413388156,0.023884549036805102,0.09906387275999999,0.1157791996,250,0.793,0.388,0.30325602312
2,Fz,0.1026398586,0.019715263267790564,-0.09159742172,0.11613566128,250,0.793,0.388,0.30325602312
0,Fp1,0.10120688516,0.02223367188015258,-0.08383841047999999,0.11401222044,250,0.793,0.388,0.30325602312
23,P4,0.10114666812,0.01806911838283509,-0.0762294558,0.11356699096,250,0.793,0.388,0.30325602312
7,FCz,0.1006851244,0.027039185445076042,0.0917121134,0.11532230132,250,0.793,0.388,0.30325602312
24,T5,0.0975421236,0.021808331745609293,0.05908671212,0.10892512988,250,0.793,0.388,0.30325602312
4,F4,0.09679082604,0.019751183260683872,0.01577397012,0.10913883324,250,0.793,0.388,0.30325602312
3,F3,0.09074757979999999,0.02103962641360942,0.023266643679999997,0.10040535131999999,250,0.793,0.388,0.30325602312
14,C4,0.09057407144,0.026102481059297317,-0.06590760992,0.10299614492,250,0.793,0.388,0.30325602312
20,TP8,0.08915083375999999,0.01965971176982209,-0.05168909104,0.10655835304,250,0.793,0.388,0.30325602312
5,F7,0.08759610428,0.02269887388845747,0.0797040664,0.10004971611999999,250,0.793,0.388,0.30325602312
10,FT7,0.08650106852,0.01531816276003418,-0.04645895492,0.10153904788,250,0.793,0.388,0.30325602312
19,TP7,0.08392381380000001,0.020555072266056344,-0.02177588348,0.09550011204,250,0.793,0.388,0.30325602312
12,Cz,0.08237834232,0.02683383082469226,0.06939557596,0.0964364374,250,0.793,0.388,0.30325602312
11,FT8,0.08225169576000001,0.017584467086594696,-0.00176633364,0.09829945275999999,250,0.793,0.388,0.30325602312
25,T6,0.0805385912,0.018864272965425973,-0.04957425568,0.09326812352000001,250,0.793,0.388,0.30325602312
26,Oz,0.07580875272,0.016808298013387762,0.03461403548,0.0826609866,250,0.793,0.388,0.30325602312
6,F8,0.0733487278,0.019887388495160477,-0.0235442782,0.07819455728,250,0.793,0.388,0.30325602312
1,Fp2,0.07287236096,0.015419088276364316,0.0508017774,0.08920274452,250,0.793,0.388,0.30325602312
9,FC4,0.07013818732,0.03357011124178145,-0.04941672516,0.0859182116,250,0.793,0.388,0.30325602312
8,FC3,0.04340893656,0.022931619808248718,0.00627368816,0.05229163948,250,0.793,0.388,0.30325602312
