subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.75,0.75,"[6, 2]",0.75,False,0,1.24422823,0.29327002,1.04252192,True,0.5648967,0.9848544,2170
1,2,0.25,0.25,"[6, 2]",0.75,False,0,0.36364538,0.0681053,0.30469352,True,0.51720579,0.99852774,2170
1,3,0.5,0.5,"[6, 2]",0.75,False,0,1.31781473,0.32691157,1.10417905,True,0.62058397,0.89266481,2170
1,4,0.75,0.75,"[6, 2]",0.75,False,0,0.88807202,0.21223761,0.74410347,True,0.55018736,0.98992196,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.0081132,0.00120132,0.00679794,True,0.50575474,0.99987785,2170
2,1,0.5,0.5,"[6, 2]",0.75,False,0,1.22135988,0.33634518,1.02336084,True,0.6788157,0.86426065,2170
2,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00662556,0.00119305,0.00555147,True,0.50742435,0.99982115,2170
2,3,0.625,0.625,"[1, 7]",0.875,False,1,0.35326068,0.07987809,0.29599233,True,0.54904417,0.99043605,2170
2,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00920999,0.00119675,0.00771692,True,0.50724835,0.99982991,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.0075883,0.00119339,0.00635813,True,0.50735102,0.99982735,2170
3,1,0.625,0.625,"[5, 3]",0.625,False,0,0.91675527,0.21323261,0.76813678,True,0.63742005,0.91474957,2170
3,2,0.375,0.375,"[5, 3]",0.625,False,0,0.95442112,0.24540722,0.79969648,True,0.63833322,0.92826288,2170
3,3,0.625,0.625,"[5, 3]",0.625,False,0,0.17776326,0.03454463,0.14894542,True,0.5196222,0.99759795,2170
3,4,0.75,0.75,"[4, 4]",0.5,False,0,0.72186962,0.15807313,0.60484474,True,0.6116837,0.9471254,2170
3,5,0.625,0.625,"[7, 1]",0.875,False,0,0.88617381,0.18913486,0.74251299,True,0.62740353,0.93080211,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00788125,0.0011681,0.00660359,True,0.50912578,0.99974423,2170
4,2,0.625,0.625,"[3, 5]",0.625,False,1,0.87663141,0.2400668,0.73451754,True,0.61118636,0.93533894,2170
4,3,0.625,0.625,"[3, 5]",0.625,False,1,1.3939875,0.32560122,1.16800318,True,0.85160173,0.50939112,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,0.97007429,0.37425696,0.81281206,True,0.64913459,0.89320351,2170
