subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00827234,0.00119942,0.00693128,True,0.50628351,0.99984259,2170
1,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00847826,0.00120088,0.00710382,True,0.50721055,0.99983375,2170
1,3,0.5,0.5,"[2, 6]",0.75,False,1,0.00872415,0.00119105,0.00730984,True,0.50415587,0.999936,2170
1,4,0.5,0.5,"[4, 4]",0.5,False,0,1.10405974,0.23650724,0.92507665,True,0.59312309,0.96524935,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.0091326,0.00119893,0.00765209,True,0.50760268,0.99979747,2170
2,1,0.375,0.375,"[5, 3]",0.625,False,0,0.98775015,0.27543241,0.82762242,True,0.62706974,0.91695079,2170
2,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00783325,0.00119369,0.00656338,True,0.5079173,0.99980672,2170
2,3,0.375,0.375,"[3, 5]",0.625,False,1,0.70636586,0.19406922,0.59185435,True,0.57194156,0.9745352,2170
2,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00884831,0.00120077,0.00741388,True,0.5064062,0.99983485,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00931308,0.00120054,0.00780331,True,0.50706737,0.99984853,2170
3,1,0.75,0.75,"[6, 2]",0.75,False,0,0.49780294,0.09242936,0.41710231,True,0.52260432,0.99795785,2170
3,2,0.625,0.625,"[1, 7]",0.875,False,1,0.00866123,0.00119364,0.00725713,True,0.50581319,0.99988126,2170
3,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00798572,0.00120129,0.00669113,True,0.50645854,0.99984088,2170
3,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00810302,0.00119817,0.00678941,True,0.50428655,0.99993233,2170
3,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00821576,0.00118865,0.00688387,True,0.50563251,0.99987983,2170
