subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.07333574,-0.05090957,0.07538579,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,1,Fp2,0.07502403,0.05202004,0.07866038,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,2,Fz,0.04464453,-0.00511273,0.05492345,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,3,F3,0.09364175,-0.03201023,0.12568942,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,4,F4,0.16760415,-0.00778873,0.1963042,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,5,F7,0.08834872,0.08787935,0.13570753,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,6,F8,0.02079311,0.00529799,0.02294715,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,7,FCz,0.15374035,0.14624476,0.18137051,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,8,FC3,0.09006413,-0.09006413,0.10296078,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,9,FC4,0.14789292,-0.07848644,0.17082091,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,10,FT7,0.05397619,0.01679258,0.06027272,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,11,FT8,0.02491263,0.02124545,0.03438394,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,12,Cz,0.1470537,0.08068412,0.15697381,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,13,C3,0.03797223,0.00838691,0.04371439,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,14,C4,0.11185507,-0.05964922,0.12610501,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,15,T3,0.11622769,0.11622769,0.13157889,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,16,T4,0.0851368,-0.02756731,0.11844849,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,17,CP3,0.07391118,0.06385234,0.11702472,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,18,CP4,0.05596089,0.01315006,0.06412374,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,19,TP7,0.16431707,-0.16431707,0.18668899,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,20,TP8,0.08535811,-0.06401062,0.12830709,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,21,Pz,0.12506819,0.07976803,0.12935263,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,22,P3,0.15256777,0.09959162,0.19646664,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,23,P4,0.12718679,-0.00616642,0.15062501,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,24,T5,0.07368184,-0.02795047,0.07548532,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,25,T6,0.04605845,0.02089247,0.0493557,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,26,Oz,0.0562581,0.02643386,0.06308809,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,27,O1,0.07071618,0.03724253,0.07747971,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,1,28,O2,0.12020996,-0.0580104,0.140966,0.625,0.625,"[5, 3]",0.625,False,1.16548486,0.26659979,0.97654392,True
1,2,0,Fp1,0.12506419,-0.10780952,0.13842294,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,1,Fp2,0.07519981,0.05773535,0.09446064,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,2,Fz,0.09680281,-0.09680281,0.10736615,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,3,F3,0.10634619,0.0514788,0.1085022,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,4,F4,0.10705457,0.02031574,0.11981668,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,5,F7,0.10018028,0.10018028,0.11045035,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,6,F8,0.08112302,-0.04738009,0.08162142,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,7,FCz,0.09855139,0.09855139,0.11560206,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,8,FC3,0.04482054,-0.00567212,0.04921661,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,9,FC4,0.05491521,-0.01281383,0.06145342,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,10,FT7,0.05680803,-0.03530332,0.06664816,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,11,FT8,0.0712849,-0.02195263,0.08513477,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,12,Cz,0.10131799,0.10131799,0.11559877,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,13,C3,0.09697396,0.05956876,0.09986334,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,14,C4,0.07496612,-0.07496612,0.08502449,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,15,T3,0.12244153,0.12244153,0.12750371,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,16,T4,0.12638855,-0.03730006,0.14490999,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,17,CP3,0.12936059,0.03683867,0.14650229,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,18,CP4,0.11624187,0.05042014,0.1286637,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,19,TP7,0.09099741,-0.0441599,0.10486592,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,20,TP8,0.09337975,-0.07336202,0.11895503,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,21,Pz,0.14982294,0.00685547,0.15145323,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,22,P3,0.09952621,0.09952621,0.12216216,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,23,P4,0.09542145,-0.0774003,0.10387044,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,24,T5,0.09902382,0.05339477,0.10924801,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,25,T6,0.06381017,-0.05561288,0.07504873,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,26,Oz,0.07389691,0.02979567,0.07819886,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,27,O1,0.13547808,0.06939945,0.13860676,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,2,28,O2,0.12076192,-0.02070158,0.12570493,0.125,0.125,"[5, 3]",0.625,False,0.30024246,0.06376626,0.25156908,True
1,3,0,Fp1,0.0601175,-0.04119166,0.06219106,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,1,Fp2,0.02929459,0.00173976,0.03204806,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,2,Fz,0.05352028,0.0319284,0.06003407,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,3,F3,0.12642348,0.05550043,0.14716169,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,4,F4,0.20516309,-0.02184486,0.23378685,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,5,F7,0.0748691,0.0397195,0.10040977,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,6,F8,0.03035887,-0.02210823,0.04848288,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,7,FCz,0.06841946,0.06841946,0.0803075,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,8,FC3,0.10349905,-0.06622837,0.11792086,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,9,FC4,0.11988775,-0.0092691,0.139275,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,10,FT7,0.11023304,0.11023304,0.11898774,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,11,FT8,0.05990541,-0.0069868,0.06502707,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,12,Cz,0.03903816,0.02049348,0.04551829,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,13,C3,0.04497879,-0.01959378,0.05171335,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,14,C4,0.12561361,-0.09734673,0.15774865,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,15,T3,0.05324866,0.03952735,0.07167087,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,16,T4,0.07025406,0.00928193,0.08330204,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,17,CP3,0.07362408,0.0027656,0.09007633,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,18,CP4,0.07603887,0.02561399,0.09200753,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,19,TP7,0.24346966,-0.21147946,0.27801469,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,20,TP8,0.10479967,-0.01400168,0.11383965,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,21,Pz,0.11094671,-0.04064613,0.13113084,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,22,P3,0.17661215,0.13025051,0.21431111,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,23,P4,0.11219832,0.11219832,0.14455943,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,24,T5,0.04381444,-0.04381444,0.04845647,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,25,T6,0.07692908,-0.07692908,0.09836934,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,26,Oz,0.09699779,0.03236524,0.10975666,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,27,O1,0.094424,0.08068441,0.13176522,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,3,28,O2,0.1105839,-0.04058976,0.11896426,0.375,0.375,"[5, 3]",0.625,False,1.41012607,0.37037528,1.18152547,True
1,4,0,Fp1,0.09413242,-0.07611974,0.10258815,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
1,4,1,Fp2,0.06998409,0.04936057,0.07571985,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
1,4,2,Fz,0.02488459,-0.00606629,0.03171112,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
1,4,3,F3,0.08617149,0.01712167,0.09406684,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
1,4,4,F4,0.14088005,0.03162577,0.14827572,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
1,4,5,F7,0.11743938,0.11743938,0.13819778,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
1,4,6,F8,0.05768969,-0.04483689,0.07446355,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
1,4,7,FCz,0.08654822,0.08654822,0.09542809,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
1,4,8,FC3,0.02398834,0.00165546,0.02554099,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
1,4,9,FC4,0.10496275,-0.01424279,0.13122362,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
1,4,10,FT7,0.07072031,-0.07072031,0.0760223,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
1,4,11,FT8,0.04678495,-0.01859723,0.06399827,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
1,4,12,Cz,0.09812498,0.09812498,0.11824672,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
1,4,13,C3,0.07819663,-0.00569577,0.09984346,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
1,4,14,C4,0.17669398,-0.17669398,0.19650444,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
1,4,15,T3,0.15938286,0.15938286,0.16303585,0.75,0.75,"[6, 2]",0.75,False,0.85500539,0.21349187,0.7163974,True
