subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.375,0.375,"[3, 5]",0.625,False,1,0.1278456,0.02403447,0.10712009,True,0.50628614,0.99980003,2170
1,2,0.375,0.375,"[1, 7]",0.875,False,1,0.00824108,0.00116219,0.00690509,True,0.5070426,0.99984436,2170
1,3,0.125,0.125,"[3, 5]",0.625,False,1,0.4202613,0.08363702,0.35213123,True,0.542307,0.99227723,2170
1,4,0.375,0.375,"[3, 5]",0.625,False,1,0.52759118,0.13182267,0.44206147,True,0.53590119,0.99177052,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00895603,0.00119976,0.00750414,True,0.5078842,0.99979674,2170
2,1,0.625,0.625,"[3, 5]",0.625,False,1,0.4068495,0.07888333,0.34089366,True,0.59225009,0.96204633,2170
2,2,0.5,0.5,"[4, 4]",0.5,False,0,0.86433153,0.25755249,0.72421164,True,0.67053995,0.88896423,2170
2,3,0.5,0.5,"[2, 6]",0.75,False,1,0.9150946,0.23759954,0.76674532,True,0.71040652,0.81005001,2170
2,4,0.75,0.75,"[4, 4]",0.5,False,0,0.41170866,0.07381081,0.34496509,True,0.59167763,0.96789295,2170
2,5,0.625,0.625,"[5, 3]",0.625,False,0,0.60308124,0.16020019,0.50531357,True,0.55835986,0.98684916,2170
3,1,0.625,0.625,"[1, 7]",0.875,False,1,0.03966507,0.00812061,0.03323482,True,0.50476305,0.99987462,2170
3,2,0.375,0.375,"[3, 5]",0.625,False,1,0.51398202,0.12698929,0.43065855,True,0.54582446,0.99261943,2170
3,3,0.5,0.5,"[4, 4]",0.5,False,0,0.75552061,0.18637508,0.63304045,True,0.60365593,0.95350091,2170
