subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[4, 4]",0.5,False,0,0.4962271,0.12499545,0.41578194,True,0.52727702,0.99741214,2170
1,2,0.375,0.375,"[5, 3]",0.625,False,0,0.28792566,0.06579202,0.241249,True,0.51298228,0.99898163,2170
1,3,0.375,0.375,"[1, 7]",0.875,False,1,0.00846132,0.00119951,0.00708963,True,0.50476062,0.99991794,2170
1,4,0.625,0.625,"[5, 3]",0.625,False,0,0.76730504,0.18839957,0.64291447,True,0.55782277,0.98443703,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00909905,0.00120102,0.00762397,True,0.50755537,0.99981014,2170
2,1,0.625,0.625,"[5, 3]",0.625,False,0,0.78256087,0.18104915,0.65569711,True,0.64193124,0.91446909,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.41499739,0.1019744,0.34772067,True,0.57951732,0.97591173,2170
2,3,0.75,0.75,"[2, 6]",0.75,False,1,0.75939367,0.2115766,0.63628564,True,0.72705547,0.79960229,2170
2,4,0.875,0.875,"[5, 3]",0.625,False,0,0.15275914,0.02897071,0.12799481,True,0.51327864,0.99921504,2170
2,5,0.625,0.625,"[3, 5]",0.625,False,1,0.07857155,0.01262122,0.06583403,True,0.50675299,0.99975134,2170
3,1,0.75,0.75,"[4, 4]",0.5,False,0,1.23552321,0.24406639,1.0352281,True,0.65684625,0.88720711,2170
3,2,0.375,0.375,"[3, 5]",0.625,False,1,0.95859054,0.22644942,0.80318998,True,0.64363327,0.93180456,2170
3,3,0.5,0.5,"[2, 6]",0.75,False,1,0.865034,0.16721047,0.72480023,True,0.57799432,0.9698831,2170
3,4,0.875,0.875,"[3, 5]",0.625,False,1,1.3242802,0.31903154,1.10959638,True,0.80244302,0.62582416,2170
3,5,0.625,0.625,"[7, 1]",0.875,False,0,1.30056727,0.34864417,1.08972764,True,0.71038307,0.78510128,2170
