subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.375,0.375,"[5, 3]",0.625,False,0,0.47623473,0.10529203,0.39903061,True,0.52633475,0.9976275,2170
1,2,0.375,0.375,"[1, 7]",0.875,False,1,0.00627483,0.00088413,0.00525759,True,0.50760505,0.99981486,2170
1,3,0.125,0.125,"[3, 5]",0.625,False,1,1.3887683,0.36504754,1.16363008,True,0.85232747,0.52073547,2170
1,4,0.375,0.375,"[5, 3]",0.625,False,0,0.85019346,0.19727382,0.71236554,True,0.58412835,0.9670981,2170
1,5,0.625,0.625,"[5, 3]",0.625,False,0,0.13359717,0.02491787,0.11193925,True,0.50625753,0.99983525,2170
2,1,0.75,0.75,"[2, 6]",0.75,False,1,0.36067367,0.07558677,0.30220357,True,0.52201611,0.99831066,2170
2,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00721799,0.00090124,0.00604786,True,0.50503007,0.99991165,2170
2,3,0.5,0.5,"[4, 4]",0.5,False,0,1.31898139,0.40713124,1.10515658,True,0.7675149,0.7445026,2170
2,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00722554,0.00090116,0.00605418,True,0.50690656,0.99984288,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00714872,0.00089795,0.00598981,True,0.50640135,0.9998602,2170
3,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00630112,0.00089757,0.00527962,True,0.50686857,0.99985633,2170
3,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00654733,0.00089145,0.00548592,True,0.50528475,0.99990581,2170
3,3,0.375,0.375,"[1, 7]",0.875,False,1,0.00686589,0.00089566,0.00575284,True,0.50514584,0.99989834,2170
3,4,0.375,0.375,"[3, 5]",0.625,False,1,0.19074131,0.03902702,0.15981955,True,0.5121024,0.99938839,2170
3,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00663631,0.00089933,0.00556048,True,0.50666617,0.99985008,2170
4,1,0.5,0.5,"[2, 6]",0.75,False,1,0.19371435,0.03748535,0.16231062,True,0.52302754,0.99754037,2170
4,2,0.625,0.625,"[7, 1]",0.875,False,0,1.4799952,0.33865777,1.24006786,True,0.86662784,0.54861751,2170
4,3,0.625,0.625,"[3, 5]",0.625,False,1,1.13810608,0.32291509,0.95360362,True,0.6455051,0.90329137,2170
4,4,0.625,0.625,"[1, 7]",0.875,False,1,0.16192638,0.03066492,0.13567592,True,0.52186577,0.99726558,2170
4,5,0.5,0.5,"[4, 4]",0.5,False,0,0.45761815,0.11431824,0.38343202,True,0.56596477,0.97977134,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00647424,0.00089984,0.00542468,True,0.50458095,0.99992647,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00621032,0.00089651,0.00520355,True,0.50700409,0.99984846,2170
5,3,0.375,0.375,"[5, 3]",0.625,False,0,1.11165252,0.26542504,0.93143854,True,0.75545344,0.70773479,2170
5,4,0.625,0.625,"[3, 5]",0.625,False,1,0.18224482,0.03369974,0.15270046,True,0.50586513,0.99988558,2170
5,5,0.5,0.5,"[4, 4]",0.5,False,0,1.05703329,0.24101428,0.88567383,True,0.5703156,0.97810031,2170
6,1,0.5,0.5,"[6, 2]",0.75,False,0,0.76911816,0.20632897,0.64443365,True,0.63490701,0.93251405,2170
6,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00662809,0.00089992,0.00555359,True,0.50583645,0.99989204,2170
6,3,0.5,0.5,"[2, 6]",0.75,False,1,0.84236353,0.20384054,0.70580495,True,0.67392797,0.88339393,2170
6,4,0.375,0.375,"[3, 5]",0.625,False,1,1.26981089,0.38845514,1.06395728,True,0.71869155,0.73222399,2170
6,5,0.125,0.125,"[3, 5]",0.625,False,1,0.77525591,0.20198597,0.64957638,True,0.71154279,0.81538617,2170
7,1,0.75,0.75,"[4, 4]",0.5,False,0,0.94605823,0.19946067,0.79268933,True,0.61258293,0.94649465,2170
7,2,0.625,0.625,"[3, 5]",0.625,False,1,0.82865204,0.17060702,0.69431628,True,0.55924104,0.98623747,2170
7,3,0.625,0.625,"[5, 3]",0.625,False,0,0.24976124,0.05749494,0.20927155,True,0.51942735,0.99836255,2170
7,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00621552,0.00089296,0.0052079,True,0.50713476,0.99983496,2170
7,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00633143,0.00089161,0.00530502,True,0.5043742,0.99993896,2170
8,1,0.75,0.75,"[4, 4]",0.5,False,0,0.9265332,0.19927039,0.77632957,True,0.69060177,0.82494966,2170
8,2,0.75,0.75,"[4, 4]",0.5,False,0,0.34418906,0.07269265,0.28839133,True,0.54244769,0.99210558,2170
8,3,0.375,0.375,"[3, 5]",0.625,False,1,1.53592707,0.3855678,1.28693242,True,0.94680795,0.19879893,2170
8,4,0.625,0.625,"[3, 5]",0.625,False,1,1.34957208,0.37670216,1.1307881,True,0.86933955,0.42303142,2170
8,5,0.625,0.625,"[3, 5]",0.625,False,1,1.22322168,0.28287158,1.02492082,True,0.82125751,0.56897279,2170
9,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00588916,0.00088789,0.00493444,True,0.50476454,0.99990622,2170
9,2,0.125,0.125,"[3, 5]",0.625,False,1,0.28946724,0.06545752,0.24254067,True,0.51333896,0.99940248,2170
9,3,0.375,0.375,"[3, 5]",0.625,False,1,0.28892549,0.0572536,0.24208674,True,0.50848374,0.9997504,2170
9,4,0.5,0.5,"[4, 4]",0.5,False,0,0.86049063,0.18490895,0.7209934,True,0.58517112,0.95721275,2170
9,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00711241,0.00089717,0.00595939,True,0.50703437,0.99984169,2170
10,1,0.75,0.75,"[4, 4]",0.5,False,0,0.5753561,0.1401199,0.48208306,True,0.55051963,0.98469617,2170
10,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00676475,0.00090124,0.0056681,True,0.505052,0.99991671,2170
10,3,0.0,0.0,"[4, 4]",0.5,False,0,0.5987048,0.12500888,0.50164662,True,0.54678758,0.99115881,2170
10,4,0.375,0.375,"[7, 1]",0.875,False,0,0.40535304,0.08494373,0.33963981,True,0.53320172,0.99600941,2170
10,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00712982,0.00090112,0.00597398,True,0.50585351,0.99987641,2170
11,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00593026,0.00089883,0.00496888,True,0.50611035,0.99988397,2170
