subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.11067761,-0.09035613,0.12335937,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,1,Fp2,0.08198489,0.04961262,0.09735516,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,2,Fz,0.09010927,-0.07010952,0.10004085,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,3,F3,0.03613906,-0.00552975,0.04444624,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,4,F4,0.1077392,0.03971933,0.11192582,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,5,F7,0.10447615,0.08955218,0.11683435,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,6,F8,0.04631866,-0.02122752,0.05330485,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,7,FCz,0.09416366,0.07133378,0.12606986,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,8,FC3,0.02148481,-0.02148481,0.02586594,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,9,FC4,0.04791231,-0.03543954,0.05074853,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,10,FT7,0.11025457,-0.08060957,0.13945283,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,11,FT8,0.11271626,0.0616945,0.11707527,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,12,Cz,0.06169332,0.06169332,0.08002065,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,13,C3,0.11389464,0.05420877,0.11484119,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,14,C4,0.09353179,-0.06568317,0.10605692,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,15,T3,0.13409697,0.13409697,0.13609172,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,16,T4,0.15372413,0.05014478,0.17501625,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,17,CP3,0.09432711,-0.00489698,0.10868604,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,18,CP4,0.10161223,0.03511339,0.11696964,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,19,TP7,0.07279269,-0.04813925,0.09308316,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,20,TP8,0.08878234,0.00334723,0.10000525,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,21,Pz,0.14603052,-0.01909471,0.14749235,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,22,P3,0.08086163,0.08086163,0.09371563,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,23,P4,0.08588113,-0.07840798,0.0963763,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,24,T5,0.10278708,0.07148687,0.12093009,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,25,T6,0.08553138,-0.01619404,0.09421946,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,26,Oz,0.05564762,-0.00046655,0.06261229,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,27,O1,0.11578096,0.03932296,0.12782817,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,1,28,O2,0.15222187,-0.04551487,0.16131155,0.375,0.375,"[5, 3]",0.625,False,0.47623473,0.10529203,0.39903061,True
1,2,0,Fp1,0.10979989,-0.09626041,0.12268434,0.375,0.375,"[1, 7]",0.875,False,0.00627483,0.00088413,0.00525759,True
