subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.375,0.375,"[3, 5]",0.625,False,1,1.39970906,0.37698275,1.17279719,True,0.7179359,0.80751595,2170
1,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00574211,0.00089983,0.00481123,True,0.50557167,0.99990122,2170
1,3,0.375,0.375,"[1, 7]",0.875,False,1,0.09153791,0.0174014,0.07669837,True,0.5095962,0.99962516,2170
1,4,0.75,0.75,"[4, 4]",0.5,False,0,1.08390942,0.29296342,0.90819297,True,0.56067009,0.97623138,2170
1,5,0.5,0.5,"[2, 6]",0.75,False,1,0.08972862,0.01783101,0.07518239,True,0.50268794,0.9999529,2170
2,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00617699,0.00090025,0.00517561,True,0.50493359,0.99990699,2170
2,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00585491,0.00089437,0.00490575,True,0.50770029,0.99981678,2170
2,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00610874,0.0008858,0.00511843,True,0.50722264,0.99982166,2170
2,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00583245,0.00090066,0.00488693,True,0.50695548,0.99985251,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00580114,0.00088301,0.0048607,True,0.50632784,0.99986028,2170
3,1,0.5,0.5,"[6, 2]",0.75,False,0,0.66137632,0.12991025,0.55415823,True,0.54360692,0.98872431,2170
3,2,0.75,0.75,"[6, 2]",0.75,False,0,1.34323939,0.28911802,1.12548202,True,0.74848493,0.74910812,2170
3,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00578713,0.00089382,0.00484896,True,0.50620348,0.99986127,2170
3,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00636339,0.00090092,0.0053318,True,0.50597209,0.9998713,2170
3,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00598753,0.00090098,0.00501687,True,0.50460734,0.99992,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00704078,0.00089611,0.00589938,True,0.50784315,0.9998102,2170
