subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.625,0.625,"[3, 5]",0.625,False,1,1.20433478,0.29658175,1.00909574,True,0.56733583,0.98187356,2170
1,2,0.25,0.25,"[6, 2]",0.75,False,0,0.42432775,0.07977993,0.35553845,True,0.51950338,0.99814793,2170
1,3,0.5,0.5,"[6, 2]",0.75,False,0,0.7707508,0.16587069,0.64580162,True,0.55664909,0.98240299,2170
1,4,0.5,0.5,"[6, 2]",0.75,False,0,0.87633545,0.21840011,0.73426956,True,0.54970905,0.99071735,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.0060482,0.00089549,0.00506771,True,0.50555629,0.99988441,2170
2,1,0.5,0.5,"[4, 4]",0.5,False,0,1.30456498,0.3485793,1.09307726,True,0.71269898,0.79646613,2170
2,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00466444,0.00088534,0.00390827,True,0.50728838,0.99982701,2170
2,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00681406,0.00089601,0.0057094,True,0.50673052,0.99983478,2170
2,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00681909,0.00090145,0.00571363,True,0.5072051,0.99983282,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00562535,0.00089912,0.0047134,True,0.50709659,0.99983911,2170
3,1,0.625,0.625,"[5, 3]",0.625,False,0,1.16626137,0.28451799,0.97719455,True,0.6782305,0.85846947,2170
3,2,0.375,0.375,"[5, 3]",0.625,False,0,0.4414297,0.09956042,0.36986794,True,0.55090907,0.98943474,2170
3,3,0.5,0.5,"[4, 4]",0.5,False,0,0.17664384,0.03380778,0.14800747,True,0.51654864,0.99814836,2170
3,4,0.875,0.875,"[5, 3]",0.625,False,0,0.78257348,0.1834581,0.65570768,True,0.60939713,0.94048642,2170
3,5,0.625,0.625,"[7, 1]",0.875,False,0,1.00803033,0.22637797,0.84461491,True,0.63474311,0.92627216,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00595819,0.00087456,0.00499229,True,0.50885912,0.99975763,2170
4,2,0.625,0.625,"[5, 3]",0.625,False,0,0.93529459,0.25654313,0.78367062,True,0.62401424,0.92032509,2170
4,3,0.625,0.625,"[3, 5]",0.625,False,1,1.35862321,0.33684969,1.13837192,True,0.83938182,0.52610215,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,0.96880836,0.37265816,0.81175135,True,0.642176,0.89810152,2170
4,5,0.625,0.625,"[1, 7]",0.875,False,1,0.00599139,0.00089963,0.0050201,True,0.50547175,0.99985143,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00616001,0.00089987,0.00516139,True,0.50697384,0.99985444,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00608141,0.00089867,0.00509553,True,0.50635395,0.99987564,2170
5,3,0.5,0.5,"[2, 6]",0.75,False,1,1.16049618,0.36858112,0.97236398,True,0.78234789,0.68311301,2170
5,4,0.875,0.875,"[5, 3]",0.625,False,0,0.46170517,0.09175016,0.38685648,True,0.51025093,0.99954474,2170
5,5,0.375,0.375,"[5, 3]",0.625,False,0,0.95117028,0.24772721,0.79697265,True,0.61487476,0.94947536,2170
6,1,0.5,0.5,"[6, 2]",0.75,False,0,0.30186864,0.06272776,0.25293163,True,0.51921399,0.9987769,2170
6,2,0.625,0.625,"[1, 7]",0.875,False,1,0.00670578,0.00089239,0.00561869,True,0.50749636,0.99978468,2170
6,3,0.625,0.625,"[1, 7]",0.875,False,1,0.00642723,0.00089438,0.00538529,True,0.50669789,0.99982346,2170
