subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.07642245,-0.05294878,0.0792435,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,1,Fp2,0.07302347,0.05401365,0.07687672,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,2,Fz,0.04184434,0.0049163,0.05295826,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,3,F3,0.09630447,-0.03358445,0.12345259,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,4,F4,0.18755296,-0.03000535,0.21153374,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,5,F7,0.08817423,0.08801895,0.13635425,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,6,F8,0.02589497,-0.01232226,0.0298606,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,7,FCz,0.16010159,0.13273005,0.17945203,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,8,FC3,0.06874521,-0.06874521,0.08461206,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,9,FC4,0.16992621,-0.02333098,0.1797806,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,10,FT7,0.03644167,0.01629042,0.04197346,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,11,FT8,0.02572316,0.00299784,0.02628586,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,12,Cz,0.13803796,0.07699912,0.15107867,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,13,C3,0.02984293,0.02800299,0.03930994,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,14,C4,0.11478157,-0.06462653,0.12872629,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,15,T3,0.10791592,0.10791592,0.12747996,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,16,T4,0.08713407,-0.02257206,0.11216952,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
1,1,17,CP3,0.06895256,0.05594657,0.09874159,0.625,0.625,"[3, 5]",0.625,False,1.20433478,0.29658175,1.00909574,True
