subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.06395874,-0.03207859,0.09006669,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,1,Fp2,0.03595865,0.0292692,0.05855456,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,2,Fz,0.10348203,-0.08142406,0.13724743,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,3,F3,0.08789253,0.05259778,0.10905996,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,4,F4,0.08988781,0.00120045,0.10844743,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,5,F7,0.11459942,0.10866295,0.13817389,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,6,F8,0.08841246,-0.0592325,0.13599616,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,7,FCz,0.22333863,0.09786024,0.24624802,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,8,FC3,0.05486272,-0.05486272,0.06321622,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,9,FC4,0.13430417,0.03772765,0.16082762,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,10,FT7,0.13206697,-0.10185002,0.1464518,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,11,FT8,0.06189028,0.04623856,0.10309843,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,12,Cz,0.13867785,0.02415237,0.15975557,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,13,C3,0.07996663,0.03204102,0.09566871,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,14,C4,0.10031558,-0.03642521,0.11959773,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,15,T3,0.06597919,0.01360771,0.06970815,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,16,T4,0.12083704,0.01044,0.14107317,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,17,CP3,0.05457735,-0.01090322,0.06328188,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,18,CP4,0.10374762,-0.01206771,0.10695093,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,19,TP7,0.08981743,0.02817906,0.1265965,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,20,TP8,0.08736861,0.04140563,0.09285377,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,21,Pz,0.07426014,0.025001,0.10209297,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,22,P3,0.10303322,-0.00100271,0.10785063,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,23,P4,0.12613271,-0.050909,0.14327112,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,24,T5,0.05260403,0.05260403,0.06527041,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,25,T6,0.08370832,0.02511735,0.09253661,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,26,Oz,0.07195432,-0.0166551,0.08075358,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,27,O1,0.04834513,-0.00295245,0.05265956,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,1,28,O2,0.10576931,0.00058267,0.10982142,0.625,0.625,"[7, 1]",0.875,False,1.37235983,0.34650923,1.14988164,True
1,2,0,Fp1,0.10926855,-0.09631029,0.12252791,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,1,Fp2,0.07824737,0.06088564,0.09557041,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,2,Fz,0.1034932,-0.09834088,0.1171142,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,3,F3,0.08769421,0.02741964,0.09453975,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,4,F4,0.09758084,0.0125832,0.1077099,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,5,F7,0.08428825,0.08142102,0.09777045,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,6,F8,0.07755559,-0.0292053,0.07850055,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,7,FCz,0.09941252,0.09941252,0.11475125,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,8,FC3,0.02993139,0.00604141,0.03638737,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,9,FC4,0.05799752,-0.05799752,0.07629389,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,10,FT7,0.09102882,-0.05894043,0.10467846,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,11,FT8,0.08020344,-0.00333643,0.09681831,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,12,Cz,0.07770731,0.07560636,0.09278781,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,13,C3,0.11619106,0.07269827,0.1183679,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,14,C4,0.08626132,-0.07498087,0.0964013,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,15,T3,0.12671636,0.12671636,0.13189648,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,16,T4,0.12293912,0.01407406,0.13520075,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,17,CP3,0.12147596,0.03258099,0.13938384,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,18,CP4,0.11007474,0.03459335,0.1269179,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,19,TP7,0.08410954,-0.01866504,0.09444015,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,20,TP8,0.08904641,-0.05856485,0.10783432,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,21,Pz,0.15195265,0.00731083,0.1521751,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,22,P3,0.10856946,0.10856946,0.11792333,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,23,P4,0.10390488,-0.09250072,0.11581877,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,24,T5,0.10564794,0.07347851,0.11475837,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,25,T6,0.08103438,-0.06135347,0.0916708,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,26,Oz,0.0785979,0.04285993,0.08103564,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,27,O1,0.12061967,0.05564494,0.13095073,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,2,28,O2,0.14465442,-0.02334589,0.14724039,0.375,0.375,"[1, 7]",0.875,False,0.01213452,0.00215634,0.01016735,True
1,3,0,Fp1,0.08261453,-0.06091469,0.09786495,0.125,0.125,"[5, 3]",0.625,False,0.87237705,0.26142527,0.73095288,True
1,3,1,Fp2,0.05599312,0.02666198,0.07076035,0.125,0.125,"[5, 3]",0.625,False,0.87237705,0.26142527,0.73095288,True
1,3,2,Fz,0.13427769,-0.12479383,0.16512324,0.125,0.125,"[5, 3]",0.625,False,0.87237705,0.26142527,0.73095288,True
1,3,3,F3,0.08807638,0.0760476,0.0987279,0.125,0.125,"[5, 3]",0.625,False,0.87237705,0.26142527,0.73095288,True
1,3,4,F4,0.06549554,-0.01838199,0.0808247,0.125,0.125,"[5, 3]",0.625,False,0.87237705,0.26142527,0.73095288,True
1,3,5,F7,0.13353783,0.13353783,0.15897463,0.125,0.125,"[5, 3]",0.625,False,0.87237705,0.26142527,0.73095288,True
1,3,6,F8,0.07287162,-0.06565859,0.08421559,0.125,0.125,"[5, 3]",0.625,False,0.87237705,0.26142527,0.73095288,True
1,3,7,FCz,0.15514079,0.11838569,0.19606559,0.125,0.125,"[5, 3]",0.625,False,0.87237705,0.26142527,0.73095288,True
1,3,8,FC3,0.091787,-0.07476489,0.10860847,0.125,0.125,"[5, 3]",0.625,False,0.87237705,0.26142527,0.73095288,True
1,3,9,FC4,0.06611664,0.06611664,0.0735877,0.125,0.125,"[5, 3]",0.625,False,0.87237705,0.26142527,0.73095288,True
1,3,10,FT7,0.06263147,-0.05299516,0.08144455,0.125,0.125,"[5, 3]",0.625,False,0.87237705,0.26142527,0.73095288,True
1,3,11,FT8,0.07374427,0.06414393,0.08641779,0.125,0.125,"[5, 3]",0.625,False,0.87237705,0.26142527,0.73095288,True
1,3,12,Cz,0.03631791,0.03631791,0.03795582,0.125,0.125,"[5, 3]",0.625,False,0.87237705,0.26142527,0.73095288,True
1,3,13,C3,0.10817158,-0.04655975,0.12031566,0.125,0.125,"[5, 3]",0.625,False,0.87237705,0.26142527,0.73095288,True
1,3,14,C4,0.10971326,-0.06241858,0.11933237,0.125,0.125,"[5, 3]",0.625,False,0.87237705,0.26142527,0.73095288,True
