subject_id,channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
1,16,T4,0.134993268,0.019302840881594858,0.0026051480000000016,0.159431806,5,0.775,0.4,0.40290413999999997
1,13,C3,0.131678128,0.033629635853545455,0.050456893999999995,0.14066441999999998,5,0.775,0.4,0.40290413999999997
1,27,O1,0.128645812,0.008513295131379503,0.071736756,0.14108682,5,0.775,0.4,0.40290413999999997
1,15,T3,0.12660404600000003,0.005276595119026081,0.099404294,0.139045018,5,0.775,0.4,0.40290413999999997
1,28,O2,0.121865046,0.03818083919152747,-0.007775845999999999,0.12495987,5,0.775,0.4,0.40290413999999997
1,7,FCz,0.11707969,0.026217699380669354,0.09171885399999999,0.138488418,5,0.775,0.4,0.40290413999999997
1,21,Pz,0.11354746599999999,0.05413754136045642,0.014438356,0.1203398,5,0.775,0.4,0.40290413999999997
1,18,CP4,0.11027819000000001,0.03200684595326053,0.037812392,0.12524742,5,0.775,0.4,0.40290413999999997
1,2,Fz,0.109574688,0.008526968623216578,-0.072516566,0.125754282,5,0.775,0.4,0.40290413999999997
1,17,CP3,0.109042592,0.01821479721428899,0.00999072,0.12659274599999998,5,0.775,0.4,0.40290413999999997
1,24,T5,0.10824207999999999,0.01781932193185672,0.048834884,0.11708827,5,0.775,0.4,0.40290413999999997
1,0,Fp1,0.102025436,0.013094573301096146,-0.08101511,0.117824762,5,0.775,0.4,0.40290413999999997
1,4,F4,0.101195666,0.04014908393863278,0.022021515999999998,0.11285148600000001,5,0.775,0.4,0.40290413999999997
1,22,P3,0.097625658,0.020502800562412684,0.096614756,0.11149415199999999,5,0.775,0.4,0.40290413999999997
1,20,TP8,0.094833828,0.010050114672921405,-0.029862812,0.110360176,5,0.775,0.4,0.40290413999999997
1,23,P4,0.09416205600000001,0.01705882044162579,-0.07369006,0.10778951,5,0.775,0.4,0.40290413999999997
1,10,FT7,0.09089271400000001,0.02877275247532255,-0.011288174,0.106763648,5,0.775,0.4,0.40290413999999997
1,19,TP7,0.09048189,0.041375011375844366,-0.050080104,0.10523246800000001,5,0.775,0.4,0.40290413999999997
1,14,C4,0.090304204,0.014395439980446241,-0.05009825800000001,0.11107548,5,0.775,0.4,0.40290413999999997
1,9,FC4,0.08431355,0.039815146819026044,-0.054845281999999995,0.10496120199999999,5,0.775,0.4,0.40290413999999997
1,5,F7,0.076870972,0.01000477922974665,0.058707470000000005,0.085764124,5,0.775,0.4,0.40290413999999997
1,25,T6,0.076014128,0.006989745557505653,-0.060531276,0.088025992,5,0.775,0.4,0.40290413999999997
1,12,Cz,0.075214166,0.018168393740234164,0.062325412000000004,0.08618706000000001,5,0.775,0.4,0.40290413999999997
1,3,F3,0.07493441199999999,0.017201530268747017,0.00798256,0.08188420199999999,5,0.775,0.4,0.40290413999999997
1,26,Oz,0.071158092,0.016070315065896186,0.022695672,0.07806210999999999,5,0.775,0.4,0.40290413999999997
1,6,F8,0.06936547200000001,0.013042241862629292,-0.014226308000000002,0.076041098,5,0.775,0.4,0.40290413999999997
