channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.1391630846,0.032328514745159805,0.0004893512799999998,0.14457379392,250,0.797,0.396,0.36833781344
28,O2,0.13379141916,0.026564411150536642,-0.018325633679999998,0.14200879456,250,0.797,0.396,0.36833781344
17,CP3,0.12414395808,0.027220784199776114,0.02340989948,0.1434972738,250,0.797,0.396,0.36833781344
18,CP4,0.1165140684,0.02312094522691118,0.039030767599999995,0.13426220652,250,0.797,0.396,0.36833781344
15,T3,0.11610293364,0.026307604550719555,0.10775563671999999,0.12577298432,250,0.797,0.396,0.36833781344
27,O1,0.11186181868,0.022952280707828333,0.043581763520000004,0.12382117308,250,0.797,0.396,0.36833781344
16,T4,0.11163668132,0.023765122220182577,0.01203575916,0.12579883876,250,0.797,0.396,0.36833781344
13,C3,0.11080619884,0.027715209415330032,0.059967785,0.11958405856,250,0.797,0.396,0.36833781344
2,Fz,0.10415925208,0.022957901303930807,-0.09275343479999999,0.11877165112,250,0.797,0.396,0.36833781344
22,P3,0.1019393978,0.024430102171759026,0.0910478756,0.11393448792,250,0.797,0.396,0.36833781344
7,FCz,0.10035388856,0.023802181528247462,0.08879200424,0.1148975192,250,0.797,0.396,0.36833781344
23,P4,0.09820543344,0.025965761985377485,-0.07365990448,0.11120504004,250,0.797,0.396,0.36833781344
24,T5,0.09646411860000001,0.023809908069087716,0.055449023160000006,0.1082074914,250,0.797,0.396,0.36833781344
0,Fp1,0.09563947880000001,0.02481859322573525,-0.0785415564,0.10835665464000001,250,0.797,0.396,0.36833781344
4,F4,0.09176934708000001,0.020945891497256338,0.018478218600000002,0.10392141531999999,250,0.797,0.396,0.36833781344
14,C4,0.09146772296,0.027379097438230464,-0.06499025036,0.10408404568,250,0.797,0.396,0.36833781344
20,TP8,0.09140251144,0.02434835972889325,-0.04351483848,0.10904524772,250,0.797,0.396,0.36833781344
3,F3,0.0870494616,0.018241305732575423,0.0250717828,0.09703026724,250,0.797,0.396,0.36833781344
10,FT7,0.08508760476,0.02184736424256318,-0.044405960640000006,0.0980010954,250,0.797,0.396,0.36833781344
12,Cz,0.08506996268,0.02444959929015383,0.06583189816,0.09983206204,250,0.797,0.396,0.36833781344
19,TP7,0.08495724135999999,0.02179690904173878,-0.02396913876,0.09679161704,250,0.797,0.396,0.36833781344
26,Oz,0.0842591268,0.02840983083720641,0.04376909896,0.09129014276,250,0.797,0.396,0.36833781344
5,F7,0.08336043343999999,0.02131394928229051,0.07529369572,0.09747768311999999,250,0.797,0.396,0.36833781344
25,T6,0.082416743,0.022953672042947928,-0.050352344199999996,0.09468227432000001,250,0.797,0.396,0.36833781344
11,FT8,0.08184518652,0.024555644710444583,-0.0015216344799999998,0.09691907644,250,0.797,0.396,0.36833781344
6,F8,0.07430999124,0.019544355360946567,-0.02113431584,0.08061825268,250,0.797,0.396,0.36833781344
1,Fp2,0.07019304732000001,0.015748847955678325,0.04996443412,0.08661417924,250,0.797,0.396,0.36833781344
9,FC4,0.06729415844,0.024473429421195,-0.0434931374,0.08359586299999999,250,0.797,0.396,0.36833781344
8,FC3,0.0493131266,0.034221184480889615,0.0005276784800000001,0.0581172086,250,0.797,0.396,0.36833781344
