subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.10966903,-0.09168865,0.12261066,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,1,Fp2,0.0828716,0.05181244,0.098534,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,2,Fz,0.09384092,-0.07521161,0.10255529,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,3,F3,0.04439897,-0.00317927,0.05180461,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,4,F4,0.10648246,0.03641297,0.11111746,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,5,F7,0.10178152,0.08789358,0.11492669,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,6,F8,0.04891625,-0.01757027,0.05565666,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,7,FCz,0.09290519,0.07354051,0.12378034,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,8,FC3,0.01967328,-0.01967328,0.02152753,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,9,FC4,0.04699753,-0.03906577,0.0533228,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,10,FT7,0.10854158,-0.07674365,0.13621387,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,11,FT8,0.11670719,0.06293724,0.12028745,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,12,Cz,0.06347769,0.06347769,0.0821321,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,13,C3,0.11665255,0.05722331,0.11742772,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,14,C4,0.09381266,-0.06874064,0.10532624,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,15,T3,0.13403395,0.13403395,0.13562126,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,16,T4,0.15112185,0.05120694,0.17370456,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,17,CP3,0.10128018,-0.00157545,0.11396337,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,18,CP4,0.10168605,0.03695489,0.1179792,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,19,TP7,0.07314575,-0.04314221,0.09118292,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,20,TP8,0.08681179,0.00148801,0.09870546,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
1,1,21,Pz,0.14379454,-0.01415634,0.14471406,0.25,0.25,"[4, 4]",0.5,False,0.43856822,0.11128793,0.36747035,True
