channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.13470865076000002,0.03498385063406461,0.0038034008,0.14024409912,250,0.796,0.412,0.35013598572
28,O2,0.13470253364,0.027738835440596375,-0.01898912232,0.14140215184,250,0.796,0.412,0.35013598572
17,CP3,0.12001467588,0.023756491876854097,0.02136194828,0.13950862512,250,0.796,0.412,0.35013598572
15,T3,0.11959232212000001,0.027157150413475627,0.11427700396,0.12817894824,250,0.796,0.412,0.35013598572
18,CP4,0.11187138136,0.024095942443988917,0.04243885776,0.1288219188,250,0.796,0.412,0.35013598572
27,O1,0.11136428963999999,0.02266799825807749,0.04645620096,0.12365127764,250,0.796,0.412,0.35013598572
13,C3,0.11064375564,0.0259245262095292,0.05503721332,0.11771279376,250,0.796,0.412,0.35013598572
16,T4,0.11055278416,0.02181554293309883,0.0139475902,0.12458034243999999,250,0.796,0.412,0.35013598572
23,P4,0.10650076375999999,0.02863430741275089,-0.08015263008,0.12023341468,250,0.796,0.412,0.35013598572
22,P3,0.10501022571999999,0.024121567488870125,0.08950003348,0.11769858744,250,0.796,0.412,0.35013598572
2,Fz,0.10394018208,0.023340041431421085,-0.09079088064,0.11754285484,250,0.796,0.412,0.35013598572
7,FCz,0.1016740106,0.028990508689177765,0.08791723752,0.11589379528,250,0.796,0.412,0.35013598572
0,Fp1,0.0982256804,0.024731245877054248,-0.08064038656,0.11128401372,250,0.796,0.412,0.35013598572
4,F4,0.09630633108,0.02074844140661867,0.01668683204,0.10818775088,250,0.796,0.412,0.35013598572
24,T5,0.09549521404,0.026018391879407483,0.058293324839999994,0.10573982700000001,250,0.796,0.412,0.35013598572
14,C4,0.09369233284,0.027637689062371754,-0.06542658616,0.10614981488,250,0.796,0.412,0.35013598572
20,TP8,0.09280927336,0.029413957946990688,-0.04944459384,0.11043438208,250,0.796,0.412,0.35013598572
3,F3,0.08842768592,0.02024449329997875,0.02796887512,0.09808537504,250,0.796,0.412,0.35013598572
19,TP7,0.08828895384,0.023503911939344604,-0.02938816264,0.10015464228000001,250,0.796,0.412,0.35013598572
10,FT7,0.08436807604,0.01921265971491995,-0.05029020264,0.09779285892,250,0.796,0.412,0.35013598572
5,F7,0.08424152616000001,0.023594824778915873,0.07370361032,0.09744595588,250,0.796,0.412,0.35013598572
11,FT8,0.08333443592,0.022472863158483344,-0.0020166233999999996,0.09898093756,250,0.796,0.412,0.35013598572
12,Cz,0.08307625396,0.022054349445480317,0.06993753716000001,0.0975409208,250,0.796,0.412,0.35013598572
26,Oz,0.082021736,0.020491371454702277,0.0425826362,0.08959171535999999,250,0.796,0.412,0.35013598572
25,T6,0.07783746372,0.019850972804276463,-0.04475594052,0.0901151468,250,0.796,0.412,0.35013598572
6,F8,0.07243539068,0.020120090474404093,-0.02024536416,0.07859339216,250,0.796,0.412,0.35013598572
1,Fp2,0.07153833508,0.01810730198200531,0.0530094658,0.08800849116000001,250,0.796,0.412,0.35013598572
9,FC4,0.06715741388,0.025971641215345335,-0.04549481832,0.08365718352,250,0.796,0.412,0.35013598572
8,FC3,0.05063451704,0.03588521901485252,0.0019357956399999997,0.0596229912,250,0.796,0.412,0.35013598572
