subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[0, 8]",1.0,True,1,0.0062005,0.00089964,0.00519531,True,0.50607625,0.99985071,2170
1,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00635456,0.00090042,0.0053244,True,0.50698849,0.99984295,2170
1,3,0.5,0.5,"[2, 6]",0.75,False,1,0.00654089,0.0008932,0.00548052,True,0.50409329,0.99993889,2170
1,4,0.5,0.5,"[4, 4]",0.5,False,0,1.09644543,0.2341573,0.91869672,True,0.59950093,0.95902091,2170
1,5,0.625,0.625,"[1, 7]",0.875,False,1,0.00683371,0.00089972,0.00572588,True,0.50736078,0.99980898,2170
2,1,0.375,0.375,"[5, 3]",0.625,False,0,0.94180542,0.26576475,0.78912596,True,0.61825715,0.92725264,2170
2,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00588352,0.00089478,0.00492972,True,0.50784835,0.9998104,2170
2,3,0.5,0.5,"[4, 4]",0.5,False,0,0.75276437,0.20054987,0.63073103,True,0.57945573,0.9689989,2170
2,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00664213,0.00090039,0.00556535,True,0.50621582,0.99984353,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00699611,0.00089848,0.00586194,True,0.50684948,0.99985757,2170
3,1,0.75,0.75,"[6, 2]",0.75,False,0,0.50099825,0.09269091,0.41977962,True,0.52241116,0.99801898,2170
3,2,0.625,0.625,"[1, 7]",0.875,False,1,0.00648637,0.00089577,0.00543484,True,0.5056883,0.99988643,2170
3,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00598813,0.00090113,0.00501737,True,0.50615219,0.9998527,2170
3,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00608794,0.0008983,0.005101,True,0.50408863,0.99993691,2170
3,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00615143,0.00089286,0.0051542,True,0.50546941,0.99988446,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.0061191,0.00088872,0.00512711,True,0.50548866,0.9998889,2170
4,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00579959,0.00090104,0.0048594,True,0.50566801,0.99989932,2170
4,3,0.625,0.625,"[5, 3]",0.625,False,0,1.28235078,0.36590691,1.07446429,True,0.78978136,0.67971618,2170
4,4,0.875,0.875,"[3, 5]",0.625,False,1,0.86002727,0.25079241,0.72060516,True,0.54111505,0.99081857,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00557998,0.00088005,0.00467539,True,0.50781611,0.99981112,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.0063578,0.00090061,0.00532711,True,0.50589443,0.99988944,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00628814,0.00089926,0.00526875,True,0.50521164,0.99990016,2170
