channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.135983607,0.030231983141057482,0.00462426884,0.1429354012,250,0.7835,0.336,0.41151211412
28,O2,0.13531869204,0.028479051330189433,-0.01981570764,0.14329318304,250,0.7835,0.336,0.41151211412
17,CP3,0.11908394359999999,0.025342047596623094,0.00975213436,0.13819883212,250,0.7835,0.336,0.41151211412
15,T3,0.11514854872,0.027923491161769926,0.10870826060000001,0.12450655376,250,0.7835,0.336,0.41151211412
16,T4,0.11221857192,0.024982454231625165,0.015590297440000001,0.126715538,250,0.7835,0.336,0.41151211412
27,O1,0.1117811058,0.024741835278804563,0.04901233988,0.1254911286,250,0.7835,0.336,0.41151211412
18,CP4,0.11162035111999999,0.02538357635877253,0.039713102,0.12944000248,250,0.7835,0.336,0.41151211412
13,C3,0.10932700348,0.027941544791439343,0.06068787168,0.11871250700000001,250,0.7835,0.336,0.41151211412
2,Fz,0.10408051072,0.02524788432454869,-0.08446433988,0.11799663288,250,0.7835,0.336,0.41151211412
22,P3,0.10302533352,0.026994412329649078,0.08731548368,0.11672809524,250,0.7835,0.336,0.41151211412
23,P4,0.10116987448,0.029415502512070226,-0.07260905416,0.11445228419999999,250,0.7835,0.336,0.41151211412
7,FCz,0.10072746308000001,0.025514512997806594,0.08527530872,0.11584560295999999,250,0.7835,0.336,0.41151211412
0,Fp1,0.09698878164,0.0255803333923432,-0.07927917608,0.10983194184,250,0.7835,0.336,0.41151211412
14,C4,0.09317424352,0.03372259477970145,-0.0549041092,0.10593432028,250,0.7835,0.336,0.41151211412
4,F4,0.0925980084,0.024274261924587735,0.01703434536,0.10493039376,250,0.7835,0.336,0.41151211412
24,T5,0.09142581816,0.025679223259360798,0.05731672364,0.10252564083999999,250,0.7835,0.336,0.41151211412
3,F3,0.09095646128,0.022979552970213292,0.02535110464,0.10129473916000001,250,0.7835,0.336,0.41151211412
5,F7,0.08864849524,0.023977962662619125,0.08052174343999999,0.10197936668,250,0.7835,0.336,0.41151211412
20,TP8,0.08847971728000001,0.0214006996678294,-0.04978811688,0.10640023632000001,250,0.7835,0.336,0.41151211412
10,FT7,0.08318246376,0.021488638403215375,-0.045524927,0.097783095,250,0.7835,0.336,0.41151211412
19,TP7,0.08235573268,0.023365470512525858,-0.024007145560000002,0.09410791752,250,0.7835,0.336,0.41151211412
12,Cz,0.08189699692,0.02376203069061589,0.06231829216,0.09547992999999999,250,0.7835,0.336,0.41151211412
11,FT8,0.08182671156,0.020882128777963513,0.0002835366399999999,0.09669182548000001,250,0.7835,0.336,0.41151211412
25,T6,0.08101778112,0.019759315227392184,-0.04333225248,0.09363742827999999,250,0.7835,0.336,0.41151211412
26,Oz,0.07818390536,0.020746980481765275,0.03600215824,0.08572847788,250,0.7835,0.336,0.41151211412
9,FC4,0.07436887612,0.03371319465460238,-0.043580864239999996,0.09031724424,250,0.7835,0.336,0.41151211412
6,F8,0.07275594092,0.020111948477390694,-0.0258578206,0.07998309832,250,0.7835,0.336,0.41151211412
1,Fp2,0.06814212316,0.01822354895829082,0.04630118128,0.08333111732000001,250,0.7835,0.336,0.41151211412
8,FC3,0.050410586439999995,0.032088888638843904,-0.00195391528,0.05947817888,250,0.7835,0.336,0.41151211412
