subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.10924356,-0.09568439,0.12209534,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,1,Fp2,0.07761414,0.06087289,0.09554292,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,2,Fz,0.1039453,-0.09768743,0.11714611,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,3,F3,0.08780942,0.02772708,0.09489863,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,4,F4,0.09712256,0.01226661,0.10763691,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,5,F7,0.0849536,0.08252637,0.09860189,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,6,F8,0.07709195,-0.02967917,0.07805163,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,7,FCz,0.09848972,0.09848972,0.11456734,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,8,FC3,0.03048555,0.00659106,0.03663082,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,9,FC4,0.05871363,-0.05871363,0.0769463,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,10,FT7,0.09235825,-0.05926401,0.10577972,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,11,FT8,0.08105312,-0.00255949,0.09802813,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,12,Cz,0.07803093,0.07552038,0.093477,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,13,C3,0.11569461,0.07209815,0.11797648,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,14,C4,0.08583041,-0.07640495,0.09716207,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,15,T3,0.12708671,0.12708671,0.13206322,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,16,T4,0.12194314,0.01367255,0.13388824,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,17,CP3,0.12239649,0.03238203,0.14049037,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,18,CP4,0.11103714,0.03564713,0.12776189,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,19,TP7,0.08369144,-0.01955908,0.09427869,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,20,TP8,0.08865312,-0.05824988,0.10728907,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,21,Pz,0.15101263,0.00662947,0.1511977,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,22,P3,0.10705122,0.10705122,0.11640972,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,23,P4,0.10422407,-0.09230059,0.11600713,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,24,T5,0.10432629,0.07241275,0.11389599,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,25,T6,0.08136763,-0.0615339,0.09226156,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,26,Oz,0.07777827,0.04216766,0.07980889,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,27,O1,0.12232315,0.05545644,0.13263604,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,1,28,O2,0.14403853,-0.0227495,0.14673395,0.375,0.375,"[1, 7]",0.875,False,0.01664325,0.00249822,0.01394516,True
1,2,0,Fp1,0.1095877,-0.09605019,0.12250581,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,1,Fp2,0.07793682,0.0610135,0.09529731,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,2,Fz,0.1039262,-0.09831871,0.11741392,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,3,F3,0.08792859,0.02745217,0.09485818,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,4,F4,0.09747422,0.01246088,0.10767256,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,5,F7,0.08413031,0.08137748,0.09757593,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,6,F8,0.07733027,-0.02908271,0.07829282,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,7,FCz,0.09874395,0.09874395,0.11412554,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,8,FC3,0.03096448,0.00602715,0.03741568,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,9,FC4,0.05827926,-0.05827926,0.07638588,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,10,FT7,0.09092879,-0.05867899,0.10444228,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,11,FT8,0.08033596,-0.00330651,0.09722728,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,12,Cz,0.07765187,0.07593179,0.09307426,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,13,C3,0.11570094,0.07266416,0.11790005,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,14,C4,0.08577564,-0.07482681,0.09613792,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,15,T3,0.12658656,0.12658656,0.13195798,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,16,T4,0.12222873,0.01368696,0.13452189,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,17,CP3,0.12168348,0.03279756,0.13995297,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,18,CP4,0.11110228,0.03487122,0.12781204,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,19,TP7,0.0840421,-0.01883667,0.09421763,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,20,TP8,0.08921593,-0.05916066,0.10823458,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,21,Pz,0.15288059,0.00686726,0.15307157,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,22,P3,0.10824388,0.10824388,0.11769474,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,23,P4,0.10457461,-0.09249248,0.11632387,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,24,T5,0.10534769,0.07359992,0.11470447,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,25,T6,0.08086818,-0.06166421,0.09196382,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
1,2,26,Oz,0.07770799,0.04240981,0.0800943,0.375,0.375,"[1, 7]",0.875,False,0.00602444,0.00089979,0.00504779,True
