channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.13970366324,0.03121238414676799,-0.0005234141199999998,0.14534368536,250,0.7925,0.38,0.38407235023999997
28,O2,0.13366318283999998,0.027292477654400904,-0.018172133519999998,0.14202063384,250,0.7925,0.38,0.38407235023999997
17,CP3,0.1237552958,0.027545058124104422,0.02275396432,0.14316194472000002,250,0.7925,0.38,0.38407235023999997
18,CP4,0.11716817388,0.025411201918477826,0.039371691720000004,0.13501048736000001,250,0.7925,0.38,0.38407235023999997
15,T3,0.11658724220000001,0.02610973850192599,0.107365053,0.12643670688,250,0.7925,0.38,0.38407235023999997
27,O1,0.11253719944,0.023475544045982333,0.04371143516,0.12445488596,250,0.7925,0.38,0.38407235023999997
16,T4,0.112064162,0.02409574567204154,0.01181756404,0.12608503640000002,250,0.7925,0.38,0.38407235023999997
13,C3,0.1109489724,0.0283258926395064,0.059162388559999994,0.12009703279999999,250,0.7925,0.38,0.38407235023999997
2,Fz,0.10430620312000001,0.023043377429473717,-0.09225876648,0.1192168554,250,0.7925,0.38,0.38407235023999997
22,P3,0.101700627,0.023905435885587717,0.09037211344000001,0.11387523956,250,0.7925,0.38,0.38407235023999997
7,FCz,0.10046995648,0.02385003031438039,0.08870253592,0.11536756852,250,0.7925,0.38,0.38407235023999997
23,P4,0.09886136828,0.026067781440478114,-0.07370098284,0.11205858692,250,0.7925,0.38,0.38407235023999997
24,T5,0.09650202472,0.024031602219599685,0.055194483759999996,0.10832578572,250,0.7925,0.38,0.38407235023999997
0,Fp1,0.09485793708,0.025012086097156286,-0.0777109448,0.10750692896,250,0.7925,0.38,0.38407235023999997
4,F4,0.09178263568,0.021387766124444867,0.01803239672,0.10418352908,250,0.7925,0.38,0.38407235023999997
14,C4,0.09168399992000001,0.027942955351882404,-0.06458087516000001,0.10475363596,250,0.7925,0.38,0.38407235023999997
20,TP8,0.09155356192,0.023920810769325306,-0.04308725176,0.10937154067999999,250,0.7925,0.38,0.38407235023999997
3,F3,0.08751746072000001,0.01895670790708492,0.02459236712,0.0975576298,250,0.7925,0.38,0.38407235023999997
19,TP7,0.08548737556000001,0.021904834266287327,-0.02427424688,0.09730860272,250,0.7925,0.38,0.38407235023999997
12,Cz,0.08523340168,0.025230569380131275,0.06550501292,0.09995650655999999,250,0.7925,0.38,0.38407235023999997
10,FT7,0.08505753624000001,0.022578611716162107,-0.04330851196,0.09831782204,250,0.7925,0.38,0.38407235023999997
26,Oz,0.08471877548000001,0.0302258712727768,0.04474903952,0.09180610068,250,0.7925,0.38,0.38407235023999997
5,F7,0.0835184816,0.021739022170183323,0.07505640852,0.09772987692,250,0.7925,0.38,0.38407235023999997
25,T6,0.08245555544,0.023153537012283825,-0.04953514736,0.09500998436000001,250,0.7925,0.38,0.38407235023999997
11,FT8,0.08220091368,0.025655930518788814,-0.00127251328,0.09689931492,250,0.7925,0.38,0.38407235023999997
6,F8,0.07419955988,0.02021522071954219,-0.020970687999999998,0.0807741258,250,0.7925,0.38,0.38407235023999997
1,Fp2,0.06975342376,0.015801420340347892,0.04917072348,0.08590459312,250,0.7925,0.38,0.38407235023999997
9,FC4,0.06743998472,0.024003959126594986,-0.04304228252,0.08364936684,250,0.7925,0.38,0.38407235023999997
8,FC3,0.04947530224,0.03293839146683226,-2.482231999999987e-05,0.05859536708,250,0.7925,0.38,0.38407235023999997
