subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.625,0.625,"[5, 3]",0.625,False,0,1.08036544,0.27975848,0.90522352,True,0.58819827,0.96885737,2170
1,2,0.5,0.5,"[4, 4]",0.5,False,0,0.21951951,0.04955325,0.18393241,True,0.51004613,0.99941599,2170
1,3,0.375,0.375,"[1, 7]",0.875,False,1,0.00901622,0.00159459,0.00755456,True,0.50476789,0.99991676,2170
1,4,0.625,0.625,"[5, 3]",0.625,False,0,0.81447103,0.21384454,0.6824342,True,0.57572341,0.972612,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00949613,0.00173754,0.00795668,True,0.50771289,0.99980294,2170
2,1,0.625,0.625,"[5, 3]",0.625,False,0,0.73832983,0.19140883,0.61863653,True,0.63992278,0.91611134,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.21729449,0.04991251,0.1820681,True,0.53579607,0.99537691,2170
2,3,0.625,0.625,"[1, 7]",0.875,False,1,0.97734312,0.27185174,0.81890251,True,0.84138321,0.53493798,2170
2,4,0.75,0.75,"[6, 2]",0.75,False,0,0.18758917,0.04200214,0.15717841,True,0.5172401,0.9988025,2170
2,5,0.625,0.625,"[3, 5]",0.625,False,1,0.09428739,0.01837875,0.07900213,True,0.50700569,0.99973174,2170
3,1,0.625,0.625,"[7, 1]",0.875,False,0,0.95699891,0.20460258,0.80185638,True,0.64344297,0.8925685,2170
3,2,0.375,0.375,"[3, 5]",0.625,False,1,1.02870923,0.23900916,0.86194148,True,0.68606128,0.88441465,2170
3,3,0.5,0.5,"[2, 6]",0.75,False,1,0.78008695,0.16329993,0.65362425,True,0.5631375,0.97913471,2170
3,4,0.75,0.75,"[4, 4]",0.5,False,0,1.32851379,0.30664837,1.11314364,True,0.81200922,0.61331391,2170
3,5,0.75,0.75,"[6, 2]",0.75,False,0,1.52831977,0.50676775,1.28055836,True,0.78041969,0.64271811,2170
4,1,0.25,0.25,"[2, 6]",0.75,False,1,0.00971141,0.00170542,0.00813706,True,0.5048386,0.9999045,2170
4,2,0.5,0.5,"[4, 4]",0.5,False,0,0.69630759,0.19594318,0.58342667,True,0.5684104,0.9776369,2170
4,3,0.625,0.625,"[3, 5]",0.625,False,1,1.17786023,0.27111215,0.98691307,True,0.82315885,0.58834529,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,1.06957816,0.3359189,0.896185,True,0.68554202,0.85588937,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01083006,0.00168544,0.00907436,True,0.50770092,0.99981469,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00956841,0.00172592,0.00801724,True,0.50553587,0.99989748,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00922737,0.00162973,0.00773148,True,0.50553093,0.99989603,2170
5,3,0.375,0.375,"[5, 3]",0.625,False,0,1.13243303,0.25419139,0.94885024,True,0.7535549,0.73463067,2170
