subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[4, 4]",0.5,False,0,1.08212576,0.28692587,0.90669846,True,0.58447027,0.97129436,2170
1,2,0.5,0.5,"[4, 4]",0.5,False,0,0.21998853,0.0503874,0.1843254,True,0.50931531,0.9994411,2170
1,3,0.375,0.375,"[1, 7]",0.875,False,1,0.00906262,0.00159519,0.00759345,True,0.50474373,0.99991788,2170
1,4,0.625,0.625,"[5, 3]",0.625,False,0,0.70755102,0.17568281,0.59284738,True,0.55737548,0.98443475,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00959207,0.00174765,0.00803707,True,0.50770923,0.9998033,2170
2,1,0.625,0.625,"[5, 3]",0.625,False,0,0.79148526,0.20303778,0.66317474,True,0.65003343,0.90279007,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.43401705,0.11751767,0.36365699,True,0.58747186,0.97105731,2170
2,3,0.75,0.75,"[2, 6]",0.75,False,1,0.69906861,0.21591711,0.58574009,True,0.70998029,0.8263738,2170
2,4,0.875,0.875,"[5, 3]",0.625,False,0,0.1652057,0.03654452,0.13842361,True,0.51399393,0.99912596,2170
2,5,0.625,0.625,"[3, 5]",0.625,False,1,0.09336385,0.01802862,0.0782283,True,0.50769589,0.99968494,2170
3,1,0.875,0.875,"[3, 5]",0.625,False,1,1.26691207,0.26889528,1.0615284,True,0.67992864,0.8554649,2170
3,2,0.375,0.375,"[3, 5]",0.625,False,1,0.86260598,0.20856755,0.72276583,True,0.65367589,0.9241597,2170
3,3,0.5,0.5,"[2, 6]",0.75,False,1,0.79938838,0.15867691,0.66979665,True,0.57171479,0.97644245,2170
3,4,0.875,0.875,"[3, 5]",0.625,False,1,1.28018456,0.31204943,1.07264924,True,0.80597534,0.620601,2170
3,5,0.75,0.75,"[6, 2]",0.75,False,0,1.30898455,0.35909136,1.09678036,True,0.691687,0.79559751,2170
