channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.138209035,0.02980728854312728,0.0018081458799999999,0.14361551044,250,0.7945,0.392,0.37512014204
28,O2,0.13048376448,0.028504040322374052,-0.0153759466,0.13759098692000002,250,0.7945,0.392,0.37512014204
17,CP3,0.12541408504,0.02731855035315568,0.022675082880000003,0.14455822604,250,0.7945,0.392,0.37512014204
15,T3,0.11991767728000001,0.028494939309802316,0.1113595344,0.12898979388,250,0.7945,0.392,0.37512014204
18,CP4,0.1122971192,0.023544479990841374,0.03823312264,0.13023045136,250,0.7945,0.392,0.37512014204
27,O1,0.11218758088,0.022918933425139225,0.044155373840000005,0.1243665696,250,0.7945,0.392,0.37512014204
16,T4,0.1113533836,0.023756207735058682,0.016442009559999998,0.1258493334,250,0.7945,0.392,0.37512014204
13,C3,0.10989987716,0.025824930566426894,0.052568825879999996,0.1181046964,250,0.7945,0.392,0.37512014204
22,P3,0.10634909372,0.026750153627981273,0.09143135892,0.11890603388,250,0.7945,0.392,0.37512014204
2,Fz,0.10522409704,0.021745548458009193,-0.0928424778,0.12019829252,250,0.7945,0.392,0.37512014204
23,P4,0.1032596606,0.028459210272064443,-0.0770546668,0.11659632648,250,0.7945,0.392,0.37512014204
7,FCz,0.09946872564,0.026354607406257367,0.08281364196,0.11444703212,250,0.7945,0.392,0.37512014204
0,Fp1,0.09755925655999999,0.0263668705656169,-0.07955809976,0.11015612264,250,0.7945,0.392,0.37512014204
24,T5,0.09687880444,0.028498373441456063,0.05803203524,0.10848486155999999,250,0.7945,0.392,0.37512014204
4,F4,0.09527811628,0.02261939629787345,0.01693105524,0.1073765006,250,0.7945,0.392,0.37512014204
20,TP8,0.09221890980000001,0.025979489018522102,-0.047824073,0.10917485424000001,250,0.7945,0.392,0.37512014204
14,C4,0.09075121232000001,0.024043305635294585,-0.062181797680000005,0.10395850632,250,0.7945,0.392,0.37512014204
19,TP7,0.08767425244,0.02646849937347136,-0.02620501988,0.09971027216,250,0.7945,0.392,0.37512014204
3,F3,0.08731239956,0.021647134831620608,0.0293650234,0.09723488768,250,0.7945,0.392,0.37512014204
10,FT7,0.08693782352,0.02195016338181393,-0.045047605,0.10053410152,250,0.7945,0.392,0.37512014204
5,F7,0.08329690724,0.02247088359757159,0.07363019348000001,0.09670652112,250,0.7945,0.392,0.37512014204
11,FT8,0.08326289632,0.02644377958528859,-0.00042424328,0.09885321736,250,0.7945,0.392,0.37512014204
12,Cz,0.08186505344,0.021396091812504254,0.06988663976,0.09605461752,250,0.7945,0.392,0.37512014204
26,Oz,0.0818251244,0.027042060978491787,0.04068347576,0.08825251376,250,0.7945,0.392,0.37512014204
25,T6,0.07944505723999999,0.020729808624938194,-0.04654472764,0.09154148636,250,0.7945,0.392,0.37512014204
6,F8,0.07661094096,0.02092094371551581,-0.016965685759999998,0.08363905052,250,0.7945,0.392,0.37512014204
1,Fp2,0.07008858052,0.018604403206368917,0.0499116644,0.08594090076000001,250,0.7945,0.392,0.37512014204
9,FC4,0.06507224548000001,0.026611413567454716,-0.04413744356,0.08160787612,250,0.7945,0.392,0.37512014204
8,FC3,0.049145199120000004,0.03507963135060235,-0.0006168812800000001,0.05846184392,250,0.7945,0.392,0.37512014204
