channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.13878135844,0.02941496567085363,0.0031091924800000005,0.14356172252,250,0.797,0.408,0.34553519132000005
28,O2,0.13551556507999998,0.02436540369475285,-0.02234289516,0.14243342544,250,0.797,0.408,0.34553519132000005
17,CP3,0.12666209116,0.029792798609561768,0.01323776416,0.14643912911999998,250,0.797,0.408,0.34553519132000005
15,T3,0.11486102784,0.024875017473059233,0.1073456898,0.12371749595999999,250,0.797,0.408,0.34553519132000005
18,CP4,0.11351635796,0.02364153510702597,0.03815404556,0.13040743168,250,0.797,0.408,0.34553519132000005
16,T4,0.11309956119999999,0.021251466998401403,0.017266667559999997,0.12614487424,250,0.797,0.408,0.34553519132000005
27,O1,0.11299082871999999,0.024707889565478085,0.04829982216,0.12549134624,250,0.797,0.408,0.34553519132000005
13,C3,0.10857687047999999,0.02516480560736296,0.06157116292,0.1162397322,250,0.797,0.408,0.34553519132000005
23,P4,0.10544290308,0.028512380562773564,-0.08104628076,0.11949071404,250,0.797,0.408,0.34553519132000005
22,P3,0.10531572952,0.02992408392093386,0.09351081348,0.11746482059999999,250,0.797,0.408,0.34553519132000005
2,Fz,0.10183942452,0.022696419714527516,-0.08462661552,0.11522388911999999,250,0.797,0.408,0.34553519132000005
7,FCz,0.10030703036,0.023772686242908885,0.08969934476000001,0.11492264544,250,0.797,0.408,0.34553519132000005
0,Fp1,0.09969620532000001,0.021921032665193393,-0.08434531884,0.11296103496000001,250,0.797,0.408,0.34553519132000005
24,T5,0.09857963768,0.02396844608754325,0.06549477740000001,0.109885127,250,0.797,0.408,0.34553519132000005
4,F4,0.09527546824,0.02315152280007128,0.01680391708,0.10743387416,250,0.797,0.408,0.34553519132000005
14,C4,0.09107277899999999,0.026291265314100584,-0.062030234479999995,0.10396738656,250,0.797,0.408,0.34553519132000005
3,F3,0.08962049731999999,0.022634073935801642,0.02757194828,0.10033273928,250,0.797,0.408,0.34553519132000005
20,TP8,0.08747259512,0.017930833811209818,-0.05175637652,0.10491155976000001,250,0.797,0.408,0.34553519132000005
10,FT7,0.08593006203999999,0.01992978500003511,-0.04797434992,0.09972727104000001,250,0.797,0.408,0.34553519132000005
5,F7,0.08487750440000001,0.021542213581525086,0.07855513208,0.09796635896,250,0.797,0.408,0.34553519132000005
19,TP7,0.08308010816,0.019660590378811137,-0.02275482232,0.09453937524,250,0.797,0.408,0.34553519132000005
11,FT8,0.08284713503999999,0.021687569404686264,-0.0022641605200000004,0.09842217639999999,250,0.797,0.408,0.34553519132000005
12,Cz,0.08008839696,0.022330018770295706,0.06252512852,0.09464259808,250,0.797,0.408,0.34553519132000005
25,T6,0.07915434532,0.016656061009773314,-0.04390533764,0.09127577144,250,0.797,0.408,0.34553519132000005
26,Oz,0.07827483496000001,0.02053019980882612,0.03623863416,0.08537960968,250,0.797,0.408,0.34553519132000005
6,F8,0.0749224054,0.021122711172733663,-0.026644977440000002,0.08039860052,250,0.797,0.408,0.34553519132000005
1,Fp2,0.07139197992,0.019285472769599167,0.052380681000000005,0.08769465975999999,250,0.797,0.408,0.34553519132000005
9,FC4,0.0686229648,0.031453401236175446,-0.04419007288,0.08495870624,250,0.797,0.408,0.34553519132000005
8,FC3,0.049832370040000004,0.03402124186083374,0.00210862104,0.05898319112,250,0.797,0.408,0.34553519132000005
