subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[4, 4]",0.5,False,0,1.21136531,0.28202204,1.01498653,True,0.63360095,0.9374517,2170
1,2,0.375,0.375,"[1, 7]",0.875,False,1,0.16145417,0.03374192,0.13528025,True,0.50891012,0.99962431,2170
1,3,0.375,0.375,"[1, 7]",0.875,False,1,0.01188739,0.00213267,0.00996029,True,0.50490612,0.99991019,2170
1,4,0.625,0.625,"[5, 3]",0.625,False,0,0.80747016,0.2096689,0.67656827,True,0.58755098,0.96593054,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01284022,0.0022734,0.01075864,True,0.50812224,0.99978312,2170
2,1,0.625,0.625,"[5, 3]",0.625,False,0,0.66983944,0.1604474,0.56124936,True,0.6287712,0.93213486,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.21676742,0.05353294,0.18162648,True,0.53700157,0.99504464,2170
2,3,0.75,0.75,"[2, 6]",0.75,False,1,0.65306376,0.19575457,0.54719325,True,0.69305558,0.85357692,2170
2,4,0.75,0.75,"[6, 2]",0.75,False,0,0.21413136,0.04884154,0.17941776,True,0.52222987,0.99812944,2170
2,5,0.625,0.625,"[3, 5]",0.625,False,1,0.11927804,0.02470346,0.09994145,True,0.50925768,0.99957996,2170
3,1,0.875,0.875,"[3, 5]",0.625,False,1,1.37209347,0.35165681,1.14965847,True,0.77160761,0.75392815,2170
3,2,0.375,0.375,"[3, 5]",0.625,False,1,1.06456087,0.25498854,0.89198108,True,0.6984622,0.87265912,2170
3,3,0.5,0.5,"[2, 6]",0.75,False,1,0.8642714,0.19736829,0.72416126,True,0.57682479,0.96935313,2170
3,4,0.75,0.75,"[4, 4]",0.5,False,0,1.37141281,0.3474267,1.14908815,True,0.80767416,0.58663339,2170
3,5,0.75,0.75,"[6, 2]",0.75,False,0,1.4099864,0.39640784,1.18140844,True,0.72630229,0.74687019,2170
4,1,0.375,0.375,"[1, 7]",0.875,False,1,0.01282527,0.00225811,0.01074612,True,0.50507342,0.9998967,2170
4,2,0.75,0.75,"[2, 6]",0.75,False,1,0.6607584,0.18457625,0.55364048,True,0.56158736,0.98161376,2170
4,3,0.625,0.625,"[3, 5]",0.625,False,1,1.5154046,0.38269916,1.26973692,True,0.90236117,0.30933235,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,1.04165183,0.31940459,0.87278591,True,0.66816711,0.87825775,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01449593,0.00221307,0.01214594,True,0.50767837,0.99981509,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01276742,0.00230368,0.01069765,True,0.50581512,0.99988769,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01234029,0.00217542,0.01033976,True,0.50578658,0.99988757,2170
5,3,0.375,0.375,"[5, 3]",0.625,False,0,1.13784476,0.25688838,0.95338466,True,0.75343739,0.74060317,2170
5,4,0.5,0.5,"[2, 6]",0.75,False,1,0.12540746,0.02707909,0.10507721,True,0.50519039,0.99991672,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01313799,0.00227103,0.01100814,True,0.50749936,0.99982319,2170
6,1,0.25,0.25,"[2, 6]",0.75,False,1,0.72371725,0.1853134,0.60639284,True,0.5610366,0.98212588,2170
6,2,0.75,0.75,"[6, 2]",0.75,False,0,0.74809723,0.20770947,0.6268205,True,0.64287397,0.9131012,2170
6,3,0.5,0.5,"[6, 2]",0.75,False,0,0.99890691,0.29555923,0.83697052,True,0.66328562,0.89898377,2170
6,4,0.5,0.5,"[0, 8]",1.0,True,1,0.03032888,0.00655729,0.02541216,True,0.50726831,0.99979127,2170
6,5,0.25,0.25,"[4, 4]",0.5,False,0,0.75490799,0.22389571,0.63252715,True,0.63243463,0.92065871,2170
7,1,0.75,0.75,"[4, 4]",0.5,False,0,1.14587358,0.27522081,0.9601119,True,0.87476342,0.4588588,2170
7,2,0.375,0.375,"[7, 1]",0.875,False,0,0.57058786,0.14402272,0.47808781,True,0.57711182,0.97481192,2170
7,3,0.875,0.875,"[3, 5]",0.625,False,1,0.76017645,0.17931032,0.63694151,True,0.60393533,0.95715721,2170
7,4,0.375,0.375,"[3, 5]",0.625,False,1,1.28686813,0.46637365,1.07824931,True,0.66695846,0.88426103,2170
7,5,0.625,0.625,"[3, 5]",0.625,False,1,0.670718,0.16396111,0.5619855,True,0.58548142,0.96804037,2170
8,1,0.625,0.625,"[5, 3]",0.625,False,0,0.75620047,0.260876,0.63361009,True,0.69179194,0.87166186,2170
8,2,0.75,0.75,"[4, 4]",0.5,False,0,0.61471202,0.20429149,0.51505884,True,0.61339255,0.95596166,2170
8,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01441025,0.00229828,0.01207415,True,0.50546867,0.99988996,2170
8,4,0.625,0.625,"[1, 7]",0.875,False,1,0.26953308,0.07399628,0.22583811,True,0.54031466,0.99367187,2170
8,5,0.5,0.5,"[6, 2]",0.75,False,0,0.61578057,0.20700189,0.51595417,True,0.63911862,0.9241277,2170
9,1,0.625,0.625,"[1, 7]",0.875,False,1,0.1530353,0.03873243,0.1282262,True,0.51072582,0.9994814,2170
9,2,0.5,0.5,"[4, 4]",0.5,False,0,0.44723226,0.10742446,0.37472983,True,0.53316316,0.99505614,2170
9,3,0.25,0.25,"[2, 6]",0.75,False,1,0.25121529,0.05172636,0.21048988,True,0.51488935,0.99874515,2170
9,4,0.625,0.625,"[1, 7]",0.875,False,1,0.08696231,0.01850352,0.07286454,True,0.50385056,0.99994201,2170
9,5,0.25,0.25,"[4, 4]",0.5,False,0,0.87049556,0.21459749,0.7293764,True,0.59889798,0.95970347,2170
10,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01327101,0.00223924,0.0111196,True,0.50750455,0.99981715,2170
10,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01006779,0.00182238,0.00843567,True,0.5080996,0.9997879,2170
10,3,0.375,0.375,"[3, 5]",0.625,False,1,1.34489031,0.40315506,1.12686531,True,0.75844422,0.76104987,2170
10,4,0.5,0.5,"[4, 4]",0.5,False,0,1.53740237,0.56018585,1.28816855,True,0.7684173,0.71097059,2170
10,5,0.5,0.5,"[4, 4]",0.5,False,0,0.76503244,0.19762287,0.64101028,True,0.55781926,0.98698477,2170
11,1,0.375,0.375,"[3, 5]",0.625,False,1,0.66904959,0.17082833,0.56058756,True,0.59573564,0.96375002,2170
11,2,0.5,0.5,"[0, 8]",1.0,True,1,0.0109025,0.00217954,0.00913506,True,0.50684975,0.99985284,2170
11,3,0.625,0.625,"[5, 3]",0.625,False,0,0.70128611,0.16802766,0.5875981,True,0.57120399,0.96913496,2170
11,4,0.5,0.5,"[2, 6]",0.75,False,1,0.33504787,0.08763533,0.28073206,True,0.52466537,0.997657,2170
11,5,0.5,0.5,"[0, 8]",1.0,True,1,0.0107989,0.00204112,0.00904825,True,0.50606004,0.9998853,2170
12,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01228333,0.00235429,0.01029204,True,0.50628366,0.99987339,2170
12,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01177755,0.00234499,0.00986825,True,0.50731725,0.99981352,2170
12,3,0.5,0.5,"[4, 4]",0.5,False,0,0.38647572,0.08056632,0.32382275,True,0.52252377,0.9978899,2170
12,4,0.5,0.5,"[0, 8]",1.0,True,1,0.01410833,0.00224594,0.01182118,True,0.50646821,0.99987096,2170
12,5,0.5,0.5,"[8, 0]",1.0,True,0,0.31951013,0.07820197,0.26771319,True,0.53041598,0.99686932,2170
13,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01064704,0.00227593,0.00892101,True,0.50733795,0.9998149,2170
13,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01477996,0.00238574,0.01238392,True,0.50637216,0.99985216,2170
13,3,0.875,0.875,"[5, 3]",0.625,False,0,0.61147637,0.15062299,0.51234774,True,0.61951009,0.94860906,2170
13,4,0.5,0.5,"[0, 8]",1.0,True,1,0.01314573,0.00234628,0.01101463,True,0.50897436,0.99973197,2170
13,5,0.75,0.75,"[4, 4]",0.5,False,0,0.49973072,0.09534946,0.41871758,True,0.59363552,0.96368485,2170
14,1,0.625,0.625,"[1, 7]",0.875,False,1,0.01304932,0.00206425,0.01093385,True,0.50597232,0.99986615,2170
14,2,0.25,0.25,"[6, 2]",0.75,False,0,0.70480132,0.21540889,0.59054344,True,0.56268813,0.98520434,2170
14,3,0.625,0.625,"[5, 3]",0.625,False,0,1.23804335,0.33324668,1.03733969,True,0.81396815,0.57228612,2170
