subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00620496,0.00089836,0.00519906,True,0.50607222,0.99985088,2170
1,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00634511,0.00090086,0.00531648,True,0.50699131,0.99984287,2170
1,3,0.5,0.5,"[2, 6]",0.75,False,1,0.00653206,0.00089344,0.00547312,True,0.50409705,0.99993894,2170
1,4,0.5,0.5,"[4, 4]",0.5,False,0,1.1016925,0.23161697,0.92309317,True,0.59885164,0.95951179,2170
1,5,0.625,0.625,"[1, 7]",0.875,False,1,0.00682894,0.0009003,0.00572187,True,0.50736213,0.99980897,2170
2,1,0.375,0.375,"[5, 3]",0.625,False,0,0.94451791,0.26545923,0.79139872,True,0.61785363,0.92882593,2170
2,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00587708,0.00089558,0.00492433,True,0.50785835,0.99980998,2170
2,3,0.375,0.375,"[3, 5]",0.625,False,1,0.6842228,0.18343213,0.57330098,True,0.57012641,0.97648825,2170
2,4,0.5,0.5,"[0, 8]",1.0,True,1,0.0066473,0.00090113,0.00556969,True,0.5062198,0.99984293,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00699891,0.00089855,0.00586429,True,0.50686963,0.99985651,2170
3,1,0.75,0.75,"[6, 2]",0.75,False,0,0.50159887,0.09280905,0.42028287,True,0.52263421,0.99802516,2170
3,2,0.625,0.625,"[1, 7]",0.875,False,1,0.00649944,0.00089595,0.00544579,True,0.5056619,0.99988743,2170
3,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00601496,0.00090106,0.00503985,True,0.50617041,0.99985237,2170
3,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00611947,0.0008982,0.00512742,True,0.5040934,0.99993709,2170
3,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00615763,0.00089256,0.0051594,True,0.50547362,0.99988423,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00612404,0.00088999,0.00513125,True,0.50549213,0.99988901,2170
4,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00580874,0.00090076,0.00486707,True,0.50566409,0.99989936,2170
4,3,0.625,0.625,"[5, 3]",0.625,False,0,1.28705582,0.36649182,1.07840658,True,0.78787309,0.67960479,2170
4,4,0.875,0.875,"[3, 5]",0.625,False,1,0.86120767,0.25069039,0.7215942,True,0.54153241,0.99058754,2170
