subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.08296224,-0.04357706,0.0856085,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,1,Fp2,0.04087997,0.03971857,0.04867924,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,2,Fz,0.10431345,-0.03705644,0.11429046,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,3,F3,0.06674699,-0.06674699,0.08570865,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,4,F4,0.15088332,-0.04340696,0.20794284,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,5,F7,0.05526663,0.04588203,0.06839194,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,6,F8,0.04326919,0.00560328,0.04699794,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,7,FCz,0.10860675,0.10860675,0.15697183,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,8,FC3,0.06710048,-0.03899432,0.07852286,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,9,FC4,0.12888366,0.02778348,0.1445573,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,10,FT7,0.07509389,0.05806574,0.1149448,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,11,FT8,0.03686918,-0.03686918,0.04626611,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,12,Cz,0.09398745,0.09249432,0.12203991,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,13,C3,0.07505137,0.0005299,0.09870701,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,14,C4,0.06964312,0.04428508,0.08886953,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,15,T3,0.08901085,0.07936652,0.0989648,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,16,T4,0.12856574,-0.02806418,0.17111292,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,17,CP3,0.08552378,-0.00357172,0.11090516,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,18,CP4,0.07162726,0.05008921,0.08815075,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,19,TP7,0.20492119,-0.12510425,0.21204937,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,20,TP8,0.0811743,-0.03070714,0.09194826,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,21,Pz,0.12981895,0.0477551,0.13703243,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,22,P3,0.12521304,-0.01150873,0.15056863,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,23,P4,0.13262907,-0.06672896,0.14864431,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,24,T5,0.07319157,0.03389111,0.09400649,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,25,T6,0.07331855,-0.07331855,0.08621415,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,26,Oz,0.06692234,-0.02065394,0.07631063,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,27,O1,0.19223109,0.13722035,0.20119995,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,1,28,O2,0.05784731,0.01805666,0.07839617,0.625,0.625,"[5, 3]",0.625,False,1.13580434,0.29779008,0.95167501,True
1,2,0,Fp1,0.12811479,-0.10391565,0.13863435,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,1,Fp2,0.0843468,0.04430535,0.10025629,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,2,Fz,0.12037013,-0.12037013,0.13430922,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,3,F3,0.08435945,0.02672857,0.08671084,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,4,F4,0.08001611,0.00132145,0.09231943,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,5,F7,0.08265809,0.08076599,0.09610118,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,6,F8,0.07277849,-0.02852948,0.07339279,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,7,FCz,0.10149167,0.09211429,0.11898812,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,8,FC3,0.02075956,-0.00200946,0.02257851,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,9,FC4,0.04297597,-0.04128914,0.06123419,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,10,FT7,0.07747488,-0.03737017,0.09046364,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,11,FT8,0.08543187,-0.00255704,0.09694346,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,12,Cz,0.07654501,0.07654501,0.09293652,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,13,C3,0.12922013,0.06985749,0.1309699,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,14,C4,0.08085768,-0.08085768,0.09214342,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,15,T3,0.11294845,0.11294845,0.12192891,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,16,T4,0.11271019,-0.00241504,0.1273715,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,17,CP3,0.12183085,0.03308827,0.14127032,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
1,2,18,CP4,0.11716832,0.03107302,0.13336243,0.5,0.5,"[4, 4]",0.5,False,0.22542657,0.04839953,0.18888186,True
