channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
28,O2,0.13463719368,0.028226208736631293,-0.01893706636,0.14143199472,250,0.795,0.412,0.350946209
21,Pz,0.1346232554,0.03506231207348804,0.00390056472,0.14016115192,250,0.795,0.412,0.350946209
17,CP3,0.11984595644,0.02382185011794415,0.021165789440000003,0.13935594327999998,250,0.795,0.412,0.350946209
15,T3,0.11957724432000001,0.02716889021708953,0.11426878324,0.12818979876,250,0.795,0.412,0.350946209
18,CP4,0.11185062544,0.023786309531220625,0.04244529347999999,0.12882308452000002,250,0.795,0.412,0.350946209
27,O1,0.1112830352,0.022560048570507238,0.04651855135999999,0.12362483760000001,250,0.795,0.412,0.350946209
13,C3,0.11090311516,0.026073428830960147,0.05514174604,0.11792466552,250,0.795,0.412,0.350946209
16,T4,0.11056218112,0.021770428750142363,0.0139106436,0.1245740112,250,0.795,0.412,0.350946209
23,P4,0.10643775868000001,0.02869073179066329,-0.07997069344,0.12016285452,250,0.795,0.412,0.350946209
22,P3,0.10510965272,0.024095934980492395,0.089587783,0.11781014676,250,0.795,0.412,0.350946209
2,Fz,0.10396859436,0.023393383989900398,-0.09082124596,0.11754430164,250,0.795,0.412,0.350946209
7,FCz,0.10153681267999999,0.02907682096657944,0.08785916636,0.11577964588,250,0.795,0.412,0.350946209
0,Fp1,0.09811781356,0.024729855609993273,-0.08059187599999999,0.11121259432,250,0.795,0.412,0.350946209
4,F4,0.09637933404,0.020726075257407838,0.016793119199999998,0.10826715576,250,0.795,0.412,0.350946209
24,T5,0.09533962704,0.026115064678897633,0.05807942036,0.10560729152000001,250,0.795,0.412,0.350946209
14,C4,0.09382977667999999,0.02792162764512624,-0.06555589136000001,0.10629404756,250,0.795,0.412,0.350946209
20,TP8,0.09273632772000001,0.029509253723606223,-0.049297440479999996,0.11035818107999999,250,0.795,0.412,0.350946209
3,F3,0.08848538012,0.020200470018422272,0.02800627348,0.09811890088,250,0.795,0.412,0.350946209
19,TP7,0.08826681152,0.02353925582170191,-0.029360491199999998,0.10012172068,250,0.795,0.412,0.350946209
5,F7,0.08436350127999999,0.023641227133948298,0.07378016432,0.09755180111999999,250,0.795,0.412,0.350946209
10,FT7,0.08435673876,0.01927176220092363,-0.05022804392,0.09780880623999999,250,0.795,0.412,0.350946209
11,FT8,0.08343261916,0.022359439781432778,-0.00212738516,0.09900769252000001,250,0.795,0.412,0.350946209
12,Cz,0.08316861324,0.02203025496637893,0.069981584,0.09766688876,250,0.795,0.412,0.350946209
26,Oz,0.08204954824,0.02060886771188999,0.0423875152,0.08959606816,250,0.795,0.412,0.350946209
25,T6,0.07774405904,0.019942849270251518,-0.04483884816,0.09010051548,250,0.795,0.412,0.350946209
6,F8,0.0725467722,0.01989374203012738,-0.02028755312,0.07863474499999999,250,0.795,0.412,0.350946209
1,Fp2,0.0714378594,0.018130453297528545,0.052834629720000005,0.087851494,250,0.795,0.412,0.350946209
9,FC4,0.06715257444,0.025710648867813806,-0.0454558108,0.08361201088,250,0.795,0.412,0.350946209
8,FC3,0.050571872,0.03558889670075872,0.0019400667599999998,0.059530067959999995,250,0.795,0.412,0.350946209
