subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.06046889,-0.03632771,0.06868675,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,1,Fp2,0.0454845,0.02540908,0.05109305,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,2,Fz,0.07288311,-0.06090587,0.10062732,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,3,F3,0.09052829,0.04334318,0.10343163,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,4,F4,0.11247198,-0.0041856,0.11760017,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,5,F7,0.11913083,0.09142633,0.13909256,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,6,F8,0.09470344,0.01089093,0.10918837,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,7,FCz,0.0518943,0.02889547,0.05501519,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,8,FC3,0.10303722,-0.06461971,0.12483174,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,9,FC4,0.16824825,0.07563972,0.19133894,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,10,FT7,0.101043,0.00194065,0.11035111,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,11,FT8,0.04350396,0.034048,0.04914265,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,12,Cz,0.16078137,0.10265252,0.16340743,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,13,C3,0.15623909,-0.08648279,0.20093673,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,14,C4,0.11685015,-0.07144765,0.15317729,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,15,T3,0.13063559,0.04805551,0.1373488,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,16,T4,0.08143014,-0.03602955,0.09549946,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,17,CP3,0.05619453,0.02683676,0.07426629,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,18,CP4,0.11029499,0.00539621,0.11472768,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,19,TP7,0.22978419,-0.04403576,0.24558088,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,20,TP8,0.11663395,-0.0039572,0.13631375,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,21,Pz,0.098812,-0.08386755,0.12362328,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,22,P3,0.12772882,0.12772882,0.16201526,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,23,P4,0.05168618,0.00351442,0.06125561,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,24,T5,0.09948485,-0.01847957,0.10979196,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,25,T6,0.06303321,0.04961044,0.06959174,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,26,Oz,0.09043993,-0.01137018,0.10284391,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,27,O1,0.06923528,0.06923528,0.08285456,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,1,28,O2,0.08444524,-0.0284516,0.11766273,0.375,0.375,"[3, 5]",0.625,False,1.43854793,0.49011464,1.20533975,True
1,2,0,Fp1,0.1096848,-0.0955316,0.1223386,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,1,Fp2,0.07784756,0.06158822,0.09533637,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,2,Fz,0.10350951,-0.09824252,0.11708802,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,3,F3,0.08837085,0.02774704,0.09510649,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,4,F4,0.09781681,0.01272842,0.10801525,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,5,F7,0.08417739,0.08198478,0.09791005,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,6,F8,0.07786102,-0.02927434,0.07889772,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,7,FCz,0.09884688,0.09884688,0.11405047,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,8,FC3,0.03102077,0.00563194,0.0378173,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,9,FC4,0.0579236,-0.0579236,0.0758737,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,10,FT7,0.08987038,-0.05807994,0.10341445,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,11,FT8,0.08012499,-0.00348975,0.09699403,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,12,Cz,0.07662006,0.07546012,0.09223594,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,13,C3,0.11525606,0.07257217,0.11749601,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,14,C4,0.08544885,-0.07536504,0.09604335,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,15,T3,0.12656094,0.12656094,0.13186327,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,16,T4,0.12217624,0.01277985,0.13458805,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,17,CP3,0.12131035,0.03281071,0.13965587,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,18,CP4,0.11107675,0.03436992,0.12754311,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,19,TP7,0.08464372,-0.01875507,0.09458717,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,20,TP8,0.08893509,-0.05967982,0.10825366,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,21,Pz,0.15332657,0.00662257,0.15351871,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,22,P3,0.10828808,0.10828808,0.11746082,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,23,P4,0.10490966,-0.09323548,0.11699121,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,24,T5,0.10519856,0.07333346,0.11466186,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,25,T6,0.0809867,-0.06257086,0.09230174,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,26,Oz,0.07795171,0.04238077,0.08023857,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,27,O1,0.12214621,0.05617803,0.13231701,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,2,28,O2,0.14370012,-0.02390505,0.14643037,0.5,0.5,"[0, 8]",1.0,True,0.00585913,0.00089815,0.00490929,True
1,3,0,Fp1,0.10789225,-0.09458025,0.12219004,0.375,0.375,"[1, 7]",0.875,False,0.0857784,0.01651922,0.07187255,True
1,3,1,Fp2,0.07914761,0.06007854,0.09753745,0.375,0.375,"[1, 7]",0.875,False,0.0857784,0.01651922,0.07187255,True
1,3,2,Fz,0.10252887,-0.09517376,0.11502842,0.375,0.375,"[1, 7]",0.875,False,0.0857784,0.01651922,0.07187255,True
