subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.11510778,-0.07443132,0.12323892,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,1,Fp2,0.08930574,0.07121015,0.09985129,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,2,Fz,0.08901933,-0.0288208,0.09946021,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,3,F3,0.04191756,0.00257651,0.04964307,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,4,F4,0.0781015,0.02266664,0.10077399,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,5,F7,0.09373301,0.09373301,0.11280047,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,6,F8,0.07743851,-0.05463765,0.08678818,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,7,FCz,0.17661531,0.12862109,0.22327507,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,8,FC3,0.07410865,-0.07410865,0.08751865,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,9,FC4,0.07401424,-0.05924485,0.10374649,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,10,FT7,0.05210688,-0.02959696,0.06795479,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,11,FT8,0.04126548,0.00986452,0.04545749,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,12,Cz,0.12049255,0.0677081,0.13773952,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,13,C3,0.11375916,0.09658516,0.12950872,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,14,C4,0.09785525,-0.04423619,0.13875371,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,15,T3,0.12905079,0.12905079,0.14219129,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,16,T4,0.13492325,-0.02878104,0.15738684,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,17,CP3,0.07585791,-0.00202137,0.08641229,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,18,CP4,0.07102279,0.05829162,0.09218199,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,19,TP7,0.10574801,-0.10574801,0.12832896,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,20,TP8,0.06150213,-0.04711464,0.08510154,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,21,Pz,0.10743196,0.0492452,0.12072373,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,22,P3,0.0566387,0.00683258,0.06865361,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,23,P4,0.09425464,-0.04613457,0.10566092,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,24,T5,0.04337642,0.01601831,0.04759681,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,25,T6,0.0759408,-0.02252656,0.08498292,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,26,Oz,0.07529306,0.01598807,0.08322475,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,27,O1,0.13417077,0.05929684,0.14007638,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,1,28,O2,0.1004622,-0.03276436,0.11132614,0.5,0.5,"[4, 4]",0.5,False,0.94821601,0.20766847,0.7944973,True
1,2,0,Fp1,0.10938308,-0.09610402,0.12246355,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,1,Fp2,0.07840173,0.06149838,0.09555563,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,2,Fz,0.10349137,-0.09809428,0.11704355,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,3,F3,0.08809221,0.02769955,0.09497412,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,4,F4,0.09772103,0.01256997,0.10791883,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,5,F7,0.08401499,0.08158558,0.09766054,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,6,F8,0.07770277,-0.02925906,0.07866759,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,7,FCz,0.0994454,0.0994454,0.11505605,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,8,FC3,0.0307707,0.00595345,0.03725148,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,9,FC4,0.0579077,-0.0579077,0.07643502,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,10,FT7,0.09101549,-0.0586793,0.10460431,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,11,FT8,0.08010323,-0.00364725,0.0967774,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,12,Cz,0.07754622,0.07558545,0.09271102,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,13,C3,0.11580555,0.07245467,0.11792256,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,14,C4,0.08616907,-0.07506113,0.09654228,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,15,T3,0.12648958,0.12648958,0.13164601,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,16,T4,0.12256852,0.01394808,0.13494028,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,17,CP3,0.12129711,0.03264516,0.13934742,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,18,CP4,0.11089231,0.03470491,0.1275059,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,19,TP7,0.08412496,-0.01881201,0.09442832,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,20,TP8,0.08906248,-0.05913463,0.10812336,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,21,Pz,0.15290998,0.00653228,0.15308395,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,22,P3,0.10854887,0.10854887,0.11788854,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,23,P4,0.10422108,-0.09262762,0.11616014,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,24,T5,0.1057331,0.07364764,0.11508993,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,25,T6,0.08101082,-0.06175979,0.09195028,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,26,Oz,0.07786219,0.04230691,0.08013648,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,27,O1,0.12134761,0.05561195,0.13166545,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,2,28,O2,0.14368296,-0.023813,0.14641561,0.375,0.375,"[1, 7]",0.875,False,0.0081102,0.00154387,0.00679542,True
1,3,0,Fp1,0.10946524,-0.09665115,0.12270745,0.5,0.5,"[0, 8]",1.0,True,0.0238794,0.00439123,0.02000823,True
1,3,1,Fp2,0.07752385,0.061123,0.0959572,0.5,0.5,"[0, 8]",1.0,True,0.0238794,0.00439123,0.02000823,True
1,3,2,Fz,0.10254087,-0.09849709,0.11673426,0.5,0.5,"[0, 8]",1.0,True,0.0238794,0.00439123,0.02000823,True
