subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.625,0.625,"[7, 1]",0.875,False,0,1.38833581,0.36266387,1.16326771,True,0.75828567,0.751594,2170
1,2,0.375,0.375,"[1, 7]",0.875,False,1,0.00908017,0.00162214,0.00760815,True,0.50735715,0.99982915,2170
1,3,0.125,0.125,"[5, 3]",0.625,False,0,0.73580056,0.21686523,0.61651728,True,0.52939964,0.99673225,2170
1,4,0.75,0.75,"[2, 6]",0.75,False,1,1.08668747,0.31817054,0.91052066,True,0.59819976,0.95415317,2170
1,5,0.5,0.5,"[4, 4]",0.5,False,0,1.42205134,0.33862174,1.19151749,True,0.72559434,0.76735919,2170
2,1,0.75,0.75,"[4, 4]",0.5,False,0,0.72799284,0.19297455,0.60997531,True,0.54880747,0.98952852,2170
2,2,0.5,0.5,"[4, 4]",0.5,False,0,0.77683007,0.17932745,0.65089536,True,0.60316709,0.94361312,2170
2,3,0.625,0.625,"[3, 5]",0.625,False,1,0.97438706,0.30743355,0.81642567,True,0.63303321,0.91988845,2170
2,4,0.5,0.5,"[0, 8]",1.0,True,1,0.01105452,0.0016447,0.00926243,True,0.50785664,0.99980247,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01084679,0.00178539,0.00908838,True,0.50705604,0.99983165,2170
3,1,0.5,0.5,"[0, 8]",1.0,True,1,0.0093706,0.0017291,0.0078515,True,0.50705583,0.99985285,2170
3,2,0.625,0.625,"[1, 7]",0.875,False,1,0.02581315,0.00439389,0.02162849,True,0.50513641,0.99990008,2170
3,3,0.5,0.5,"[6, 2]",0.75,False,0,0.51032466,0.13122034,0.42759409,True,0.57737284,0.97414568,2170
3,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00823152,0.00150833,0.00689708,True,0.50664379,0.99984668,2170
3,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01793462,0.00329766,0.01502717,True,0.50637932,0.99985538,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00999874,0.00166062,0.00837781,True,0.50698033,0.99984035,2170
4,2,0.875,0.875,"[5, 3]",0.625,False,0,0.32591776,0.08241886,0.27308206,True,0.53451604,0.99376993,2170
4,3,0.25,0.25,"[6, 2]",0.75,False,0,0.95784349,0.28295225,0.80256404,True,0.63840024,0.92159289,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,1.0631998,0.28882515,0.89084066,True,0.75424157,0.72276503,2170
4,5,0.75,0.75,"[4, 4]",0.5,False,0,0.45963364,0.10285352,0.38512078,True,0.55735893,0.9847006,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00953115,0.00175515,0.00798602,True,0.50472793,0.99992238,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00940849,0.00174819,0.00788324,True,0.50733298,0.99983642,2170
5,3,0.375,0.375,"[5, 3]",0.625,False,0,0.89395797,0.25787692,0.74903523,True,0.62409163,0.94971103,2170
5,4,0.5,0.5,"[0, 8]",1.0,True,1,0.0095371,0.0017026,0.00799101,True,0.50576916,0.99989716,2170
5,5,0.625,0.625,"[3, 5]",0.625,False,1,1.09356937,0.2762473,0.91628691,True,0.62700352,0.91367445,2170
6,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01135628,0.00170203,0.00951527,True,0.50436968,0.99990679,2170
6,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00937244,0.00159828,0.00785304,True,0.50640577,0.99986851,2170
6,3,0.625,0.625,"[1, 7]",0.875,False,1,0.00885246,0.00167834,0.00741735,True,0.50725353,0.99980906,2170
6,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00909608,0.00172364,0.00762148,True,0.50733787,0.99982072,2170
6,5,0.625,0.625,"[5, 3]",0.625,False,0,0.1820516,0.04901483,0.15253856,True,0.52508093,0.99714275,2170
7,1,0.75,0.75,"[6, 2]",0.75,False,0,1.37552986,0.28142137,1.15253777,True,0.75803147,0.71628333,2170
7,2,0.5,0.5,"[6, 2]",0.75,False,0,1.03077963,0.33024914,0.86367624,True,0.58210787,0.96553145,2170
7,3,0.625,0.625,"[1, 7]",0.875,False,1,0.4631159,0.13703888,0.38803852,True,0.54761691,0.98801782,2170
7,4,0.625,0.625,"[5, 3]",0.625,False,0,0.45662027,0.11386064,0.38259592,True,0.52575532,0.99674817,2170
7,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00907162,0.0016628,0.00760098,True,0.50462877,0.99993492,2170
8,1,0.625,0.625,"[7, 1]",0.875,False,0,1.42233676,0.41326439,1.19175664,True,0.70835924,0.75752225,2170
8,2,0.875,0.875,"[5, 3]",0.625,False,0,1.06763057,0.29973157,0.89455314,True,0.71189824,0.81457079,2170
8,3,0.5,0.5,"[4, 4]",0.5,False,0,1.47444002,0.39516026,1.23541325,True,0.88959136,0.37624754,2170
8,4,0.875,0.875,"[5, 3]",0.625,False,0,0.98984115,0.35604415,0.82937444,True,0.63883549,0.92973217,2170
8,5,0.5,0.5,"[8, 0]",1.0,True,0,1.06527561,0.25081582,0.89257996,True,0.73705416,0.7574845,2170
9,1,0.5,0.5,"[0, 8]",1.0,True,1,0.0080848,0.00161874,0.00677415,True,0.50546989,0.99989049,2170
9,2,0.25,0.25,"[2, 6]",0.75,False,1,0.32718622,0.08397956,0.27414489,True,0.51429511,0.99916246,2170
9,3,0.25,0.25,"[4, 4]",0.5,False,0,0.35144571,0.06890965,0.29447158,True,0.51379173,0.99916476,2170
9,4,0.375,0.375,"[5, 3]",0.625,False,0,0.71428213,0.17896044,0.59848728,True,0.56143558,0.98594476,2170
9,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01015447,0.00170571,0.00850829,True,0.50743783,0.99982534,2170
10,1,0.5,0.5,"[4, 4]",0.5,False,0,1.30789784,0.3846784,1.09586982,True,0.86184154,0.49912427,2170
10,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00987278,0.00157516,0.00827227,True,0.50556516,0.99989914,2170
10,3,0.625,0.625,"[3, 5]",0.625,False,1,0.9463601,0.30764165,0.79294226,True,0.63496786,0.9262841,2170
10,4,0.625,0.625,"[5, 3]",0.625,False,0,0.80603351,0.2510004,0.67536452,True,0.5601533,0.98010238,2170
10,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00939053,0.00162078,0.0078682,True,0.50644852,0.99985155,2170
11,1,0.25,0.25,"[4, 4]",0.5,False,0,0.29212133,0.07460448,0.24476449,True,0.51718162,0.99862337,2170
11,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00874774,0.00161183,0.00732961,True,0.50663192,0.99985093,2170
11,3,0.125,0.125,"[5, 3]",0.625,False,0,0.53684134,0.13896059,0.44981206,True,0.5458899,0.98794011,2170
11,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00974119,0.00168838,0.00816201,True,0.50819974,0.99979825,2170
11,5,0.5,0.5,"[2, 6]",0.75,False,1,0.25646525,0.06082764,0.21488875,True,0.51634569,0.99906189,2170
12,1,0.375,0.375,"[5, 3]",0.625,False,0,1.1654313,0.33821342,0.97649904,True,0.65250847,0.88253071,2170
12,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00978772,0.00152295,0.008201,True,0.5066238,0.99984974,2170
12,3,0.5,0.5,"[0, 8]",1.0,True,1,0.0092963,0.00152193,0.00778924,True,0.50594956,0.99988433,2170
12,4,0.5,0.5,"[0, 8]",1.0,True,1,0.0103558,0.00165826,0.00867698,True,0.50836216,0.99978614,2170
12,5,0.625,0.625,"[1, 7]",0.875,False,1,0.01153417,0.00173727,0.00966433,True,0.50711429,0.99982457,2170
13,1,0.625,0.625,"[1, 7]",0.875,False,1,0.01032942,0.0017784,0.00865488,True,0.50553258,0.99988201,2170
13,2,0.625,0.625,"[5, 3]",0.625,False,0,0.33199931,0.06636324,0.27817771,True,0.51875402,0.99847212,2170
13,3,0.75,0.75,"[4, 4]",0.5,False,0,1.20846203,0.31917202,1.01255391,True,0.79299413,0.71052234,2170
13,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00884582,0.00157131,0.00741179,True,0.50746954,0.99978968,2170
13,5,0.625,0.625,"[7, 1]",0.875,False,0,0.39782442,0.07288197,0.33333167,True,0.51839754,0.99840175,2170
14,1,0.75,0.75,"[6, 2]",0.75,False,0,0.61249072,0.19334893,0.51319765,True,0.53309466,0.99506331,2170
14,2,0.375,0.375,"[3, 5]",0.625,False,1,1.26652624,0.38846173,1.06120512,True,0.62159519,0.90702225,2170
14,3,0.625,0.625,"[3, 5]",0.625,False,1,0.66451045,0.15701591,0.55678427,True,0.57538911,0.97672399,2170
14,4,0.625,0.625,"[5, 3]",0.625,False,0,0.90885677,0.26775297,0.76151873,True,0.66306502,0.88953226,2170
14,5,0.625,0.625,"[3, 5]",0.625,False,1,1.01528824,0.23009574,0.85069621,True,0.66495423,0.89930132,2170
15,1,0.375,0.375,"[1, 7]",0.875,False,1,1.23136348,0.30879597,1.03174272,True,0.86226163,0.46499882,2170
15,2,0.625,0.625,"[7, 1]",0.875,False,0,1.03079604,0.21825201,0.86368999,True,0.63639394,0.92697537,2170
15,3,0.5,0.5,"[8, 0]",1.0,True,0,0.93539707,0.22823591,0.78375649,True,0.57248209,0.96499508,2170
15,4,0.5,0.5,"[4, 4]",0.5,False,0,0.77061242,0.18447576,0.64568568,True,0.53885492,0.99378431,2170
15,5,0.625,0.625,"[5, 3]",0.625,False,0,0.16026421,0.03483907,0.1342832,True,0.50672019,0.99973312,2170
16,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00788942,0.00158857,0.00661044,True,0.50531316,0.99988447,2170
16,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00819093,0.00170028,0.00686307,True,0.50850483,0.99976338,2170
16,3,0.125,0.125,"[3, 5]",0.625,False,1,0.17504674,0.04283124,0.14666928,True,0.51523193,0.99868594,2170
16,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00985699,0.00162259,0.00825904,True,0.50722665,0.99981649,2170
16,5,0.375,0.375,"[1, 7]",0.875,False,1,0.01151434,0.00179236,0.00964771,True,0.50681213,0.99984021,2170
17,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01048024,0.00175217,0.00878125,True,0.50611816,0.99985425,2170
17,2,0.5,0.5,"[4, 4]",0.5,False,0,0.35860437,0.09132478,0.30046973,True,0.52574812,0.99753468,2170
17,3,0.75,0.75,"[6, 2]",0.75,False,0,0.93191107,0.2574825,0.78083562,True,0.61647953,0.92470799,2170
17,4,0.5,0.5,"[4, 4]",0.5,False,0,0.82860298,0.19495004,0.69427518,True,0.5640763,0.96297357,2170
17,5,0.75,0.75,"[4, 4]",0.5,False,0,0.1528903,0.03022954,0.12810471,True,0.50799596,0.99965253,2170
18,1,0.75,0.75,"[6, 2]",0.75,False,0,1.14154768,0.2818795,0.95648729,True,0.74552895,0.76424765,2170
18,2,0.875,0.875,"[5, 3]",0.625,False,0,1.43119739,0.41583589,1.19918084,True,0.84142533,0.47235991,2170
18,3,0.75,0.75,"[4, 4]",0.5,False,0,1.21451953,0.35864231,1.0176294,True,0.76678363,0.70010844,2170
18,4,0.875,0.875,"[3, 5]",0.625,False,1,0.96829145,0.26309404,0.81131824,True,0.6081156,0.95221495,2170
18,5,0.75,0.75,"[4, 4]",0.5,False,0,1.46604379,0.40452163,1.22837817,True,0.89899313,0.33778883,2170
19,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00937309,0.00164651,0.00785358,True,0.50563126,0.99990078,2170
19,2,0.25,0.25,"[6, 2]",0.75,False,0,1.33842963,0.38068779,1.121452,True,0.8194538,0.62554591,2170
19,3,0.5,0.5,"[0, 8]",1.0,True,1,0.0080277,0.00166244,0.0067263,True,0.50682064,0.99983278,2170
19,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00942288,0.00157762,0.0078953,True,0.50658051,0.99984932,2170
19,5,0.375,0.375,"[1, 7]",0.875,False,1,0.03081159,0.00567171,0.02581662,True,0.50516077,0.99989595,2170
20,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01040803,0.00166487,0.00872074,True,0.50718517,0.99982316,2170
20,2,0.5,0.5,"[0, 8]",1.0,True,1,0.0082317,0.00144714,0.00689723,True,0.50676261,0.99984015,2170
20,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00751715,0.00147051,0.00629852,True,0.5066976,0.99986244,2170
20,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00952064,0.00163318,0.00797721,True,0.50608956,0.99986952,2170
20,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00935063,0.00154737,0.00783477,True,0.50865494,0.9997513,2170
21,1,0.5,0.5,"[6, 2]",0.75,False,0,0.76403288,0.19298936,0.64017277,True,0.5928069,0.96161513,2170
21,2,0.625,0.625,"[3, 5]",0.625,False,1,0.15496869,0.03152808,0.12984616,True,0.50682603,0.99979224,2170
21,3,0.75,0.75,"[4, 4]",0.5,False,0,0.43951045,0.10437898,0.36825983,True,0.5398457,0.99181363,2170
21,4,0.5,0.5,"[6, 2]",0.75,False,0,0.81168302,0.23227057,0.68009817,True,0.55950671,0.98577519,2170
21,5,0.25,0.25,"[6, 2]",0.75,False,0,0.46235924,0.10706867,0.38740452,True,0.54029351,0.99369841,2170
22,1,0.625,0.625,"[7, 1]",0.875,False,0,0.99527069,0.28123024,0.83392378,True,0.77273957,0.74256364,2170
22,2,0.625,0.625,"[5, 3]",0.625,False,0,0.73354827,0.16930748,0.61463012,True,0.65200293,0.92703255,2170
22,3,0.75,0.75,"[4, 4]",0.5,False,0,0.83721768,0.22009065,0.70149331,True,0.62614532,0.91057849,2170
22,4,1.0,1.0,"[4, 4]",0.5,False,0,0.78681951,0.24400035,0.65926537,True,0.63454426,0.90849406,2170
22,5,0.75,0.75,"[2, 6]",0.75,False,1,0.93490424,0.24703811,0.78334355,True,0.75703032,0.73239943,2170
23,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00886559,0.00165506,0.00742836,True,0.50608339,0.99987365,2170
23,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01059684,0.00171404,0.00887895,True,0.50585272,0.99989139,2170
23,3,0.375,0.375,"[3, 5]",0.625,False,1,0.19154655,0.04704844,0.16049425,True,0.50683207,0.99984379,2170
23,4,0.5,0.5,"[0, 8]",1.0,True,1,0.0094435,0.00164676,0.00791258,True,0.5076319,0.99982358,2170
23,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00840655,0.00172768,0.00704373,True,0.5077621,0.9998132,2170
24,1,0.375,0.375,"[5, 3]",0.625,False,0,1.34863634,0.49007939,1.13000406,True,0.7665207,0.65909484,2170
24,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00940056,0.00166714,0.0078766,True,0.50707066,0.99983395,2170
24,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01007954,0.001711,0.00844551,True,0.5050406,0.99988349,2170
24,4,0.5,0.5,"[0, 8]",1.0,True,1,0.0097946,0.001697,0.00820676,True,0.50809805,0.99979427,2170
24,5,0.5,0.5,"[2, 6]",0.75,False,1,0.0088254,0.0016312,0.00739468,True,0.5060065,0.99985968,2170
25,1,0.625,0.625,"[5, 3]",0.625,False,0,0.8734486,0.28547142,0.73185071,True,0.61273224,0.95332379,2170
25,2,0.5,0.5,"[6, 2]",0.75,False,0,1.27856538,0.34976598,1.07129255,True,0.78456567,0.67615283,2170
25,3,0.375,0.375,"[7, 1]",0.875,False,0,1.23425022,0.33188254,1.03416148,True,0.65807445,0.85531024,2170
25,4,0.375,0.375,"[3, 5]",0.625,False,1,0.16690751,0.04571003,0.13984953,True,0.51727827,0.99889408,2170
25,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00924609,0.00172614,0.00774717,True,0.50579589,0.99988234,2170
26,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01008338,0.00173949,0.00844873,True,0.5071624,0.99983701,2170
26,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00744146,0.00152677,0.0062351,True,0.50673992,0.99983688,2170
26,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00866075,0.00146642,0.00725672,True,0.50556488,0.9998958,2170
26,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00838692,0.00177478,0.00702728,True,0.50609282,0.99987069,2170
26,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00938909,0.00160789,0.00786699,True,0.50690902,0.99985157,2170
27,1,0.625,0.625,"[5, 3]",0.625,False,0,0.70202893,0.17327279,0.58822049,True,0.59303411,0.96870769,2170
27,2,0.625,0.625,"[5, 3]",0.625,False,0,0.95410027,0.34673385,0.79942765,True,0.66616762,0.89531176,2170
27,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00902868,0.00164652,0.00756501,True,0.50497977,0.99990604,2170
27,4,0.5,0.5,"[4, 4]",0.5,False,0,0.46402451,0.11567789,0.38879983,True,0.55131848,0.99072965,2170
27,5,0.5,0.5,"[6, 2]",0.75,False,0,0.44454712,0.11142622,0.37247999,True,0.55481221,0.98681417,2170
28,1,0.875,0.875,"[3, 5]",0.625,False,1,0.48123384,0.10249186,0.4032193,True,0.5399378,0.99106278,2170
28,2,0.375,0.375,"[5, 3]",0.625,False,0,1.18229092,0.29603876,0.99062549,True,0.66115554,0.89112037,2170
28,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00873795,0.00175171,0.00732141,True,0.50722145,0.99982088,2170
28,4,0.5,0.5,"[0, 8]",1.0,True,1,0.0076804,0.00164051,0.0064353,True,0.50703465,0.99982873,2170
28,5,0.625,0.625,"[1, 7]",0.875,False,1,0.00946014,0.00179001,0.00792653,True,0.50664356,0.99983697,2170
29,1,0.5,0.5,"[0, 8]",1.0,True,1,0.0101368,0.0017312,0.00849348,True,0.50650834,0.99986601,2170
29,2,0.625,0.625,"[5, 3]",0.625,False,0,1.27672841,0.34336817,1.06975338,True,0.69491787,0.77033446,2170
29,3,0.625,0.625,"[5, 3]",0.625,False,0,0.49684307,0.10993921,0.41629806,True,0.52784493,0.99456849,2170
29,4,0.5,0.5,"[6, 2]",0.75,False,0,0.88108296,0.25981384,0.73824744,True,0.56145443,0.98558808,2170
29,5,0.5,0.5,"[2, 6]",0.75,False,1,0.37240304,0.08055768,0.31203145,True,0.532181,0.99496772,2170
30,1,0.625,0.625,"[3, 5]",0.625,False,1,0.89620562,0.23321544,0.7509185,True,0.58581235,0.96894918,2170
30,2,0.625,0.625,"[1, 7]",0.875,False,1,0.26538341,0.05983565,0.22236115,True,0.52732768,0.99743148,2170
30,3,0.625,0.625,"[5, 3]",0.625,False,0,0.98486833,0.22732344,0.82520779,True,0.64606623,0.89958311,2170
30,4,0.875,0.875,"[5, 3]",0.625,False,0,0.92576217,0.28963869,0.77568354,True,0.6284918,0.92265625,2170
30,5,0.625,0.625,"[3, 5]",0.625,False,1,0.90312961,0.25097579,0.75672003,True,0.67095962,0.86437438,2170
31,1,0.875,0.875,"[5, 3]",0.625,False,0,0.57231084,0.13241135,0.47953147,True,0.56604045,0.98376934,2170
31,2,0.875,0.875,"[3, 5]",0.625,False,1,0.13425424,0.03547197,0.11248981,True,0.51226626,0.99933062,2170
31,3,0.25,0.25,"[4, 4]",0.5,False,0,0.94823899,0.27396104,0.79451656,True,0.66825051,0.89522119,2170
31,4,0.75,0.75,"[4, 4]",0.5,False,0,1.04304524,0.29326313,0.87395343,True,0.73973643,0.78180887,2170
31,5,0.5,0.5,"[4, 4]",0.5,False,0,0.66055715,0.15918647,0.55347186,True,0.61598823,0.94529347,2170
32,1,0.625,0.625,"[1, 7]",0.875,False,1,1.30681704,0.46246934,1.09496423,True,0.77270894,0.7102432,2170
32,2,0.75,0.75,"[6, 2]",0.75,False,0,0.40502304,0.11084747,0.3393633,True,0.53966943,0.99407421,2170
32,3,0.375,0.375,"[1, 7]",0.875,False,1,0.01009498,0.00160812,0.00845845,True,0.50433537,0.99993143,2170
32,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00989997,0.00175301,0.00829505,True,0.50568917,0.99989701,2170
32,5,0.625,0.625,"[3, 5]",0.625,False,1,0.21228962,0.06182897,0.17787458,True,0.51208413,0.99930583,2170
33,1,0.25,0.25,"[4, 4]",0.5,False,0,1.23667882,0.37750198,1.03619638,True,0.74912987,0.72356244,2170
33,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00990818,0.00168191,0.00830193,True,0.50626493,0.99986784,2170
33,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00926554,0.0017809,0.00776347,True,0.50649073,0.9998664,2170
33,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00848954,0.00160582,0.00711327,True,0.50536602,0.99990348,2170
33,5,0.75,0.75,"[2, 6]",0.75,False,1,0.07865685,0.01410808,0.06590551,True,0.50463953,0.99983827,2170
34,1,0.75,0.75,"[4, 4]",0.5,False,0,0.53442277,0.13771824,0.44778557,True,0.54036081,0.98893455,2170
34,2,0.75,0.75,"[6, 2]",0.75,False,0,0.48860556,0.11038505,0.40939596,True,0.5512783,0.98937224,2170
34,3,0.5,0.5,"[2, 6]",0.75,False,1,0.99251785,0.24863189,0.83161722,True,0.62244662,0.90830689,2170
34,4,0.875,0.875,"[5, 3]",0.625,False,0,0.96614921,0.26353016,0.80952329,True,0.67066755,0.88017383,2170
34,5,0.75,0.75,"[2, 6]",0.75,False,1,0.84155796,0.18339917,0.70512998,True,0.65097729,0.92884351,2170
35,1,0.375,0.375,"[5, 3]",0.625,False,0,0.71564381,0.2389482,0.59962822,True,0.5970529,0.95866104,2170
35,2,0.5,0.5,"[6, 2]",0.75,False,0,0.94964519,0.22703416,0.79569479,True,0.59081172,0.95980527,2170
35,3,0.5,0.5,"[0, 8]",1.0,True,1,0.0093379,0.00168525,0.0078241,True,0.50609128,0.99987364,2170
35,4,0.0,0.0,"[4, 4]",0.5,False,0,1.00507311,0.28058089,0.84213709,True,0.68727923,0.82138564,2170
35,5,0.5,0.5,"[4, 4]",0.5,False,0,0.74377242,0.20936812,0.6231968,True,0.56796463,0.98096029,2170
36,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01036333,0.00168063,0.00868329,True,0.50620486,0.99988438,2170
36,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00759111,0.00162873,0.00636049,True,0.50658126,0.9998567,2170
36,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01075786,0.00164501,0.00901387,True,0.50637507,0.99985212,2170
36,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00928538,0.00171045,0.00778009,True,0.50599499,0.99988245,2170
36,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00885172,0.00172406,0.00741674,True,0.50730513,0.99982412,2170
37,1,0.5,0.5,"[2, 6]",0.75,False,1,0.19437163,0.04081468,0.16286135,True,0.52946403,0.99648907,2170
37,2,0.375,0.375,"[3, 5]",0.625,False,1,0.56479318,0.13495363,0.47323253,True,0.58760508,0.96317661,2170
37,3,0.625,0.625,"[7, 1]",0.875,False,0,0.38559882,0.09554081,0.32308801,True,0.56974335,0.98087077,2170
37,4,0.5,0.5,"[4, 4]",0.5,False,0,1.24384926,0.29856632,1.04220439,True,0.7160565,0.77350492,2170
37,5,0.625,0.625,"[1, 7]",0.875,False,1,0.69656229,0.2187281,0.58364008,True,0.57691141,0.97407526,2170
38,1,0.5,0.5,"[6, 2]",0.75,False,0,0.69422985,0.17487663,0.58168575,True,0.70018933,0.86163629,2170
38,2,0.625,0.625,"[5, 3]",0.625,False,0,1.04936438,0.30485217,0.87924815,True,0.73652383,0.77980747,2170
38,3,0.75,0.75,"[4, 4]",0.5,False,0,1.44366043,0.3203332,1.20962345,True,0.93040903,0.24865706,2170
