subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.75,0.75,"[4, 4]",0.5,False,0,1.03614222,0.25454904,0.86816948,True,0.57644304,0.97859843,2170
1,2,0.25,0.25,"[4, 4]",0.5,False,0,0.41450175,0.09043478,0.34730538,True,0.51739116,0.9984919,2170
1,3,0.5,0.5,"[6, 2]",0.75,False,0,0.93633619,0.22418223,0.78454336,True,0.58761174,0.9590196,2170
1,4,0.625,0.625,"[5, 3]",0.625,False,0,0.79960447,0.2096045,0.66997772,True,0.55149244,0.9897064,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.02940288,0.00597576,0.02463628,True,0.50529302,0.99988662,2170
2,1,0.5,0.5,"[4, 4]",0.5,False,0,1.26394436,0.3396325,1.0590418,True,0.73728744,0.77119739,2170
2,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00818349,0.00149371,0.00685683,True,0.50760656,0.99981408,2170
2,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01010586,0.00157586,0.00846756,True,0.507326,0.99980962,2170
2,4,0.5,0.5,"[0, 8]",1.0,True,1,0.0098137,0.00171196,0.00822276,True,0.50753701,0.99981719,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.008863,0.0017784,0.00742618,True,0.50738071,0.99982597,2170
3,1,0.625,0.625,"[5, 3]",0.625,False,0,1.22196524,0.2636984,1.02386807,True,0.73516794,0.79168237,2170
3,2,0.5,0.5,"[4, 4]",0.5,False,0,0.57770589,0.16076133,0.48405191,True,0.59149287,0.97048074,2170
3,3,0.5,0.5,"[4, 4]",0.5,False,0,0.17169345,0.03798394,0.14385961,True,0.5155975,0.99862002,2170
3,4,0.75,0.75,"[4, 4]",0.5,False,0,0.81249887,0.19511413,0.68078176,True,0.61213444,0.93677267,2170
3,5,0.75,0.75,"[6, 2]",0.75,False,0,0.95014167,0.21133677,0.79611079,True,0.67940334,0.88151982,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00926871,0.00156978,0.00776613,True,0.50934637,0.99973443,2170
4,2,0.625,0.625,"[5, 3]",0.625,False,0,1.03191924,0.2809926,0.8646311,True,0.66412309,0.8671633,2170
4,3,0.5,0.5,"[2, 6]",0.75,False,1,1.26722527,0.31186476,1.06179083,True,0.79228748,0.62447384,2170
4,4,0.75,0.75,"[6, 2]",0.75,False,0,1.13661006,0.4644947,0.95235012,True,0.67808012,0.81561073,2170
4,5,0.625,0.625,"[1, 7]",0.875,False,1,0.01044848,0.00176338,0.00875464,True,0.50547196,0.99984543,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00902175,0.00172639,0.0075592,True,0.50716553,0.99984671,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.0087929,0.00171281,0.00736745,True,0.50655893,0.9998683,2170
5,3,0.5,0.5,"[2, 6]",0.75,False,1,1.17862667,0.36780399,0.98755527,True,0.87283897,0.46713949,2170
5,4,0.875,0.875,"[5, 3]",0.625,False,0,0.5188758,0.11863717,0.43475898,True,0.51098946,0.99946812,2170
5,5,0.375,0.375,"[5, 3]",0.625,False,0,0.93365017,0.24894219,0.78229279,True,0.62055749,0.94301264,2170
6,1,0.25,0.25,"[6, 2]",0.75,False,0,0.73731843,0.17915899,0.61778909,True,0.59747836,0.96221886,2170
6,2,0.625,0.625,"[1, 7]",0.875,False,1,0.00860442,0.00165221,0.00720953,True,0.50766717,0.99977011,2170
6,3,0.625,0.625,"[1, 7]",0.875,False,1,0.00976447,0.00171586,0.00818152,True,0.50732241,0.99979315,2170
6,4,0.25,0.25,"[4, 4]",0.5,False,0,0.09668494,0.01938542,0.081011,True,0.50757822,0.99973435,2170
6,5,0.5,0.5,"[8, 0]",1.0,True,0,0.3545496,0.09144658,0.29707229,True,0.54253174,0.99217812,2170
7,1,0.5,0.5,"[4, 4]",0.5,False,0,1.26678025,0.35753787,1.06141795,True,0.70072094,0.80158883,2170
7,2,0.375,0.375,"[3, 5]",0.625,False,1,0.74789016,0.17650451,0.62664699,True,0.55041713,0.98821852,2170
7,3,0.375,0.375,"[3, 5]",0.625,False,1,0.74979876,0.19402064,0.62824619,True,0.55594794,0.9833501,2170
7,4,0.125,0.125,"[3, 5]",0.625,False,1,0.79069201,0.19533023,0.66251009,True,0.57886223,0.96798291,2170
7,5,0.375,0.375,"[5, 3]",0.625,False,0,0.51839692,0.13420147,0.43435773,True,0.54393035,0.99204959,2170
8,1,0.625,0.625,"[5, 3]",0.625,False,0,0.58343099,0.1494533,0.48884889,True,0.67457201,0.90069562,2170
8,2,0.625,0.625,"[3, 5]",0.625,False,1,0.93204499,0.29563019,0.78094783,True,0.71338035,0.79887081,2170
8,3,0.875,0.875,"[5, 3]",0.625,False,0,0.18350123,0.04197945,0.15375319,True,0.51394426,0.99923197,2170
8,4,0.875,0.875,"[5, 3]",0.625,False,0,0.38379152,0.11913178,0.3215737,True,0.56671232,0.98214634,2170
8,5,0.625,0.625,"[5, 3]",0.625,False,0,0.86664907,0.1844418,0.72615347,True,0.68292465,0.86730704,2170
9,1,0.5,0.5,"[2, 6]",0.75,False,1,1.04209729,0.27351623,0.87315915,True,0.59319949,0.95932805,2170
9,2,0.375,0.375,"[3, 5]",0.625,False,1,0.21564977,0.04742882,0.18069001,True,0.50945238,0.99961977,2170
9,3,0.375,0.375,"[5, 3]",0.625,False,0,0.56269481,0.1073119,0.47147433,True,0.54272303,0.99303412,2170
9,4,0.5,0.5,"[4, 4]",0.5,False,0,1.16683596,0.30098516,0.97767599,True,0.65387054,0.88615967,2170
9,5,0.375,0.375,"[3, 5]",0.625,False,1,1.13837252,0.30846115,0.95382686,True,0.59827601,0.95804671,2170
10,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00844461,0.00169417,0.00707563,True,0.50676641,0.99983329,2170
10,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00971698,0.00169894,0.00814172,True,0.50869262,0.99976273,2170
10,3,0.375,0.375,"[3, 5]",0.625,False,1,0.724928,0.16941286,0.60740731,True,0.61072585,0.94709869,2170
