subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.75,0.75,"[4, 4]",0.5,False,0,1.21842819,0.32452472,1.02090442,True,0.62553833,0.92426889,2170
1,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00945335,0.00170063,0.00792083,True,0.50716396,0.99983558,2170
1,3,0.5,0.5,"[2, 6]",0.75,False,1,0.00918688,0.00148752,0.00769756,True,0.50411492,0.9999368,2170
1,4,0.5,0.5,"[4, 4]",0.5,False,0,1.13288781,0.26236758,0.94923129,True,0.63158926,0.93044272,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.0097949,0.00168409,0.00820702,True,0.507731,0.99979148,2170
2,1,0.375,0.375,"[5, 3]",0.625,False,0,0.90450503,0.266314,0.75787247,True,0.62021207,0.92544507,2170
2,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00796945,0.00167564,0.00667749,True,0.50798181,0.99980312,2170
2,3,0.5,0.5,"[4, 4]",0.5,False,0,0.6113434,0.17438304,0.51223632,True,0.566894,0.97951919,2170
2,4,0.5,0.5,"[0, 8]",1.0,True,1,0.01084898,0.00175896,0.00909021,True,0.50645251,0.99983108,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01106611,0.00174508,0.00927214,True,0.50710591,0.99984636,2170
3,1,0.625,0.625,"[5, 3]",0.625,False,0,0.54081906,0.11872128,0.45314494,True,0.52369886,0.99772005,2170
3,2,0.625,0.625,"[1, 7]",0.875,False,1,0.00972861,0.0016886,0.00815147,True,0.50591676,0.99987787,2170
3,3,0.5,0.5,"[0, 8]",1.0,True,1,0.008882,0.00166813,0.0074421,True,0.50644272,0.99983865,2170
3,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00794416,0.00163695,0.0066563,True,0.50439,0.99993059,2170
3,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00957898,0.00164932,0.0080261,True,0.50561935,0.99988054,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00895192,0.00162526,0.00750069,True,0.50570137,0.99988295,2170
4,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00785542,0.00166176,0.00658195,True,0.50587018,0.99989252,2170
4,3,0.625,0.625,"[5, 3]",0.625,False,0,1.28367907,0.36717115,1.07557725,True,0.83611471,0.57421311,2170
4,4,0.875,0.875,"[3, 5]",0.625,False,1,0.84425187,0.27222706,0.70738717,True,0.54343157,0.99087806,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00820209,0.00165948,0.00687242,True,0.50805382,0.99980077,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.0096373,0.00172113,0.00807496,True,0.50613546,0.99988091,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00930643,0.00163043,0.00779773,True,0.50541396,0.99989321,2170
5,3,0.5,0.5,"[4, 4]",0.5,False,0,1.17974007,0.25839068,0.98848816,True,0.78385594,0.69067612,2170
5,4,0.625,0.625,"[1, 7]",0.875,False,1,0.07340667,0.01423971,0.06150645,True,0.504843,0.99991785,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00974547,0.00160215,0.0081656,True,0.50710986,0.99984163,2170
6,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01070311,0.00174417,0.00896799,True,0.50492035,0.99991559,2170
6,2,0.625,0.625,"[1, 7]",0.875,False,1,0.20252672,0.0587076,0.16969438,True,0.51526689,0.9992181,2170
6,3,0.375,0.375,"[1, 7]",0.875,False,1,0.00987621,0.00170067,0.00827515,True,0.50623606,0.99987031,2170
6,4,0.375,0.375,"[3, 5]",0.625,False,1,0.49888109,0.13842248,0.41800568,True,0.55921771,0.98503689,2170
6,5,0.25,0.25,"[6, 2]",0.75,False,0,0.29783863,0.07436452,0.24955494,True,0.5252076,0.99789065,2170
7,1,1.0,1.0,"[4, 4]",0.5,False,0,0.42959244,0.11994499,0.35994966,True,0.53696865,0.99049765,2170
7,2,0.625,0.625,"[3, 5]",0.625,False,1,1.08902226,0.32735364,0.91247695,True,0.68849461,0.84595812,2170
7,3,0.75,0.75,"[4, 4]",0.5,False,0,0.87231803,0.2308167,0.73090342,True,0.6018025,0.95600644,2170
7,4,0.625,0.625,"[1, 7]",0.875,False,1,1.15412309,0.32995071,0.96702405,True,0.73387798,0.80531587,2170
7,5,0.625,0.625,"[3, 5]",0.625,False,1,0.90220009,0.22796997,0.75594119,True,0.59968784,0.95763498,2170
8,1,0.625,0.625,"[5, 3]",0.625,False,0,0.71534286,0.16187677,0.59937606,True,0.56933719,0.9769894,2170
8,2,0.75,0.75,"[2, 6]",0.75,False,1,0.55173749,0.1541056,0.46229334,True,0.58727936,0.97465516,2170
8,3,0.625,0.625,"[5, 3]",0.625,False,0,0.32462307,0.08222287,0.27199726,True,0.52575481,0.9971144,2170
8,4,0.75,0.75,"[4, 4]",0.5,False,0,1.15154036,0.33342566,0.96486002,True,0.76061356,0.74208464,2170
8,5,1.0,1.0,"[4, 4]",0.5,False,0,0.8209348,0.1683535,0.68785011,True,0.6266309,0.94241186,2170
9,1,0.375,0.375,"[1, 7]",0.875,False,1,0.98553349,0.27019612,0.82576511,True,0.62067551,0.91931699,2170
9,2,0.25,0.25,"[4, 4]",0.5,False,0,0.31283683,0.06856912,0.26212173,True,0.51533487,0.99889419,2170
9,3,0.5,0.5,"[2, 6]",0.75,False,1,0.14961938,0.0328581,0.12536404,True,0.50899639,0.99965201,2170
9,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00976894,0.00171059,0.00818526,True,0.50738772,0.99982661,2170
9,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00940466,0.00161374,0.00788004,True,0.50651603,0.99985647,2170
10,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00995168,0.00157185,0.00833838,True,0.50642182,0.99986667,2170
10,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00879705,0.0015127,0.00737093,True,0.50726963,0.99982925,2170
10,3,0.375,0.375,"[7, 1]",0.875,False,0,1.05053174,0.34726709,0.88022627,True,0.59467509,0.96416577,2170
