subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.375,0.375,"[3, 5]",0.625,False,1,0.1511892,0.03440819,0.12667938,True,0.50692335,0.99975929,2170
1,2,0.375,0.375,"[1, 7]",0.875,False,1,0.00925907,0.0016337,0.00775805,True,0.50696909,0.99984799,2170
1,3,0.25,0.25,"[2, 6]",0.75,False,1,0.4543919,0.09293391,0.3807288,True,0.54875284,0.98946127,2170
1,4,0.375,0.375,"[3, 5]",0.625,False,1,0.55029712,0.15286012,0.46108648,True,0.53979757,0.98955127,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00923394,0.00166842,0.00773699,True,0.50787422,0.99979774,2170
2,1,0.625,0.625,"[3, 5]",0.625,False,1,0.39056402,0.08314622,0.32724828,True,0.59126534,0.96332977,2170
2,2,0.5,0.5,"[4, 4]",0.5,False,0,0.84519173,0.2674585,0.70817466,True,0.68542871,0.86995531,2170
2,3,0.5,0.5,"[2, 6]",0.75,False,1,0.86436686,0.24218334,0.72424124,True,0.71524488,0.79952253,2170
2,4,0.75,0.75,"[4, 4]",0.5,False,0,0.35466771,0.06518344,0.29717125,True,0.57881092,0.97551384,2170
2,5,0.625,0.625,"[5, 3]",0.625,False,0,0.72361884,0.20197346,0.60631039,True,0.58464243,0.97256679,2170
3,1,0.5,0.5,"[0, 8]",1.0,True,1,0.03618134,0.00784448,0.03031585,True,0.5053372,0.99986364,2170
3,2,0.375,0.375,"[3, 5]",0.625,False,1,0.56492974,0.14740328,0.47334695,True,0.55548352,0.98874103,2170
3,3,0.5,0.5,"[4, 4]",0.5,False,0,0.66956954,0.16804976,0.56102322,True,0.59070199,0.96540772,2170
3,4,0.625,0.625,"[5, 3]",0.625,False,0,0.70081363,0.19481652,0.58720222,True,0.62008128,0.94930311,2170
3,5,0.5,0.5,"[0, 8]",1.0,True,1,0.0093086,0.00167111,0.00779955,True,0.50637903,0.99986885,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.02376813,0.00413927,0.019915,True,0.50565498,0.99989367,2170
4,2,0.875,0.875,"[5, 3]",0.625,False,0,0.28111846,0.07050588,0.23554534,True,0.52356882,0.99509627,2170
4,3,0.25,0.25,"[4, 4]",0.5,False,0,1.19783244,0.3648719,1.00364752,True,0.74898699,0.7406245,2170
4,4,0.5,0.5,"[0, 8]",1.0,True,1,0.24919041,0.05105544,0.20879325,True,0.52293352,0.99581715,2170
4,5,0.375,0.375,"[3, 5]",0.625,False,1,0.4112398,0.10867012,0.34457224,True,0.57514931,0.97066884,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00948905,0.00176224,0.00795074,True,0.50462661,0.99992523,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.0092853,0.00171736,0.00778003,True,0.50728951,0.99983659,2170
5,3,0.5,0.5,"[4, 4]",0.5,False,0,1.11541581,0.2789492,0.93459174,True,0.80477175,0.65022413,2170
5,4,0.625,0.625,"[3, 5]",0.625,False,1,0.17248919,0.0349272,0.14452634,True,0.5061759,0.99987188,2170
5,5,0.625,0.625,"[3, 5]",0.625,False,1,1.10346255,0.28456102,0.92457627,True,0.66897115,0.90093418,2170
6,1,0.375,0.375,"[5, 3]",0.625,False,0,1.05789504,0.26758982,0.88639587,True,0.70431616,0.74508053,2170
6,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00949011,0.00161635,0.00795164,True,0.50641759,0.99986587,2170
6,3,0.5,0.5,"[2, 6]",0.75,False,1,0.03219282,0.00621481,0.02697393,True,0.507834,0.99980014,2170
6,4,0.625,0.625,"[1, 7]",0.875,False,1,0.03200897,0.00610588,0.02681988,True,0.50401206,0.99992787,2170
6,5,0.625,0.625,"[7, 1]",0.875,False,0,0.18721195,0.04670846,0.15686235,True,0.52655157,0.99655456,2170
7,1,0.625,0.625,"[3, 5]",0.625,False,1,0.88383788,0.23985521,0.74055574,True,0.63369249,0.90280505,2170
7,2,0.75,0.75,"[6, 2]",0.75,False,0,0.97893773,0.25536022,0.82023862,True,0.59205738,0.97048909,2170
7,3,0.625,0.625,"[3, 5]",0.625,False,1,0.97447382,0.23328648,0.81649836,True,0.69854535,0.83903091,2170
7,4,0.625,0.625,"[1, 7]",0.875,False,1,0.07952433,0.01715705,0.06663235,True,0.50562627,0.99985544,2170
7,5,0.625,0.625,"[3, 5]",0.625,False,1,0.56635238,0.12147446,0.47453896,True,0.5759244,0.97983636,2170
8,1,0.75,0.75,"[4, 4]",0.5,False,0,0.9735285,0.23650155,0.8157063,True,0.79463424,0.67036034,2170
8,2,0.75,0.75,"[6, 2]",0.75,False,0,0.72941936,0.18867666,0.61117056,True,0.66829577,0.8721251,2170
8,3,0.75,0.75,"[4, 4]",0.5,False,0,1.0821932,0.26530001,0.90675497,True,0.86998644,0.39434543,2170
8,4,0.75,0.75,"[4, 4]",0.5,False,0,1.01379667,0.2977642,0.84944645,True,0.80862977,0.64253057,2170
8,5,0.75,0.75,"[4, 4]",0.5,False,0,0.81840213,0.20088318,0.68572802,True,0.85504862,0.51811734,2170
9,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00882776,0.00159933,0.00739666,True,0.50452628,0.99991334,2170
9,2,0.25,0.25,"[2, 6]",0.75,False,1,0.1965881,0.05419087,0.16471849,True,0.50847521,0.99973759,2170
9,3,0.375,0.375,"[3, 5]",0.625,False,1,0.2390752,0.05435967,0.20031786,True,0.50941258,0.99969833,2170
9,4,0.125,0.125,"[3, 5]",0.625,False,1,0.52266715,0.11748555,0.4379357,True,0.54748102,0.9885364,2170
9,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01093177,0.00173774,0.00915958,True,0.50726607,0.99983414,2170
10,1,0.375,0.375,"[5, 3]",0.625,False,0,1.11166706,0.2838543,0.93145072,True,0.67660801,0.86012415,2170
10,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01013907,0.00164319,0.00849539,True,0.50483767,0.99992473,2170
10,3,0.25,0.25,"[2, 6]",0.75,False,1,0.45800299,0.11242947,0.38375448,True,0.53839007,0.99226224,2170
10,4,0.5,0.5,"[6, 2]",0.75,False,0,0.15677092,0.03541811,0.13135623,True,0.51191516,0.99950963,2170
10,5,0.625,0.625,"[1, 7]",0.875,False,1,0.03030207,0.00565834,0.02538969,True,0.50552385,0.99988146,2170
11,1,0.5,0.5,"[4, 4]",0.5,False,0,0.72779868,0.19341915,0.60981262,True,0.54731233,0.98657119,2170
