subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.06527083,-0.04074819,0.07411376,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,1,Fp2,0.05239651,0.0283186,0.05799702,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,2,Fz,0.07420958,-0.05898039,0.10034602,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,3,F3,0.08656316,0.03870399,0.09829282,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,4,F4,0.11266895,-0.00102896,0.11634734,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,5,F7,0.11693062,0.08745338,0.13357963,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,6,F8,0.09472233,0.00938828,0.1096497,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,7,FCz,0.06222,0.03582986,0.06471801,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,8,FC3,0.10321783,-0.07938249,0.12446759,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,9,FC4,0.17360686,0.07394636,0.19601342,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,10,FT7,0.10526348,0.00098923,0.1122195,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,11,FT8,0.04341131,0.03543416,0.05201621,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,12,Cz,0.17399585,0.1067149,0.17565069,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,13,C3,0.14480075,-0.07134525,0.1867635,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,14,C4,0.1219725,-0.07445557,0.16212079,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,15,T3,0.1326201,0.05321506,0.13827924,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,16,T4,0.08508413,-0.03454257,0.09943314,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,17,CP3,0.06329702,0.0304284,0.07721568,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,18,CP4,0.1076935,0.00401232,0.11061146,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,19,TP7,0.22472569,-0.04153415,0.23996086,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,20,TP8,0.12168089,-0.00487811,0.14145465,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,21,Pz,0.10306963,-0.07933626,0.1264987,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,22,P3,0.11257102,0.11257102,0.15434349,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,23,P4,0.05184398,-0.00959474,0.06229075,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,24,T5,0.09968428,-0.01661014,0.10901823,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,25,T6,0.07023513,0.05408655,0.07639546,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,26,Oz,0.08791907,-0.00979619,0.10085496,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,27,O1,0.06771862,0.06771862,0.08217713,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,1,28,O2,0.08218931,-0.0272792,0.11417677,0.375,0.375,"[3, 5]",0.625,False,1.41877493,0.46123417,1.18877223,True
1,2,0,Fp1,0.10976663,-0.09544077,0.12238976,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,1,Fp2,0.07781029,0.06171858,0.09528248,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,2,Fz,0.10352641,-0.09788375,0.11690293,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,3,F3,0.08845685,0.02785037,0.09519152,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,4,F4,0.09784219,0.01269518,0.10812525,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,5,F7,0.08416031,0.08208325,0.09799204,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,6,F8,0.07790412,-0.02920625,0.07898066,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,7,FCz,0.09911862,0.09911862,0.11434712,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,8,FC3,0.03108353,0.00584161,0.03784852,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,9,FC4,0.05801202,-0.05801202,0.07602847,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,10,FT7,0.08943351,-0.05786996,0.10292921,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,11,FT8,0.07998954,-0.00375654,0.09673684,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,12,Cz,0.07641896,0.07540486,0.09199813,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,13,C3,0.11508478,0.0724287,0.11732771,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,14,C4,0.08566724,-0.07585429,0.09639348,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,15,T3,0.12658268,0.12658268,0.13191724,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,16,T4,0.12200754,0.01267012,0.13431746,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,17,CP3,0.12119542,0.03245598,0.13942122,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,18,CP4,0.11114334,0.03433228,0.12750399,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,19,TP7,0.08456835,-0.01886367,0.09454879,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,20,TP8,0.08885457,-0.05996976,0.10835719,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,21,Pz,0.153392,0.0065218,0.15358235,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,22,P3,0.10808371,0.10808371,0.11734679,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,23,P4,0.10490646,-0.09329481,0.11705981,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,24,T5,0.10506539,0.07314652,0.11455052,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,25,T6,0.08096786,-0.06269433,0.09232833,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,26,Oz,0.07790572,0.04222668,0.08023161,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,27,O1,0.12240542,0.05635514,0.13245209,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,2,28,O2,0.14345244,-0.02403759,0.14618686,0.5,0.5,"[0, 8]",1.0,True,0.00808245,0.00159475,0.00677218,True
1,3,0,Fp1,0.10836241,-0.09484179,0.12301571,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,1,Fp2,0.07833171,0.05906721,0.09736674,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,2,Fz,0.10225334,-0.09557427,0.11498088,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,3,F3,0.09225191,0.0330874,0.0962836,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,4,F4,0.10069095,0.01456537,0.11056279,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,5,F7,0.09588934,0.09021062,0.11007308,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,6,F8,0.07839537,-0.03111023,0.07948321,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,7,FCz,0.10158885,0.10158885,0.11764876,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,8,FC3,0.03280627,0.00468621,0.04159257,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,9,FC4,0.05088048,-0.04722071,0.06886876,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,10,FT7,0.07718291,-0.04819126,0.09204686,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,11,FT8,0.07942915,0.00262875,0.09371011,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,12,Cz,0.07670815,0.07670815,0.09022101,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,13,C3,0.10735072,0.06556927,0.10916907,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,14,C4,0.08957618,-0.07747819,0.10251497,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,15,T3,0.12806603,0.12806603,0.13540263,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,16,T4,0.1189298,0.00755108,0.13031307,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,17,CP3,0.12828523,0.02946462,0.14451711,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,18,CP4,0.10694975,0.03628159,0.12222733,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,19,TP7,0.09613267,-0.02143048,0.10446732,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,20,TP8,0.0885704,-0.06635466,0.11193748,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,21,Pz,0.15011923,0.00586945,0.15038446,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,22,P3,0.10410996,0.10410996,0.1157758,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,23,P4,0.10114194,-0.09266432,0.1145026,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
1,3,24,T5,0.09885284,0.06278457,0.10442726,0.375,0.375,"[1, 7]",0.875,False,0.09638644,0.02332747,0.08076089,True
