channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.13517031567999999,0.031126693716811992,0.0031367466,0.14162161132,250,0.7955,0.396,0.40908409604
28,O2,0.13423113552000002,0.029517605552746913,-0.0234643418,0.14289461984,250,0.7955,0.396,0.40908409604
17,CP3,0.1220820406,0.02613298596277701,0.01695149464,0.14122212752,250,0.7955,0.396,0.40908409604
18,CP4,0.11566602896,0.027072174784410798,0.043703874319999995,0.13370748732,250,0.7955,0.396,0.40908409604
15,T3,0.1155411754,0.02800171912294426,0.10893486988,0.12527423932,250,0.7955,0.396,0.40908409604
16,T4,0.11176988256,0.024506729351534556,0.013461297160000002,0.12556576168,250,0.7955,0.396,0.40908409604
27,O1,0.11156823903999999,0.024871365504214638,0.04984431348,0.12438272448000001,250,0.7955,0.396,0.40908409604
13,C3,0.1089710738,0.028034220491557696,0.056964658960000004,0.11833244592,250,0.7955,0.396,0.40908409604
22,P3,0.10346695472,0.02834139957473936,0.0877869862,0.11641149688,250,0.7955,0.396,0.40908409604
2,Fz,0.10224676416,0.02588364296511885,-0.08740044588000001,0.11572834652,250,0.7955,0.396,0.40908409604
23,P4,0.10122077416,0.027394048302014706,-0.07408408352,0.11481880352,250,0.7955,0.396,0.40908409604
7,FCz,0.09783017536,0.027766986229988622,0.08193650404,0.11151949652000001,250,0.7955,0.396,0.40908409604
0,Fp1,0.09587144352,0.025610775544826027,-0.07844806,0.1090996964,250,0.7955,0.396,0.40908409604
24,T5,0.09293649908,0.02664497549534609,0.05496993296,0.104224492,250,0.7955,0.396,0.40908409604
20,TP8,0.09194786516,0.02610913446035933,-0.0451690544,0.11019963384,250,0.7955,0.396,0.40908409604
14,C4,0.09145946092,0.02605036855151072,-0.05838403664,0.10398474040000001,250,0.7955,0.396,0.40908409604
4,F4,0.09091840068000001,0.01847769540649172,0.017368811560000003,0.1039836876,250,0.7955,0.396,0.40908409604
3,F3,0.09064357647999999,0.02619755468508064,0.027303162,0.10131163872,250,0.7955,0.396,0.40908409604
19,TP7,0.08430819284,0.02835056514418842,-0.02750963884,0.09639871427999999,250,0.7955,0.396,0.40908409604
5,F7,0.08418462787999999,0.02291421971394564,0.07479177404,0.09743724996,250,0.7955,0.396,0.40908409604
10,FT7,0.08407067139999999,0.02146763679016224,-0.04664891128,0.09768675904,250,0.7955,0.396,0.40908409604
26,Oz,0.08350352048000001,0.023786232506189747,0.04166031488,0.09127987336,250,0.7955,0.396,0.40908409604
12,Cz,0.08321890412,0.026532453196778504,0.07080602596,0.097801838,250,0.7955,0.396,0.40908409604
11,FT8,0.08316778116000001,0.025467517411127294,-0.00424508072,0.09879740404000001,250,0.7955,0.396,0.40908409604
25,T6,0.08221371072,0.021934443935284858,-0.0445032664,0.09504283772,250,0.7955,0.396,0.40908409604
6,F8,0.07230640108,0.021278646891731024,-0.01989358448,0.07933445543999999,250,0.7955,0.396,0.40908409604
9,FC4,0.07065328864,0.027674633718022576,-0.04645154532,0.08621918168,250,0.7955,0.396,0.40908409604
1,Fp2,0.07022601812000001,0.017997436686363694,0.049934109399999996,0.08553862636,250,0.7955,0.396,0.40908409604
8,FC3,0.05137938492,0.0382994291174627,-0.0025524920000000004,0.06062003076,250,0.7955,0.396,0.40908409604
