subject_id,channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
1,21,Pz,0.130218212,0.01838867906683539,0.00909759,0.138030022,5,0.675,0.2,0.539213924
1,4,F4,0.128603622,0.02635445115972574,0.005851298,0.147287956,5,0.675,0.2,0.539213924
1,28,O2,0.12764883,0.01114938556898765,-0.033897946,0.137612294,5,0.675,0.2,0.539213924
1,19,TP7,0.12573483400000002,0.03272561751648515,-0.09542465200000001,0.142325898,5,0.675,0.2,0.539213924
1,27,O1,0.119956912,0.02100794263969392,0.057752059999999994,0.12949549,5,0.675,0.2,0.539213924
1,18,CP4,0.119428534,0.032562584248152504,0.05628500200000001,0.13435694599999998,5,0.675,0.2,0.539213924
1,22,P3,0.11802436000000001,0.01458050299382706,0.10426343,0.147127846,5,0.675,0.2,0.539213924
1,16,T4,0.112699082,0.015229389981413244,-0.03269281,0.141427876,5,0.675,0.2,0.539213924
1,7,FCz,0.110471328,0.023607825941553157,0.105271376,0.127529362,5,0.675,0.2,0.539213924
1,14,C4,0.109494134,0.03829344194348728,-0.090529424,0.12453110999999999,5,0.675,0.2,0.539213924
1,0,Fp1,0.10882544999999999,0.010569662476340008,-0.088106894,0.118900276,5,0.675,0.2,0.539213924
1,15,T3,0.10248202,0.03443901953335126,0.101491684,0.11027524,5,0.675,0.2,0.539213924
1,12,Cz,0.09936559,0.03382410931029817,0.093723238,0.114551476,5,0.675,0.2,0.539213924
1,5,F7,0.096992412,0.013146741908340634,0.09248542800000001,0.11904127199999999,5,0.675,0.2,0.539213924
1,17,CP3,0.096149792,0.0260062433162014,0.02547466,0.11732035,5,0.675,0.2,0.539213924
1,3,F3,0.09414523999999999,0.017216665451499313,0.030820491999999998,0.10772928600000001,5,0.675,0.2,0.539213924
1,20,TP8,0.09263705,0.023353819366642145,-0.050433882,0.109918728,5,0.675,0.2,0.539213924
1,13,C3,0.087706448,0.021442537967130193,0.040077764,0.094602572,5,0.675,0.2,0.539213924
1,9,FC4,0.087056456,0.02909289709174097,-0.024283854,0.10010322600000002,5,0.675,0.2,0.539213924
1,23,P4,0.082546224,0.02328801203742668,-0.039125655999999995,0.094682206,5,0.675,0.2,0.539213924
1,24,T5,0.081038902,0.019967661620032526,0.012791830000000004,0.090595646,5,0.675,0.2,0.539213924
1,26,Oz,0.07786780800000001,0.012155739145176243,0.031692394,0.085391446,5,0.675,0.2,0.539213924
1,1,Fp2,0.073796398,0.007728466281013978,0.06002197,0.088338832,5,0.675,0.2,0.539213924
1,6,F8,0.071834202,0.0152180754417492,-0.040471356,0.080358498,5,0.675,0.2,0.539213924
1,10,FT7,0.07160515,0.014186542485556517,-0.011038766000000002,0.081815694,5,0.675,0.2,0.539213924
1,2,Fz,0.071315074,0.027428307939916383,-0.04505792399999999,0.080615422,5,0.675,0.2,0.539213924
1,8,FC3,0.061351642,0.030710237135967707,-0.023960914,0.068188286,5,0.675,0.2,0.539213924
1,11,FT8,0.058368646,0.019772409778100644,-0.015365992,0.072766922,5,0.675,0.2,0.539213924
1,25,T6,0.050451986000000004,0.019818457451125704,-0.045850313999999996,0.06078257,5,0.675,0.2,0.539213924
10,21,Pz,0.14022518,0.018499420109308825,-0.006352178,0.14400451,5,0.85,0.6,0.2508319
10,28,O2,0.137241352,0.012054577003857085,-0.017233777999999998,0.140535306,5,0.85,0.6,0.2508319
10,22,P3,0.135685946,0.0380334819526773,0.126925878,0.145907994,5,0.85,0.6,0.2508319
10,17,CP3,0.12447894200000001,0.006304168130722716,0.034288992000000004,0.14099474,5,0.85,0.6,0.2508319
10,16,T4,0.11626628800000001,0.010518062836738043,0.01316223,0.130906818,5,0.85,0.6,0.2508319
10,0,Fp1,0.11605307599999999,0.01068611396926544,-0.100694998,0.130963848,5,0.85,0.6,0.2508319
10,15,T3,0.11541090400000001,0.017076475929732403,0.11541090400000001,0.12185365,5,0.85,0.6,0.2508319
10,2,Fz,0.114711508,0.017415375301995936,-0.11108802200000001,0.126263498,5,0.85,0.6,0.2508319
10,13,C3,0.11331013599999999,0.030293583776064364,0.080826632,0.125347058,5,0.85,0.6,0.2508319
10,27,O1,0.11293365200000001,0.012466557891556112,0.036658326000000005,0.127306602,5,0.85,0.6,0.2508319
10,23,P4,0.106052866,0.014624375705806379,-0.08761517599999999,0.11573519800000001,5,0.85,0.6,0.2508319
10,18,CP4,0.101504034,0.014591891316345189,0.03201785,0.11524695199999999,5,0.85,0.6,0.2508319
10,14,C4,0.094115268,0.012324942001046902,-0.067784238,0.10766647200000001,5,0.85,0.6,0.2508319
10,4,F4,0.09224493,0.007703596903654809,0.012721205999999999,0.102275902,5,0.85,0.6,0.2508319
10,5,F7,0.090656472,0.012667999976865723,0.08906343800000001,0.103021366,5,0.85,0.6,0.2508319
10,20,TP8,0.090131814,0.004153148913551017,-0.043210309999999995,0.10896097,5,0.85,0.6,0.2508319
10,3,F3,0.08912213799999999,0.005097879490618624,0.032581033999999995,0.099352632,5,0.85,0.6,0.2508319
10,19,TP7,0.08621864,0.0040391114928409735,-0.027799496,0.10087613200000001,5,0.85,0.6,0.2508319
10,25,T6,0.08568506000000001,0.017624003219039078,-0.049498443999999996,0.096071384,5,0.85,0.6,0.2508319
10,24,T5,0.084704186,0.030331303058405354,0.056755026,0.096204418,5,0.85,0.6,0.2508319
10,10,FT7,0.084577028,0.00968832843644971,-0.043808562,0.097820646,5,0.85,0.6,0.2508319
10,11,FT8,0.082888296,0.006247980076723201,-0.002431148,0.097351568,5,0.85,0.6,0.2508319
10,26,Oz,0.078239486,0.0014586114023207137,0.043966074,0.085851554,5,0.85,0.6,0.2508319
10,1,Fp2,0.075762516,0.006992455751849991,0.061848702,0.09044333,5,0.85,0.6,0.2508319
10,7,FCz,0.075401442,0.034096413071350626,0.07502273200000001,0.089217376,5,0.85,0.6,0.2508319
10,12,Cz,0.069436118,0.0108975085325945,0.046616788,0.082823828,5,0.85,0.6,0.2508319
