subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.09958892,-0.06643758,0.10295235,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,1,Fp2,0.07509927,0.07501847,0.09144398,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,2,Fz,0.07513591,-0.02010662,0.0910621,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,3,F3,0.10847896,-0.02587182,0.12940806,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,4,F4,0.13225995,-0.01092041,0.16058318,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,5,F7,0.09768844,0.07735684,0.13058667,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,6,F8,0.04603504,0.00270862,0.05378197,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,7,FCz,0.14596537,0.11996561,0.1741406,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,8,FC3,0.09631426,-0.09631426,0.10273259,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,9,FC4,0.1238845,-0.04655522,0.13871169,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,10,FT7,0.07659306,0.03689437,0.09169461,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,11,FT8,0.02657594,-0.00325123,0.03338985,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,12,Cz,0.15227695,0.13219281,0.1736903,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,13,C3,0.09187384,0.07082757,0.09824843,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,14,C4,0.10808812,-0.06283306,0.1198937,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,15,T3,0.07841005,0.07841005,0.08657918,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,16,T4,0.08999167,-0.02941586,0.12468132,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,17,CP3,0.0667619,0.0444889,0.09343067,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,18,CP4,0.07944269,0.03054836,0.09848217,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,19,TP7,0.1433349,-0.14053926,0.16816778,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,20,TP8,0.07623777,-0.03110974,0.10244721,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,21,Pz,0.11503766,0.05557587,0.12685294,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,22,P3,0.13007896,0.113455,0.17628869,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,23,P4,0.09483926,-0.01204827,0.12142066,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,24,T5,0.07411945,-0.02144477,0.08377286,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,25,T6,0.02698066,-0.02517232,0.03763743,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,26,Oz,0.07107954,-0.00078654,0.07785125,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,27,O1,0.10431945,0.05460615,0.11769338,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,1,28,O2,0.12290233,-0.05907374,0.13337457,0.75,0.75,"[4, 4]",0.5,False,1.03746143,0.25520498,0.86927483,True
1,2,0,Fp1,0.12446955,-0.11142337,0.13972881,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,1,Fp2,0.07824084,0.06408255,0.09703644,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,2,Fz,0.09227671,-0.09227671,0.10096256,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,3,F3,0.1098964,0.06053943,0.11302967,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,4,F4,0.10861322,0.02773795,0.12008339,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,5,F7,0.10706174,0.10706174,0.11360476,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,6,F8,0.08409377,-0.05832261,0.08627628,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,7,FCz,0.10130808,0.10130808,0.11300587,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,8,FC3,0.05940229,-0.00917861,0.06273888,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,9,FC4,0.05764344,0.00264321,0.06524048,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,10,FT7,0.0495991,-0.03411061,0.0590088,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,11,FT8,0.06687609,-0.03225701,0.08346191,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,12,Cz,0.10614941,0.10614941,0.12199944,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,13,C3,0.09360471,0.05653516,0.09632849,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,14,C4,0.0708152,-0.0708152,0.07717605,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,15,T3,0.11433686,0.11433686,0.12050419,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,16,T4,0.12541819,-0.0522751,0.15064149,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,17,CP3,0.12329832,0.03670997,0.13993128,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,18,CP4,0.11673128,0.05585634,0.13032144,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,19,TP7,0.0977511,-0.06885475,0.1150585,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,20,TP8,0.10229184,-0.07148883,0.12546907,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,21,Pz,0.14991024,0.00568257,0.15240484,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,22,P3,0.09872934,0.09872934,0.12764327,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,23,P4,0.08951674,-0.06757858,0.09535629,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,24,T5,0.0875337,0.03612752,0.09921128,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,25,T6,0.05139252,-0.04684595,0.06347369,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,26,Oz,0.07010268,0.02788703,0.07608961,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,27,O1,0.13536806,0.07400979,0.13855293,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,2,28,O2,0.11401411,-0.02187556,0.1202913,0.25,0.25,"[4, 4]",0.5,False,0.41450175,0.09043478,0.34730538,True
1,3,0,Fp1,0.11374501,-0.08852953,0.12428205,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,1,Fp2,0.06042894,0.04291921,0.07322504,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,2,Fz,0.04318015,0.00510391,0.04910439,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,3,F3,0.06741877,0.06264354,0.10148907,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,4,F4,0.16521123,-0.03137434,0.20076735,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,5,F7,0.08111624,0.08111624,0.11624508,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,6,F8,0.07797629,-0.07797629,0.09328007,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,7,FCz,0.12100326,0.12100326,0.14544833,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,8,FC3,0.08849595,-0.0421235,0.10318603,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,9,FC4,0.08941931,-0.02548167,0.10085882,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,10,FT7,0.07507552,0.06806358,0.0858202,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,11,FT8,0.05643103,-0.00314286,0.06663569,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,12,Cz,0.06424399,0.05717571,0.0718281,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,13,C3,0.05309727,-0.00446695,0.06011583,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,14,C4,0.11259347,-0.07078485,0.13650431,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,15,T3,0.05567781,0.05072613,0.07199673,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,16,T4,0.1040033,-0.01754941,0.11965404,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,17,CP3,0.08342504,-0.00329265,0.10541956,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,18,CP4,0.12114977,0.04389147,0.13304248,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,19,TP7,0.16597228,-0.13205843,0.18582138,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,20,TP8,0.12733983,-0.04701963,0.13599919,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,21,Pz,0.11912151,-0.02104444,0.14110796,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,22,P3,0.1196142,0.09689541,0.15242945,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,23,P4,0.07884263,0.02070016,0.08211852,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,24,T5,0.05132784,-0.05132784,0.06363092,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,25,T6,0.05213132,-0.05213132,0.06417101,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,26,Oz,0.07148886,0.05285902,0.0858104,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,27,O1,0.14487197,0.09270047,0.15376142,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,3,28,O2,0.1252266,-0.04133007,0.14071883,0.5,0.5,"[6, 2]",0.75,False,0.93669362,0.22434951,0.78484285,True
1,4,0,Fp1,0.09938924,-0.08085354,0.10795249,0.625,0.625,"[5, 3]",0.625,False,0.79964333,0.20946211,0.67001028,True
1,4,1,Fp2,0.07539921,0.05536368,0.0824817,0.625,0.625,"[5, 3]",0.625,False,0.79964333,0.20946211,0.67001028,True
1,4,2,Fz,0.04334281,-0.02102796,0.04605987,0.625,0.625,"[5, 3]",0.625,False,0.79964333,0.20946211,0.67001028,True
1,4,3,F3,0.0949314,0.02712978,0.0989532,0.625,0.625,"[5, 3]",0.625,False,0.79964333,0.20946211,0.67001028,True
1,4,4,F4,0.1387106,0.03036029,0.14652149,0.625,0.625,"[5, 3]",0.625,False,0.79964333,0.20946211,0.67001028,True
1,4,5,F7,0.11228278,0.11228278,0.13375972,0.625,0.625,"[5, 3]",0.625,False,0.79964333,0.20946211,0.67001028,True
1,4,6,F8,0.07076962,-0.03864679,0.08698916,0.625,0.625,"[5, 3]",0.625,False,0.79964333,0.20946211,0.67001028,True
1,4,7,FCz,0.08514164,0.08514164,0.09077464,0.625,0.625,"[5, 3]",0.625,False,0.79964333,0.20946211,0.67001028,True
