subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[4, 4]",0.5,False,0,1.24270119,0.41073832,1.04124243,True,0.68528621,0.8618256,2170
1,2,0.625,0.625,"[5, 3]",0.625,False,0,0.3356176,0.09230533,0.28120942,True,0.51496298,0.99905691,2170
1,3,0.5,0.5,"[0, 8]",1.0,True,1,0.02200194,0.0052487,0.01843513,True,0.5069415,0.99983881,2170
1,4,0.25,0.25,"[4, 4]",0.5,False,0,1.31943,0.31580411,1.10553246,True,0.74408514,0.78534345,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.03015693,0.00591309,0.02526808,True,0.50727119,0.99983735,2170
2,1,0.5,0.5,"[6, 2]",0.75,False,0,0.91116326,0.25898941,0.76345131,True,0.7122598,0.8099217,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.41517933,0.09875764,0.34787311,True,0.57575997,0.9785256,2170
2,3,0.625,0.625,"[1, 7]",0.875,False,1,0.80086072,0.22114057,0.67103031,True,0.78212117,0.70574957,2170
2,4,0.875,0.875,"[5, 3]",0.625,False,0,0.36405885,0.08371156,0.30503996,True,0.56224719,0.98733202,2170
2,5,0.5,0.5,"[2, 6]",0.75,False,1,0.10942557,0.02395286,0.0916862,True,0.51143796,0.99937887,2170
3,1,0.5,0.5,"[6, 2]",0.75,False,0,0.53664228,0.11100184,0.44964527,True,0.56967326,0.97495189,2170
3,2,0.25,0.25,"[4, 4]",0.5,False,0,0.87867651,0.22928641,0.7362311,True,0.61344258,0.94740952,2170
3,3,0.5,0.5,"[2, 6]",0.75,False,1,0.58813697,0.13227413,0.49279197,True,0.58437715,0.97411847,2170
3,4,0.5,0.5,"[4, 4]",0.5,False,0,1.13288065,0.35311393,0.94922529,True,0.67710547,0.84300351,2170
3,5,0.625,0.625,"[5, 3]",0.625,False,0,0.38567378,0.08822855,0.32315082,True,0.54420356,0.99233477,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00934351,0.00164871,0.0078288,True,0.50511573,0.99989803,2170
4,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01146975,0.00166455,0.00961035,True,0.50781124,0.99978996,2170
4,3,0.875,0.875,"[3, 5]",0.625,False,1,0.99589293,0.30246189,0.83444515,True,0.68259915,0.85947344,2170
4,4,0.375,0.375,"[3, 5]",0.625,False,1,0.81460532,0.22118893,0.68254672,True,0.58513886,0.96650603,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01099919,0.00161719,0.00921607,True,0.50687263,0.99983028,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00983497,0.00168543,0.00824059,True,0.50562738,0.9998916,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00929296,0.00168259,0.00778645,True,0.50818246,0.99978967,2170
5,3,0.25,0.25,"[4, 4]",0.5,False,0,1.16584909,0.27709649,0.9768491,True,0.63202061,0.90055934,2170
5,4,0.75,0.75,"[4, 4]",0.5,False,0,0.71473361,0.16481198,0.59886557,True,0.54373893,0.99378697,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00945115,0.00174185,0.00791899,True,0.50597865,0.99989295,2170
6,1,0.375,0.375,"[5, 3]",0.625,False,0,0.50521353,0.11060946,0.42331155,True,0.52312157,0.99742472,2170
6,2,0.625,0.625,"[7, 1]",0.875,False,0,1.27497457,0.43104181,1.06828386,True,0.90706395,0.32187815,2170
6,3,0.25,0.25,"[4, 4]",0.5,False,0,0.85464289,0.21551193,0.71609366,True,0.63051488,0.93576715,2170
6,4,0.375,0.375,"[1, 7]",0.875,False,1,0.01998918,0.00374882,0.01674866,True,0.50695451,0.99983403,2170
6,5,0.375,0.375,"[5, 3]",0.625,False,0,0.6943678,0.23141947,0.58180134,True,0.65553818,0.90954577,2170
7,1,0.75,0.75,"[4, 4]",0.5,False,0,0.30283642,0.07195573,0.25374252,True,0.52479232,0.99697583,2170
7,2,0.5,0.5,"[6, 2]",0.75,False,0,0.69293305,0.1464064,0.58059918,True,0.59049455,0.96835508,2170
7,3,0.5,0.5,"[2, 6]",0.75,False,1,0.3265404,0.08011844,0.27360376,True,0.52044213,0.99812191,2170
7,4,0.25,0.25,"[2, 6]",0.75,False,1,1.20452196,0.40080453,1.00925258,True,0.74339829,0.78357219,2170
7,5,0.625,0.625,"[3, 5]",0.625,False,1,0.78843773,0.18606684,0.66062126,True,0.59860655,0.95249318,2170
8,1,0.5,0.5,"[6, 2]",0.75,False,0,0.1256485,0.02246364,0.10527917,True,0.51379709,0.99935446,2170
