channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.14753259684,0.016359507377171133,0.00487032228,0.14966433104000001,250,0.826,0.476,0.1701107566
28,O2,0.14216877496,0.015056203594093447,-0.02417617888,0.14710666504,250,0.826,0.476,0.1701107566
15,T3,0.12357014608,0.015119134547002689,0.12204245724,0.13054666212000002,250,0.826,0.476,0.1701107566
17,CP3,0.12322010216,0.015003880614347063,0.025708336800000002,0.1412378162,250,0.826,0.476,0.1701107566
16,T4,0.1201717402,0.01384091030135621,0.0163517422,0.13358746168,250,0.826,0.476,0.1701107566
27,O1,0.11824155716,0.01467351357303343,0.052441234360000005,0.13010839216,250,0.826,0.476,0.1701107566
13,C3,0.11133769384,0.015856729377881774,0.06592060656,0.11592071344,250,0.826,0.476,0.1701107566
18,CP4,0.11038792119999999,0.01161000224931429,0.038221057960000006,0.12727626488,250,0.826,0.476,0.1701107566
0,Fp1,0.10791325516,0.012997374956470114,-0.09403685468,0.12137867972,250,0.826,0.476,0.1701107566
2,Fz,0.10524055371999999,0.01038527151189302,-0.09756066236,0.1181527986,250,0.826,0.476,0.1701107566
22,P3,0.10421250612,0.016312694743114663,0.10026343044,0.11526222328,250,0.826,0.476,0.1701107566
23,P4,0.10340477296,0.014645733973695965,-0.08822868004000001,0.1156441028,250,0.826,0.476,0.1701107566
24,T5,0.10067915564,0.01591402072577816,0.06819951644,0.111214643,250,0.826,0.476,0.1701107566
7,FCz,0.09888493112,0.014413863220581791,0.09670574915999999,0.11380404731999999,250,0.826,0.476,0.1701107566
4,F4,0.09453381388,0.011794822178991419,0.013882172239999999,0.10580204588,250,0.826,0.476,0.1701107566
20,TP8,0.090096626,0.011270101764851872,-0.054588143039999995,0.10835426952,250,0.826,0.476,0.1701107566
10,FT7,0.08921501956,0.013105118568704166,-0.053673816119999995,0.10342346259999999,250,0.826,0.476,0.1701107566
3,F3,0.08861293032,0.0110927607045899,0.0295691462,0.09654907848000001,250,0.826,0.476,0.1701107566
14,C4,0.08842561544000001,0.012908187191149582,-0.07110270147999999,0.09997779408,250,0.826,0.476,0.1701107566
5,F7,0.08640891832,0.014878965779403269,0.08118516176,0.09998348188,250,0.826,0.476,0.1701107566
19,TP7,0.08545419612,0.016043902789908516,-0.023947728560000003,0.09697858196,250,0.826,0.476,0.1701107566
11,FT8,0.08231335636,0.015098007769890766,-0.0004703381199999999,0.09942865740000001,250,0.826,0.476,0.1701107566
25,T6,0.07918104028,0.01234979207108787,-0.057571148919999995,0.09113818404,250,0.826,0.476,0.1701107566
12,Cz,0.07869406104,0.011929526198454754,0.07339235692,0.09314224364,250,0.826,0.476,0.1701107566
26,Oz,0.07790252232,0.012265548692747536,0.04363061924,0.08301030264,250,0.826,0.476,0.1701107566
6,F8,0.07633728184,0.01430695177491472,-0.02367497724,0.08074874156,250,0.826,0.476,0.1701107566
1,Fp2,0.07604317448,0.011868188363330793,0.05830727988,0.09407961568,250,0.826,0.476,0.1701107566
9,FC4,0.06031262488,0.01287730864338337,-0.05443118392,0.07673029324,250,0.826,0.476,0.1701107566
8,FC3,0.0381437064,0.016219328339770845,0.00445959196,0.04517714272,250,0.826,0.476,0.1701107566
