run_id,global.mean_accuracy,global.std_accuracy,spatial.collapse_rate,spatial.mean_spatial_relative_delta,spatial.mean_confidence,spatial.mean_normalized_prediction_entropy,config.pretrained_mode,config.strategy,config.learning_rate,config.batch_size,config.augmentation_noise_fraction,config.seed,config.set_seed,config.topomap_value_mode,config.source_unit,config.final_model_unit,config.target_window_s,config.target_window_samples,config.resample,config.resample_sfreq,config.extract_spatial_conv_weights,config.save_spatial_weight_plots,config.plot_individual_spatial_filters,config.demean_mode,config.reference_mode,config.reference_timing,config.filter_enabled,config.filter_low,config.filter_high,config.filter_method,config.notch_freqs,config.mi_window_start_s,config.experiment_name,config.config_note
20260522_1647_c3ec9f2b,0.5765,0.16795907239562857,0.172,0.33399195856,0.5813482545599999,0.9341811855600001,from_pretrained,new,0.0005,16,0,,False,relative_zscore,microvolts,microvolts,4.2,,True,250.0,True,True,True,trial_mean,average,before_resample_filter,True,0.5,40.0,fir,,2.0,p26_resample250_diagnostic_0p5_40_meanremove_avgref,"Diagnostic only: 250 Hz resampling. It can test sample-rate sensitivity, but pretrained S-JEPA was trained at 128 Hz."
20260522_1423_052273e9,0.572,0.17590054007876155,0.232,0.37795459372,0.56934999816,0.94889757476,from_pretrained,new,0.0005,16,0,,False,relative_zscore,microvolts,microvolts,4.2,537.0,True,128.0,True,True,True,trial_mean,average,before_resample_filter,True,0.5,40.0,fir,,2.0,p01_liu_meanremove_0p5_40_avgref_start2,Liu processed-data inspired: whole-trial mean removal plus 0.5-40 Hz FIR and average reference.
20260522_1520_ab1dd7a7,0.5715,0.173422172746163,0.24,0.41392398036,0.5662682203199999,0.9546982585999999,from_pretrained,new,0.0005,16,0,,False,relative_zscore,microvolts,microvolts,4.2,537.0,True,128.0,True,True,True,trial_mean,average,before_resample_filter,True,1.0,40.0,fir,,2.0,p11_1_40_trial_mean_average_start2,Frequency sweep: slightly stronger high-pass than S-JEPA paper preprocessing.
20260522_1429_6d47f66f,0.5715,0.17485779936851545,0.248,0.39196095323999997,0.5693641683600001,0.9497008848800002,from_pretrained,new,0.0005,16,0,,False,relative_zscore,microvolts,microvolts,4.2,537.0,True,128.0,True,True,True,baseline_window_mean,average,before_resample_filter,True,0.5,40.0,fir,,2.0,p02_baseline0_2_mean_0p5_40_avgref_start2,"Baseline-window mean removal using 0-2s source segment, then S-JEPA-like 0.5-40 Hz FIR."
20260522_1614_0a57692b,0.5665,0.16549999999999998,0.26,0.41870138684,0.57185425448,0.9505157608,from_pretrained,new,0.0005,16,0,,False,relative_zscore,microvolts,microvolts,4.2,537.0,True,128.0,True,True,True,trial_mean,average,before_resample_filter,True,0.5,40.0,fir,,2.0,p18_window2s_0p5_40_meanremove_avgref,Window-start sweep with broad 0.5-40 Hz preprocessing; tests whether the useful MI segment starts before/after the current 2s crop.
20260522_1538_fdcb7a31,0.5595,0.15936514675423857,0.32,0.36535973083999995,0.5570802190399999,0.96157007032,from_pretrained,new,0.0005,16,0,,False,relative_zscore,microvolts,microvolts,4.2,537.0,True,128.0,True,True,True,trial_mean,average,before_resample_filter,True,0.5,40.0,iir,,2.0,p14_iir_0p5_40_meanremove_avgref_start2,Tests 2nd-order Butterworth IIR 0.5-40 Hz instead of FIR; useful because Liu validation code used Butterworth for some analyses.
20260522_1654_d05f3a9a,0.5595,0.18068550024835972,0.08,0.2568780658,0.5919724965600001,0.9137845185599999,from_pretrained,new,0.0005,16,0,,False,relative_zscore,microvolts,microvolts,4.2,,False,,True,True,True,trial_mean,average,before_resample_filter,True,0.5,40.0,fir,,2.0,p27_no_resample500_diagnostic_0p5_40_meanremove_avgref,"Diagnostic only: no resampling, keeps 500 Hz. This may run but is not paper-aligned for pretrained S-JEPA because learned temporal kernels/tokenization were trained at 128 Hz."
20260522_1442_6a9774cb,0.5565,0.17137750727560486,0.3,0.36956141048,0.56583847636,0.9530235918,from_pretrained,new,0.0005,16,0,,False,relative_zscore,microvolts,microvolts,4.2,537.0,True,128.0,True,True,True,trial_mean,none,before_resample_filter,True,0.5,40.0,fir,,2.0,p04_meanremove_no_ref_0p5_40_start2,Whole-trial mean removal while preserving original source reference.
20260522_1608_568e260c,0.556,0.16841615124446943,0.26,0.3665608932,0.5646034518,0.9533127457199999,from_pretrained,new,0.0005,16,0,,False,relative_zscore,microvolts,microvolts,4.2,537.0,True,128.0,True,True,True,trial_mean,average,before_resample_filter,True,0.5,40.0,fir,,1.0,p18_window1s_0p5_40_meanremove_avgref,Window-start sweep with broad 0.5-40 Hz preprocessing; tests whether the useful MI segment starts before/after the current 2s crop.
20260522_1435_e08b6b6e,0.5555,0.16913677896897528,0.26,0.40138180048000005,0.5662606741999999,0.95523584892,from_pretrained,new,0.0005,16,0,,False,relative_zscore,microvolts,microvolts,4.2,537.0,True,128.0,True,True,True,none,none,before_resample_filter,True,0.5,40.0,fir,,2.0,p03_no_ref_0p5_40_start2,Tests whether keeping the original CPz-referenced source data is better than average rereferencing.
20260522_1416_811a8767,0.5555,0.17566231809924404,0.232,0.39138826072,0.57014975136,0.94834483792,from_pretrained,new,0.0005,16,0,,False,relative_zscore,microvolts,microvolts,4.2,537.0,True,128.0,True,True,True,none,average,before_resample_filter,True,0.5,40.0,fir,,2.0,p00_current_moabb_0p5_40_avgref_start2,"Current notebook baseline: no source demean, average reference before resample/filter, 0.5-40 Hz FIR, 128 Hz, 2.0s crop start."
20260522_1527_6e08e6c0,0.555,0.1638596960817394,0.224,0.3759693975600001,0.5671072299600001,0.95311751656,from_pretrained,new,0.0005,16,0,,False,relative_zscore,microvolts,microvolts,4.2,537.0,True,128.0,True,True,True,trial_mean,average,before_resample_filter,True,0.5,30.0,fir,,2.0,p12_0p5_30_trial_mean_average_start2,Frequency sweep: keeps slow components but removes high beta/gamma edge.
20260522_1550_10ff5456,0.554,0.16570757375569772,0.2,0.42506492712,0.5745289009200001,0.9452281295199999,from_pretrained,new,0.0005,16,0,,False,relative_zscore,microvolts,microvolts,4.2,537.0,True,128.0,True,True,True,trial_mean,average,before_resample_filter,True,0.5,40.0,fir,[50.0],2.0,p16_notch50_0p5_40_meanremove_avgref_start2,Optional line-noise check: 50 Hz notch before 0.5-40 Hz bandpass; expected to be mostly redundant after 40 Hz low-pass.
20260522_1448_4e1180e2,0.552,0.18451558199783563,0.232,0.3670547841599999,0.5665220703999999,0.9517986852399999,from_pretrained,new,0.0005,16,0,,False,relative_zscore,microvolts,microvolts,4.2,537.0,True,128.0,True,True,True,none,average,after_filter,True,0.5,40.0,fir,,2.0,p05_avgref_after_filter_0p5_40_start2,Tests reference timing: average reference after resample/filter instead of before.
20260522_1557_2a6ae60d,0.552,0.16969384196251788,0.328,0.29160558152,0.5687459615600001,0.94547863552,from_pretrained,new,0.0005,16,0,,False,relative_zscore,microvolts,microvolts,4.2,537.0,True,128.0,True,True,True,trial_mean,average,before_resample_filter,False,,,fir,,2.0,p17_no_filter_meanremove_avgref_start2,"Ablation: no bandpass filter after resampling, to test whether additional source filtering is hurting pretrained features."
