branch,K,mean_balanced_accuracy,curve,source_cap,calibration_upweight
fusion,4,0.5504629629629629,within_only,none,none
fusion,8,0.6041666666666666,within_only,none,none
fusion,12,0.6416666666666667,within_only,none,none
fusion,16,0.663888888888889,within_only,none,none
fusion,24,0.7177083333333333,within_only,none,none
riemann,4,0.5574074074074074,within_only,none,none
riemann,8,0.615625,within_only,none,none
riemann,12,0.6416666666666667,within_only,none,none
riemann,16,0.6611111111111111,within_only,none,none
riemann,24,0.6802083333333333,within_only,none,none
sjepa,4,0.5259259259259259,within_only,none,none
sjepa,8,0.5463541666666667,within_only,none,none
sjepa,12,0.5244047619047619,within_only,none,none
sjepa,16,0.5506944444444444,within_only,none,none
sjepa,24,0.5229166666666667,within_only,none,none
fusion,0,0.505,transfer_only_best_source_cap,200,none
fusion,4,0.5111111111111112,transfer_only_best_source_cap,96,none
fusion,8,0.5098958333333333,transfer_only_best_source_cap,200,none
fusion,12,0.5047619047619047,transfer_only_best_source_cap,200,none
fusion,16,0.5138888888888888,transfer_only_best_source_cap,96,none
fusion,24,0.5135416666666667,transfer_only_best_source_cap,200,none
riemann,0,0.5083333333333333,transfer_only_best_source_cap,200,none
riemann,4,0.5083333333333333,transfer_only_best_source_cap,96,none
riemann,8,0.509375,transfer_only_best_source_cap,200,none
riemann,12,0.5041666666666667,transfer_only_best_source_cap,200,none
riemann,16,0.5048611111111111,transfer_only_best_source_cap,48,none
riemann,24,0.5020833333333333,transfer_only_best_source_cap,96,none
sjepa,0,0.5291666666666667,transfer_only_best_source_cap,all,none
sjepa,4,0.5282407407407407,transfer_only_best_source_cap,all,none
sjepa,8,0.5307291666666667,transfer_only_best_source_cap,all,none
sjepa,12,0.5261904761904762,transfer_only_best_source_cap,all,none
sjepa,16,0.5375,transfer_only_best_source_cap,all,none
sjepa,24,0.5354166666666667,transfer_only_best_source_cap,all,none
fusion,4,0.5435185185185186,transfer_plus_cal_best_sweep,96,100
fusion,8,0.6244791666666667,transfer_plus_cal_best_sweep,24,100
fusion,12,0.636904761904762,transfer_plus_cal_best_sweep,24,100
fusion,16,0.66875,transfer_plus_cal_best_sweep,24,100
fusion,24,0.7020833333333333,transfer_plus_cal_best_sweep,24,100
riemann,4,0.5523148148148148,transfer_plus_cal_best_sweep,48,100
riemann,8,0.6255208333333333,transfer_plus_cal_best_sweep,24,100
riemann,12,0.6535714285714286,transfer_plus_cal_best_sweep,24,25
riemann,16,0.6715277777777777,transfer_plus_cal_best_sweep,24,100
riemann,24,0.68125,transfer_plus_cal_best_sweep,24,10
sjepa,4,0.5222222222222223,transfer_plus_cal_best_sweep,all,100
sjepa,8,0.5572916666666666,transfer_plus_cal_best_sweep,all,100
sjepa,12,0.5416666666666666,transfer_plus_cal_best_sweep,96,100
sjepa,16,0.5534722222222223,transfer_plus_cal_best_sweep,48,100
sjepa,24,0.5739583333333333,transfer_plus_cal_best_sweep,all,10
