,logreg_bandpower,csp_lda,fbcsp_lda,riemann_mdm,mean_across_methods
35,0.525,0.3,0.575,0.25,0.4125
19,0.35,,0.55,0.4,0.43333333333333335
31,0.375,0.375,0.6,0.4,0.4375
11,0.475,,0.475,0.4,0.45
12,0.425,,0.525,0.4,0.45
6,0.5,,0.425,0.425,0.45
21,0.45,,0.625,0.275,0.45
46,0.35,,0.6,0.4,0.45
2,0.375,0.475,0.55,0.425,0.45625
10,0.55,0.45,0.55,0.275,0.45625000000000004
33,0.5,0.5,0.525,0.325,0.46249999999999997
48,0.325,,0.55,0.525,0.4666666666666666
17,0.55,,0.525,0.325,0.46666666666666673
49,0.45,0.575,0.425,0.45,0.475
4,0.5,0.525,0.4,0.475,0.475
5,0.375,0.45,0.475,0.6,0.475
27,0.525,0.45,0.4,0.525,0.475
42,0.35,,0.45,0.625,0.47500000000000003
15,0.4,0.575,0.425,0.525,0.48124999999999996
36,0.625,0.525,0.45,0.325,0.48124999999999996
9,0.5,0.525,0.475,0.425,0.48125
1,0.7,,0.425,0.325,0.48333333333333334
44,0.5,,0.525,0.45,0.49166666666666664
23,0.5,,0.5,0.475,0.4916666666666667
25,0.425,,0.525,0.525,0.4916666666666667
41,0.55,0.5,0.425,0.5,0.49375
3,0.4,,0.525,0.575,0.5
32,0.425,,0.55,0.55,0.5083333333333334
24,0.6,0.5,0.525,0.425,0.5125
47,0.525,,0.625,0.4,0.5166666666666666
26,0.55,,0.475,0.55,0.525
16,0.55,0.475,0.6,0.475,0.525
43,0.55,,0.45,0.575,0.525
29,0.475,,0.5,0.6,0.525
14,0.65,,0.475,0.5,0.5416666666666666
34,0.6,0.575,0.55,0.475,0.5499999999999999
39,0.6,0.425,0.55,0.625,0.55
38,0.575,,0.525,0.575,0.5583333333333333
28,0.5,,0.65,0.575,0.575
37,0.5,0.55,0.725,0.625,0.6
18,0.65,,0.575,0.675,0.6333333333333334
22,0.675,,0.6,0.675,0.65
8,0.8,,0.475,0.7,0.6583333333333333
50,0.825,0.75,0.525,0.575,0.66875
13,0.725,0.75,0.55,0.675,0.675
20,0.675,0.8,0.525,0.75,0.6875
7,0.75,,0.6,0.8,0.7166666666666668
30,0.65,0.825,0.65,0.8,0.73125
45,0.875,,0.625,0.85,0.7833333333333333
40,0.8,0.775,0.8,0.85,0.80625
