subject_id,rep,oracle_maxband_accuracy,oracle_band,nested_accuracy,nested_band
1,0,0.5,8-12,0.5,12-20
1,1,0.5,8-12,0.375,15-30
1,2,0.625,15-20,0.375,12-20
1,3,0.625,8-12,0.4375,20-30
1,4,0.6875,8-15,0.375,15-20
1,5,0.5,8-12,0.5,8-12
1,6,0.5625,15-30,0.375,8-12
1,7,0.5625,12-20,0.5,8-12
1,8,0.6875,8-12,0.5625,20-30
1,9,0.5,8-12,0.25,8-30
2,0,0.8125,12-20,0.5625,8-15
2,1,0.5625,8-20,0.375,8-15
2,2,0.625,8-20,0.4375,8-12
2,3,0.5625,12-20,0.5625,12-20
2,4,0.8125,12-20,0.5,8-30
2,5,0.625,8-20,0.5,8-12
2,6,0.5,8-12,0.4375,8-15
2,7,0.625,8-30,0.4375,12-20
2,8,0.5,8-12,0.375,8-20
2,9,0.5625,8-12,0.4375,15-20
3,0,0.5,8-20,0.3125,20-30
3,1,0.5625,8-12,0.375,8-30
3,2,0.5625,8-12,0.5625,8-12
3,3,0.625,12-20,0.375,8-12
3,4,0.5625,15-20,0.5,8-30
3,5,0.5,8-30,0.3125,8-15
3,6,0.5,8-30,0.375,8-12
3,7,0.4375,8-12,0.4375,8-12
3,8,0.5625,8-30,0.375,8-12
3,9,0.5,8-30,0.5,8-30
4,0,0.5625,8-20,0.5,8-30
4,1,0.4375,12-20,0.3125,8-20
4,2,0.5625,8-20,0.5625,8-20
4,3,0.625,8-20,0.375,15-20
4,4,0.5,20-30,0.3125,8-12
4,5,0.625,8-15,0.625,8-15
4,6,0.5,8-20,0.5,8-20
4,7,0.5625,8-20,0.5,20-30
4,8,0.625,12-20,0.375,8-12
4,9,0.5625,8-20,0.375,8-30
5,0,0.5625,8-12,0.5625,8-12
5,1,0.6875,12-20,0.5625,8-15
5,2,0.5625,20-30,0.4375,8-15
5,3,0.5,8-12,0.4375,8-15
5,4,0.625,8-15,0.25,20-30
5,5,0.6875,12-20,0.375,20-30
5,6,0.5625,15-30,0.3125,15-20
5,7,0.75,12-20,0.5,8-12
5,8,0.625,8-12,0.375,8-15
5,9,0.6875,8-15,0.5625,8-20
6,0,0.8125,8-12,0.5,15-20
6,1,0.4375,8-20,0.3125,12-20
6,2,0.5,8-12,0.375,15-30
6,3,0.5,8-30,0.4375,8-12
6,4,0.625,15-30,0.3125,8-12
6,5,0.4375,8-12,0.3125,8-15
6,6,0.5625,8-20,0.5,8-12
6,7,0.625,8-15,0.5,8-30
6,8,0.625,12-20,0.4375,8-12
6,9,0.75,8-20,0.6875,8-15
7,0,0.75,8-12,0.6875,8-15
7,1,0.8125,20-30,0.6875,8-12
7,2,0.6875,8-12,0.6875,8-12
7,3,0.75,8-12,0.75,8-15
7,4,0.8125,8-12,0.6875,15-30
7,5,0.75,8-30,0.75,8-30
7,6,0.75,8-12,0.625,12-20
7,7,0.8125,8-12,0.75,8-20
7,8,0.8125,8-12,0.5625,20-30
7,9,0.8125,8-12,0.6875,8-30
8,0,0.625,12-20,0.4375,15-30
8,1,0.5,8-12,0.1875,15-30
8,2,0.625,8-20,0.1875,15-20
8,3,0.5,15-20,0.3125,20-30
8,4,0.625,15-30,0.375,8-20
8,5,0.5625,20-30,0.375,8-20
8,6,0.4375,8-12,0.375,15-30
8,7,0.5625,8-20,0.5625,12-20
8,8,0.5,8-20,0.5,8-20
8,9,0.6875,20-30,0.5625,15-30
9,0,0.5625,15-30,0.4375,8-12
9,1,0.4375,8-12,0.375,20-30
9,2,0.5,8-12,0.375,8-20
9,3,0.4375,8-20,0.4375,15-20
9,4,0.625,20-30,0.4375,8-15
9,5,0.5,8-12,0.375,8-15
9,6,0.625,8-12,0.375,20-30
9,7,0.5625,8-12,0.5625,8-20
9,8,0.625,8-12,0.375,8-30
9,9,0.5625,8-20,0.5,8-12
10,0,0.5625,8-12,0.5625,8-12
10,1,0.5625,15-20,0.3125,8-20
10,2,0.5,8-12,0.3125,8-30
10,3,0.625,15-20,0.375,12-20
10,4,0.625,15-20,0.5625,12-20
10,5,0.5,15-30,0.3125,15-20
10,6,0.5625,8-30,0.5625,15-30
10,7,0.5625,8-20,0.4375,15-20
10,8,0.5,8-12,0.5,15-20
10,9,0.625,15-20,0.625,15-20
11,0,0.5625,8-20,0.375,15-30
11,1,0.625,8-15,0.5625,8-20
11,2,0.625,8-30,0.25,15-30
11,3,0.625,8-30,0.5,8-20
11,4,0.5,8-20,0.3125,8-30
11,5,0.75,8-20,0.75,8-20
11,6,0.625,8-12,0.625,8-15
11,7,0.625,20-30,0.375,8-12
11,8,0.6875,8-12,0.4375,20-30
11,9,0.625,8-12,0.625,8-12
12,0,0.6875,15-20,0.4375,20-30
12,1,0.625,15-20,0.625,15-20
12,2,0.5625,20-30,0.4375,15-20
12,3,0.5,8-30,0.375,8-12
12,4,0.6875,12-20,0.375,8-15
12,5,0.75,15-20,0.5625,20-30
12,6,0.625,15-20,0.625,15-20
12,7,0.6875,15-20,0.6875,15-20
12,8,0.625,15-30,0.625,15-30
12,9,0.625,12-20,0.4375,20-30
13,0,0.5625,8-15,0.3125,8-30
13,1,0.6875,20-30,0.5625,8-15
13,2,0.625,15-30,0.375,20-30
13,3,0.625,8-20,0.25,12-20
13,4,0.375,8-12,0.375,8-15
13,5,0.6875,8-20,0.6875,8-30
13,6,0.75,20-30,0.5625,8-20
13,7,0.6875,8-12,0.625,8-20
13,8,0.5625,8-15,0.5,20-30
13,9,0.75,8-30,0.625,8-15
14,0,0.4375,15-20,0.375,8-20
14,1,0.6875,15-20,0.375,20-30
14,2,0.5,15-20,0.25,15-30
14,3,0.75,12-20,0.3125,8-12
14,4,0.4375,15-20,0.4375,15-20
14,5,0.4375,12-20,0.4375,12-20
14,6,0.5625,20-30,0.5625,20-30
14,7,0.6875,15-30,0.25,8-12
14,8,0.5625,20-30,0.3125,15-20
14,9,0.3125,20-30,0.1875,15-20
15,0,0.625,20-30,0.5625,8-30
15,1,0.375,8-20,0.25,15-20
15,2,0.875,8-30,0.5625,8-15
15,3,0.5625,8-20,0.5625,8-20
15,4,0.6875,8-15,0.5,8-20
15,5,0.6875,8-12,0.5,8-20
15,6,0.75,8-15,0.625,8-30
15,7,0.625,12-20,0.5625,8-12
15,8,0.6875,8-15,0.5625,8-20
15,9,0.75,15-20,0.625,8-20
16,0,0.5625,20-30,0.4375,8-30
16,1,0.5625,8-30,0.375,15-20
16,2,0.5,8-20,0.4375,8-30
16,3,0.625,15-20,0.375,12-20
16,4,0.5625,20-30,0.3125,15-20
16,5,0.5625,20-30,0.25,8-20
16,6,0.5625,15-20,0.4375,20-30
16,7,0.5,12-20,0.4375,20-30
16,8,0.3125,8-30,0.3125,8-30
16,9,0.5,8-15,0.4375,8-12
17,0,0.625,8-30,0.5625,8-15
17,1,0.5625,8-30,0.3125,12-20
17,2,0.625,15-20,0.3125,8-12
17,3,0.6875,20-30,0.5,8-15
17,4,0.625,15-30,0.375,8-15
17,5,0.4375,15-20,0.25,8-12
17,6,0.5625,12-20,0.5,15-20
17,7,0.5625,8-20,0.4375,8-15
17,8,0.6875,20-30,0.375,15-30
17,9,0.4375,8-12,0.3125,8-30
18,0,0.6875,8-20,0.6875,8-20
18,1,0.75,8-12,0.5625,20-30
18,2,0.5625,8-30,0.5625,8-15
18,3,0.5,8-12,0.375,8-20
18,4,0.6875,8-20,0.6875,8-30
18,5,0.625,8-12,0.5,8-30
18,6,0.5625,8-20,0.5,20-30
18,7,0.6875,8-30,0.4375,8-12
18,8,0.6875,8-30,0.5,12-20
18,9,0.5625,8-30,0.375,15-30
19,0,0.5625,8-20,0.375,15-20
19,1,0.5,8-20,0.375,15-20
19,2,0.625,12-20,0.4375,8-15
19,3,0.4375,8-20,0.25,15-20
19,4,0.5625,8-20,0.3125,15-30
19,5,0.625,8-20,0.5625,15-20
19,6,0.625,15-20,0.5625,12-20
19,7,0.625,8-20,0.375,12-20
19,8,0.5625,8-12,0.5625,15-20
19,9,0.5625,8-20,0.3125,8-12
20,0,0.75,8-30,0.75,20-30
20,1,0.8125,15-30,0.75,12-20
20,2,0.75,12-20,0.375,8-12
20,3,0.8125,15-30,0.8125,15-30
20,4,0.75,12-20,0.625,15-30
20,5,0.875,15-30,0.75,15-20
20,6,0.75,8-30,0.6875,8-20
20,7,0.8125,15-20,0.75,15-30
20,8,0.75,8-30,0.6875,15-30
20,9,0.6875,15-20,0.5,12-20
21,0,0.5,8-20,0.4375,8-15
21,1,0.6875,8-12,0.5625,8-15
21,2,0.625,15-30,0.625,8-15
21,3,0.6875,8-15,0.375,15-20
21,4,0.6875,20-30,0.5625,8-30
21,5,0.6875,15-30,0.4375,8-12
21,6,0.5,8-12,0.375,8-20
21,7,0.5,15-30,0.3125,8-15
21,8,0.5,8-30,0.4375,8-15
21,9,0.625,15-30,0.5625,8-15
22,0,0.5,8-12,0.4375,12-20
22,1,0.6875,8-30,0.4375,8-12
22,2,0.8125,8-15,0.375,12-20
22,3,0.8125,8-12,0.6875,8-20
22,4,0.75,8-20,0.5625,8-12
22,5,0.875,8-15,0.3125,15-20
22,6,0.75,8-12,0.75,8-15
22,7,0.75,8-15,0.5,20-30
22,8,0.75,8-30,0.75,8-30
22,9,0.4375,8-20,0.3125,8-30
23,0,0.875,8-20,0.75,8-30
23,1,0.8125,8-30,0.8125,8-30
23,2,0.8125,8-20,0.6875,15-20
23,3,0.875,12-20,0.6875,8-30
23,4,0.75,8-20,0.75,8-30
23,5,0.6875,8-30,0.6875,8-30
23,6,0.875,12-20,0.375,8-12
23,7,0.75,8-30,0.375,15-20
23,8,0.8125,8-30,0.75,8-20
23,9,0.875,8-20,0.6875,12-20
24,0,0.5,8-12,0.375,8-20
24,1,0.75,20-30,0.5,15-20
24,2,0.5625,15-30,0.375,12-20
24,3,0.5625,8-12,0.5625,20-30
24,4,0.6875,12-20,0.4375,15-20
24,5,0.6875,20-30,0.6875,20-30
24,6,0.5625,15-30,0.4375,15-20
24,7,0.5625,8-30,0.375,8-12
24,8,0.5625,15-20,0.5,8-20
24,9,0.5625,15-20,0.4375,20-30
25,0,0.6875,20-30,0.6875,20-30
25,1,0.8125,15-30,0.5,15-20
25,2,0.75,20-30,0.25,8-15
25,3,0.5625,20-30,0.5625,20-30
25,4,0.5625,8-30,0.5625,12-20
25,5,0.5625,8-30,0.5,15-30
25,6,0.75,15-30,0.5625,8-30
25,7,0.6875,20-30,0.6875,20-30
25,8,0.6875,20-30,0.5,15-30
25,9,0.75,15-30,0.5625,8-20
26,0,0.6875,8-20,0.5625,15-20
26,1,0.75,8-20,0.625,15-20
26,2,0.625,8-12,0.5625,15-30
26,3,0.625,8-20,0.4375,15-30
26,4,0.8125,8-15,0.75,8-12
26,5,0.625,8-12,0.5,8-15
26,6,0.75,8-20,0.4375,15-20
26,7,0.875,8-12,0.5625,15-20
26,8,0.6875,15-30,0.5625,8-12
26,9,0.75,15-20,0.5625,8-30
27,0,0.4375,12-20,0.4375,12-20
27,1,0.5,20-30,0.3125,8-30
27,2,0.5625,12-20,0.4375,8-15
27,3,0.625,12-20,0.625,12-20
27,4,0.625,15-30,0.375,8-20
27,5,0.5,8-30,0.4375,15-30
27,6,0.5625,8-15,0.5,8-30
27,7,0.5625,8-20,0.5625,20-30
27,8,0.5625,12-20,0.5625,12-20
27,9,0.4375,12-20,0.25,8-12
28,0,0.875,15-30,0.875,15-30
28,1,0.75,15-30,0.75,15-30
28,2,0.6875,8-15,0.5,20-30
28,3,0.75,8-30,0.75,8-30
28,4,0.75,8-30,0.5625,20-30
28,5,0.75,15-30,0.5625,8-20
28,6,0.75,8-12,0.6875,8-20
28,7,0.75,8-20,0.625,15-20
28,8,0.6875,8-20,0.6875,15-20
28,9,0.75,8-30,0.625,15-20
29,0,0.5,15-30,0.3125,8-20
29,1,0.3125,8-15,0.3125,8-15
29,2,0.5625,8-12,0.4375,8-20
29,3,0.5625,8-15,0.1875,20-30
29,4,0.625,8-15,0.5625,8-30
29,5,0.5625,8-15,0.375,8-12
29,6,0.625,8-12,0.625,8-12
29,7,0.5,12-20,0.375,8-30
29,8,0.5,15-30,0.5,8-15
29,9,0.5,15-30,0.125,15-20
30,0,0.625,8-30,0.5,20-30
30,1,0.75,8-15,0.625,8-30
30,2,0.75,8-12,0.6875,8-20
30,3,0.75,8-20,0.4375,12-20
30,4,0.75,8-20,0.6875,8-15
30,5,0.75,8-30,0.5,12-20
30,6,0.6875,8-12,0.625,8-20
30,7,0.625,20-30,0.4375,15-30
30,8,0.75,8-20,0.375,20-30
30,9,0.6875,15-30,0.625,8-30
31,0,0.625,15-20,0.375,20-30
31,1,0.4375,12-20,0.1875,15-30
31,2,0.5625,15-20,0.5625,15-20
31,3,0.625,8-15,0.625,8-15
31,4,0.625,15-20,0.625,15-20
31,5,0.625,8-15,0.1875,20-30
31,6,0.4375,8-30,0.4375,8-15
31,7,0.375,8-20,0.125,20-30
31,8,0.75,15-20,0.3125,20-30
31,9,0.375,20-30,0.1875,15-30
32,0,0.5625,15-20,0.1875,8-20
32,1,0.5625,15-30,0.3125,20-30
32,2,0.375,12-20,0.25,20-30
32,3,0.5625,15-30,0.5,8-12
32,4,0.625,8-12,0.1875,8-20
32,5,0.625,8-12,0.5,8-15
32,6,0.5625,12-20,0.4375,20-30
32,7,0.5625,8-12,0.5625,15-20
32,8,0.625,15-30,0.5625,15-20
32,9,0.6875,8-12,0.5,15-20
33,0,0.5625,15-20,0.4375,12-20
33,1,0.5,15-20,0.3125,12-20
33,2,0.6875,8-12,0.625,12-20
33,3,0.5,8-30,0.4375,20-30
33,4,0.5625,8-20,0.5,12-20
33,5,0.5625,12-20,0.4375,15-20
33,6,0.5,8-12,0.4375,12-20
33,7,0.625,8-20,0.5625,12-20
33,8,0.4375,15-30,0.3125,8-20
33,9,0.5,15-20,0.4375,12-20
34,0,0.375,8-20,0.3125,15-30
34,1,0.5,12-20,0.5,20-30
34,2,0.5625,15-20,0.375,8-12
34,3,0.6875,12-20,0.4375,15-30
34,4,0.6875,12-20,0.5,8-20
34,5,0.5625,20-30,0.4375,12-20
34,6,0.375,8-30,0.25,8-15
34,7,0.5,20-30,0.375,15-20
34,8,0.4375,20-30,0.25,12-20
34,9,0.4375,8-30,0.375,15-20
35,0,0.625,20-30,0.375,8-15
35,1,0.5625,8-12,0.4375,8-30
35,2,0.625,8-12,0.4375,15-30
35,3,0.375,15-30,0.1875,20-30
35,4,0.5,15-20,0.25,8-12
35,5,0.5625,20-30,0.375,8-12
35,6,0.6875,8-30,0.5625,8-15
35,7,0.6875,15-20,0.5625,8-30
35,8,0.75,15-30,0.5,8-20
35,9,0.6875,15-20,0.625,8-12
36,0,0.5625,12-20,0.5625,12-20
36,1,0.625,12-20,0.625,12-20
36,2,0.5625,20-30,0.4375,12-20
36,3,0.5625,20-30,0.4375,12-20
36,4,0.5625,8-20,0.4375,12-20
36,5,0.625,20-30,0.4375,12-20
36,6,0.6875,12-20,0.375,20-30
36,7,0.75,12-20,0.4375,8-15
36,8,0.625,12-20,0.625,12-20
36,9,0.5,8-20,0.5,12-20
37,0,0.875,15-30,0.875,15-30
37,1,0.75,15-30,0.75,15-30
37,2,0.5625,15-30,0.5625,20-30
37,3,0.8125,20-30,0.75,15-30
37,4,0.6875,20-30,0.6875,20-30
37,5,0.75,15-30,0.75,15-30
37,6,0.875,15-30,0.875,15-30
37,7,0.875,15-30,0.8125,20-30
37,8,0.875,20-30,0.8125,15-30
37,9,0.75,15-30,0.75,15-30
38,0,0.5625,8-30,0.5625,20-30
38,1,0.75,8-30,0.75,8-30
38,2,0.75,15-30,0.625,20-30
38,3,0.625,20-30,0.5,8-30
38,4,0.6875,20-30,0.5625,8-30
38,5,0.5625,8-20,0.5,8-30
38,6,0.625,8-30,0.5,15-30
38,7,0.75,20-30,0.75,20-30
38,8,0.6875,8-30,0.5625,8-15
38,9,0.5625,15-20,0.5625,20-30
39,0,0.5625,8-12,0.5,8-20
39,1,0.6875,8-20,0.4375,15-30
39,2,0.5625,20-30,0.3125,8-30
39,3,0.5625,8-30,0.375,15-30
39,4,0.5,8-20,0.375,8-12
39,5,0.5625,8-30,0.5625,20-30
39,6,0.4375,20-30,0.375,15-30
39,7,0.75,8-20,0.625,8-30
39,8,0.625,12-20,0.625,12-20
39,9,0.5,15-30,0.3125,20-30
40,0,0.875,20-30,0.6875,15-30
40,1,0.875,20-30,0.8125,15-20
40,2,0.6875,8-20,0.6875,8-20
40,3,0.8125,20-30,0.75,15-30
40,4,0.75,15-30,0.375,8-12
40,5,0.625,8-30,0.625,8-30
40,6,0.9375,20-30,0.75,15-30
40,7,0.75,20-30,0.6875,8-30
40,8,0.875,12-20,0.5625,8-12
40,9,0.8125,8-30,0.75,15-30
41,0,0.625,20-30,0.3125,12-20
41,1,0.625,20-30,0.375,12-20
41,2,0.75,20-30,0.75,20-30
41,3,0.4375,20-30,0.4375,20-30
41,4,0.625,20-30,0.3125,8-15
41,5,0.5625,20-30,0.375,15-30
41,6,0.625,20-30,0.625,20-30
41,7,0.5625,20-30,0.4375,8-30
41,8,0.625,15-30,0.3125,15-20
41,9,0.375,8-30,0.3125,15-30
42,0,0.5,12-20,0.3125,8-20
42,1,0.625,8-30,0.4375,20-30
42,2,0.5,15-20,0.5,20-30
42,3,0.8125,8-30,0.625,20-30
42,4,0.5,20-30,0.3125,8-20
42,5,0.6875,15-30,0.375,8-20
42,6,0.625,12-20,0.4375,20-30
42,7,0.625,8-15,0.4375,12-20
42,8,0.625,12-20,0.5,8-30
42,9,0.75,15-30,0.5,8-30
43,0,0.5625,8-30,0.25,20-30
