subject_id,n_trials,trigger_detected,fallback_used,class_counts
1,40,40,0,"[20, 20]"
2,40,40,0,"[20, 20]"
3,40,40,0,"[20, 20]"
4,40,40,0,"[20, 20]"
5,40,40,0,"[20, 20]"
6,40,40,0,"[20, 20]"
7,40,40,0,"[20, 20]"
8,40,40,0,"[20, 20]"
9,40,40,0,"[20, 20]"
10,40,40,0,"[20, 20]"
11,40,40,0,"[20, 20]"
12,40,40,0,"[20, 20]"
13,40,40,0,"[20, 20]"
14,40,40,0,"[20, 20]"
15,40,40,0,"[20, 20]"
16,40,40,0,"[20, 20]"
17,40,40,0,"[20, 20]"
18,40,40,0,"[20, 20]"
19,40,40,0,"[20, 20]"
20,40,40,0,"[20, 20]"
21,40,40,0,"[20, 20]"
22,40,40,0,"[20, 20]"
23,40,40,0,"[20, 20]"
24,40,40,0,"[20, 20]"
25,40,40,0,"[20, 20]"
26,40,40,0,"[20, 20]"
27,40,40,0,"[20, 20]"
28,40,40,0,"[20, 20]"
29,40,40,0,"[20, 20]"
30,40,40,0,"[20, 20]"
31,40,40,0,"[20, 20]"
32,40,40,0,"[20, 20]"
33,40,40,0,"[20, 20]"
34,40,40,0,"[20, 20]"
35,40,40,0,"[20, 20]"
36,40,40,0,"[20, 20]"
37,40,40,0,"[20, 20]"
38,40,40,0,"[20, 20]"
39,40,40,0,"[20, 20]"
40,40,40,0,"[20, 20]"
41,40,40,0,"[20, 20]"
42,40,40,0,"[20, 20]"
43,40,40,0,"[20, 20]"
44,40,40,0,"[20, 20]"
45,40,40,0,"[20, 20]"
46,40,40,0,"[20, 20]"
47,40,40,0,"[20, 20]"
48,40,40,0,"[20, 20]"
49,40,40,0,"[20, 20]"
50,40,40,0,"[20, 20]"
