subject_id,window_start_s,band,mean_balanced_accuracy,std_balanced_accuracy,collapse_rate
1,0.0,16-20,0.6,0.24238399287081644,0.0
10,2.0,24-28,0.725,0.18371173070873836,0.0
11,1.5,8-12,0.7,0.1695582495781317,0.0
12,2.0,18-22,0.7,0.18708286933869706,0.0
13,2.0,22-26,0.575,0.09999999999999999,0.0
14,1.0,14-18,0.7,0.15,0.2
15,1.0,18-22,0.725,0.09354143466934853,0.0
16,0.5,14-18,0.675,0.18708286933869706,0.0
17,0.0,10-14,0.65,0.1457737973711325,0.0
18,1.0,14-18,0.625,0.11180339887498948,0.0
19,1.0,20-24,0.675,0.18708286933869706,0.0
2,2.0,20-24,0.625,0.07905694150420949,0.0
20,1.5,10-14,0.625,0.22360679774997896,0.0
21,2.0,8-12,0.525,0.1224744871391589,0.0
22,2.0,18-22,0.675,0.09999999999999999,0.2
23,1.5,10-14,0.775,0.09354143466934853,0.0
24,0.0,8-12,0.6,0.18371173070873836,0.0
25,1.0,16-20,0.75,0.11180339887498948,0.0
26,2.0,10-14,0.6,0.16583123951777,0.0
27,2.0,26-30,0.725,0.16583123951777,0.0
28,1.5,18-22,0.75,0.11180339887498948,0.0
29,0.5,20-24,0.725,0.16583123951777,0.0
3,1.5,10-14,0.7,0.1274754878398196,0.0
30,2.0,20-24,0.75,0.11180339887498948,0.0
31,1.5,8-12,0.65,0.049999999999999996,0.0
32,2.0,10-14,0.625,0.07905694150420949,0.0
33,0.5,20-24,0.6,0.2669269563007828,0.0
34,0.0,8-12,0.55,0.15,0.0
35,0.5,8-12,0.625,0.13693063937629152,0.0
36,2.0,14-18,0.65,0.09354143466934853,0.0
37,0.0,18-22,0.775,0.09354143466934853,0.0
38,2.0,22-26,0.65,0.16583123951777,0.0
39,1.5,8-12,0.6,0.2,0.0
4,2.0,12-16,0.65,0.16583123951777,0.0
40,2.0,22-26,0.85,0.09354143466934853,0.0
41,0.5,12-16,0.625,0.13693063937629152,0.0
42,0.0,22-26,0.65,0.1457737973711325,0.2
43,2.0,12-16,0.575,0.1274754878398196,0.0
44,0.0,22-26,0.725,0.18371173070873836,0.0
45,0.5,22-26,0.675,0.1274754878398196,0.0
46,1.5,8-12,0.675,0.09999999999999999,0.0
47,0.5,10-14,0.7,0.21794494717703367,0.0
48,1.5,8-12,0.675,0.1274754878398196,0.0
49,0.5,12-16,0.7,0.1695582495781317,0.0
5,1.5,12-16,0.775,0.18371173070873836,0.0
50,0.5,20-24,0.8,0.1695582495781317,0.0
6,0.5,14-18,0.6,0.22912878474779202,0.0
7,2.0,26-30,0.725,0.09354143466934853,0.0
8,0.0,22-26,0.7,0.09999999999999999,0.0
9,0.5,24-28,0.575,0.1,0.0
