subject,session,run,recording_key,annotation_index,description,onset_s,duration_s,onset_sample_floor,onset_sample_round,duration_samples_floor,duration_samples_round,sfreq
1,0,0,1::0::0,0,left_hand,4.006,4.0,2003,2003,2000,2000,500.0
1,0,0,1::0::0,1,right_hand,8.01,4.0,4005,4005,2000,2000,500.0
1,0,0,1::0::0,2,left_hand,10.0,4.0,5000,5000,2000,2000,500.0
1,0,0,1::0::0,3,right_hand,12.004,4.0,6002,6002,2000,2000,500.0
1,0,0,1::0::0,4,left_hand,16.006,4.0,8003,8003,2000,2000,500.0
1,0,0,1::0::0,5,right_hand,18.0,4.0,9000,9000,2000,2000,500.0
1,0,0,1::0::0,6,left_hand,20.004,4.0,10002,10002,2000,2000,500.0
1,0,0,1::0::0,7,right_hand,24.004,4.0,12002,12002,2000,2000,500.0
1,0,0,1::0::0,8,left_hand,26.0,4.0,13000,13000,2000,2000,500.0
1,0,0,1::0::0,9,right_hand,28.006,4.0,14003,14003,2000,2000,500.0
1,0,0,1::0::0,10,left_hand,32.008,4.0,16004,16004,2000,2000,500.0
1,0,0,1::0::0,11,right_hand,34.0,4.0,17000,17000,2000,2000,500.0
1,0,0,1::0::0,12,left_hand,36.006,4.0,18003,18003,2000,2000,500.0
1,0,0,1::0::0,13,right_hand,40.01,4.0,20005,20005,2000,2000,500.0
1,0,0,1::0::0,14,left_hand,42.0,4.0,21000,21000,2000,2000,500.0
1,0,0,1::0::0,15,right_hand,44.006,4.0,22003,22003,2000,2000,500.0
1,0,0,1::0::0,16,left_hand,48.01,4.0,24005,24005,2000,2000,500.0
1,0,0,1::0::0,17,right_hand,50.0,4.0,25000,25000,2000,2000,500.0
1,0,0,1::0::0,18,left_hand,52.006,4.0,26003,26003,2000,2000,500.0
1,0,0,1::0::0,19,right_hand,56.006,4.0,28003,28003,2000,2000,500.0
1,0,0,1::0::0,20,left_hand,58.0,4.0,29000,29000,2000,2000,500.0
1,0,0,1::0::0,21,right_hand,60.006,4.0,30003,30003,2000,2000,500.0
1,0,0,1::0::0,22,left_hand,64.006,4.0,32003,32003,2000,2000,500.0
1,0,0,1::0::0,23,right_hand,66.0,4.0,33000,33000,2000,2000,500.0
1,0,0,1::0::0,24,left_hand,68.006,4.0,34003,34003,2000,2000,500.0
1,0,0,1::0::0,25,right_hand,72.01,4.0,36005,36005,2000,2000,500.0
1,0,0,1::0::0,26,left_hand,74.0,4.0,37000,37000,2000,2000,500.0
1,0,0,1::0::0,27,right_hand,76.006,4.0,38003,38003,2000,2000,500.0
1,0,0,1::0::0,28,left_hand,80.01,4.0,40005,40005,2000,2000,500.0
1,0,0,1::0::0,29,right_hand,82.0,4.0,41000,41000,2000,2000,500.0
1,0,0,1::0::0,30,left_hand,84.008,4.0,42004,42004,2000,2000,500.0
1,0,0,1::0::0,31,right_hand,88.012,4.0,44006,44006,2000,2000,500.0
1,0,0,1::0::0,32,left_hand,90.0,4.0,45000,45000,2000,2000,500.0
1,0,0,1::0::0,33,right_hand,92.006,4.0,46003,46003,2000,2000,500.0
1,0,0,1::0::0,34,left_hand,96.006,4.0,48003,48003,2000,2000,500.0
1,0,0,1::0::0,35,right_hand,98.0,4.0,49000,49000,2000,2000,500.0
1,0,0,1::0::0,36,left_hand,100.006,4.0,50003,50003,2000,2000,500.0
1,0,0,1::0::0,37,right_hand,104.006,4.0,52003,52003,2000,2000,500.0
1,0,0,1::0::0,38,left_hand,106.0,4.0,53000,53000,2000,2000,500.0
10,0,0,10::0::0,0,left_hand,4.008,4.0,2004,2004,2000,2000,500.0
10,0,0,10::0::0,1,right_hand,8.008,4.0,4003,4004,2000,2000,500.0
10,0,0,10::0::0,2,left_hand,10.0,4.0,5000,5000,2000,2000,500.0
10,0,0,10::0::0,3,right_hand,12.004,4.0,6002,6002,2000,2000,500.0
