dataset_name,subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
Lee2019_MI,48,1,0.5,0.5,"[14, 26]",0.65,False,1,0.03559492,0.00393341,0.03129508,True,0.5322198,0.99512767,2302
Lee2019_MI,48,2,0.45,0.45,"[22, 18]",0.55,False,0,0.09241923,0.0131624,0.08125505,True,0.56412681,0.98222046,2302
Lee2019_MI,48,3,0.4,0.4,"[26, 14]",0.65,False,0,0.03449607,0.00395374,0.03032897,True,0.53275801,0.99514229,2302
Lee2019_MI,48,4,0.475,0.47500000000000003,"[23, 17]",0.575,False,0,0.03720177,0.00394735,0.03270782,True,0.53455167,0.99407311,2302
Lee2019_MI,48,5,0.55,0.55,"[18, 22]",0.55,False,1,0.32185883,0.05565159,0.28297851,True,0.63460895,0.92107281,2302
Lee2019_MI,49,1,0.325,0.325,"[29, 11]",0.725,False,0,0.03903977,0.00398418,0.03432379,True,0.5476061,0.99071274,2302
Lee2019_MI,49,2,0.6,0.6,"[14, 26]",0.65,False,1,0.40542005,0.08120222,0.3564456,True,0.64028631,0.90357386,2302
Lee2019_MI,49,3,0.7,0.7,"[26, 14]",0.65,False,0,0.45033193,0.08267412,0.39593215,True,0.67827076,0.85960565,2302
Lee2019_MI,49,4,0.675,0.675,"[17, 23]",0.575,False,1,0.6351088,0.11033554,0.55838811,True,0.70466701,0.81307736,2302
Lee2019_MI,49,5,0.6,0.6,"[20, 20]",0.5,False,0,0.50645025,0.10086159,0.44527142,True,0.68466806,0.86059788,2302
Lee2019_MI,50,1,0.5,0.5,"[18, 22]",0.55,False,1,0.39931514,0.05763001,0.35107815,True,0.63867919,0.90500361,2302
Lee2019_MI,50,2,0.55,0.55,"[18, 22]",0.55,False,1,0.03592072,0.00396798,0.03158152,True,0.5332687,0.99489875,2302
Lee2019_MI,50,3,0.55,0.55,"[26, 14]",0.65,False,0,0.03716824,0.00399958,0.03267835,True,0.53865805,0.99274407,2302
Lee2019_MI,50,4,0.35,0.35,"[18, 22]",0.55,False,1,0.04050907,0.0039735,0.0356156,True,0.53063478,0.99580765,2302
Lee2019_MI,50,5,0.425,0.425,"[17, 23]",0.575,False,1,0.03728745,0.00395523,0.03278315,True,0.53895193,0.99397403,2302
Lee2019_MI,51,1,0.425,0.425,"[23, 17]",0.575,False,0,0.11053187,0.01704643,0.09717969,True,0.55199727,0.98661078,2302
Lee2019_MI,51,2,0.425,0.42500000000000004,"[21, 19]",0.525,False,0,0.03669865,0.00398465,0.03226548,True,0.53582001,0.99435681,2302
Lee2019_MI,51,3,0.55,0.55,"[16, 24]",0.6,False,1,0.27873742,0.04612652,0.24506613,True,0.59607217,0.96073993,2302
Lee2019_MI,51,4,0.525,0.525,"[17, 23]",0.575,False,1,0.10200913,0.01442126,0.0896865,True,0.55034474,0.98908462,2302
Lee2019_MI,51,5,0.55,0.55,"[16, 24]",0.6,False,1,0.28794404,0.04622603,0.2531606,True,0.63997539,0.91401078,2302
Lee2019_MI,52,1,0.625,0.625,"[17, 23]",0.575,False,1,0.2208607,0.0443859,0.19418088,True,0.61939532,0.94042822,2302
Lee2019_MI,52,2,0.5,0.5,"[18, 22]",0.55,False,1,0.70648429,0.15113343,0.62114148,True,0.74220323,0.72984198,2302
Lee2019_MI,52,3,0.675,0.675,"[17, 23]",0.575,False,1,0.48321772,0.09425216,0.42484536,True,0.70760873,0.7956784,2302
Lee2019_MI,52,4,0.6,0.6,"[20, 20]",0.5,False,0,0.4384378,0.07417103,0.38547482,True,0.67968251,0.84650304,2302
Lee2019_MI,52,5,0.575,0.575,"[15, 25]",0.625,False,1,0.29493048,0.05230385,0.25930309,True,0.61358267,0.94692828,2302
Lee2019_MI,53,1,0.525,0.5249999999999999,"[27, 13]",0.675,False,0,0.04340798,0.00400522,0.03816433,True,0.53553621,0.9941935,2302
Lee2019_MI,53,2,0.5,0.5,"[20, 20]",0.5,False,0,0.39758547,0.071883,0.34955743,True,0.66109338,0.89058617,2302
Lee2019_MI,53,3,0.35,0.35,"[22, 18]",0.55,False,0,0.15926547,0.02773248,0.14002631,True,0.5708848,0.97662698,2302
Lee2019_MI,53,4,0.55,0.55,"[22, 18]",0.55,False,0,0.03736489,0.00399137,0.03285124,True,0.53321153,0.99515668,2302
Lee2019_MI,53,5,0.5,0.5,"[24, 16]",0.6,False,0,0.21813504,0.03416847,0.19178448,True,0.60912592,0.94958878,2302
Lee2019_MI,54,1,0.575,0.575,"[13, 27]",0.675,False,1,0.36805207,0.06360919,0.32359164,True,0.65304245,0.89579605,2302
Lee2019_MI,54,2,0.575,0.575,"[13, 27]",0.675,False,1,0.05439972,0.00771772,0.04782827,True,0.5358832,0.9937982,2302
Lee2019_MI,54,3,0.45,0.45,"[20, 20]",0.5,False,0,0.03594089,0.00394932,0.03159926,True,0.53969895,0.99349087,2302
Lee2019_MI,54,4,0.6,0.6,"[20, 20]",0.5,False,0,0.04914032,0.00733665,0.0432042,True,0.52782471,0.99619464,2302
Lee2019_MI,54,5,0.6,0.6,"[20, 20]",0.5,False,0,0.24034143,0.04082599,0.21130835,True,0.62872325,0.91256049,2302
