dataset_name,subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
PhysionetMI,1,1,0.4444444444444444,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.5076312,0.99982185,1798
PhysionetMI,1,2,0.4444444444444444,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50749025,0.99982883,1798
PhysionetMI,1,3,0.5555555555555556,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50741792,0.999819,1798
PhysionetMI,1,4,0.5555555555555556,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50958446,0.99972708,1798
PhysionetMI,1,5,0.5555555555555556,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50749901,0.99982725,1798
PhysionetMI,2,1,0.5555555555555556,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50810795,0.99980369,1798
PhysionetMI,2,2,0.5555555555555556,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50884498,0.99976303,1798
PhysionetMI,2,3,0.5555555555555556,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50881457,0.99976269,1798
PhysionetMI,2,4,0.4444444444444444,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50852558,0.99978169,1798
PhysionetMI,2,5,0.4444444444444444,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50755343,0.99980727,1798
PhysionetMI,3,1,0.4444444444444444,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50758296,0.999822,1798
PhysionetMI,3,2,0.4444444444444444,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50657347,0.99986943,1798
PhysionetMI,3,3,0.5555555555555556,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.5098695,0.99969333,1798
PhysionetMI,3,4,0.5555555555555556,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50804206,0.99980529,1798
PhysionetMI,3,5,0.5555555555555556,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50870413,0.99975823,1798
PhysionetMI,4,1,0.5555555555555556,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50934995,0.99974236,1798
PhysionetMI,4,2,0.5555555555555556,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50859225,0.99977221,1798
PhysionetMI,4,3,0.5555555555555556,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50617535,0.99987061,1798
PhysionetMI,4,4,0.4444444444444444,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50911207,0.99973254,1798
PhysionetMI,4,5,0.4444444444444444,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50647243,0.99985527,1798
PhysionetMI,5,1,0.4444444444444444,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50896623,0.99976014,1798
PhysionetMI,5,2,0.4444444444444444,0.5,"[9, 0]",1.0,True,0,0.0,0.0,0.0,False,0.50960089,0.99972235,1798
