dataset_name,subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
Weibo2014,1,1,0.59375,0.59375,"[19, 13]",0.59375,False,0,0.67059356,0.14147928,0.58849797,True,0.57884425,0.97555618,2294
Weibo2014,1,2,0.4375,0.4375,"[12, 20]",0.625,False,1,0.63958208,0.14553453,0.56128299,True,0.59084829,0.96048673,2294
Weibo2014,1,3,0.5625,0.5625,"[10, 22]",0.6875,False,1,0.69325642,0.15213752,0.6083864,True,0.60108893,0.95692552,2294
Weibo2014,1,4,0.53125,0.53125,"[21, 11]",0.65625,False,0,0.75776024,0.14648271,0.66499352,True,0.60162094,0.95693018,2294
Weibo2014,1,5,0.65625,0.65625,"[13, 19]",0.59375,False,1,0.65484615,0.13738826,0.5746784,True,0.5614758,0.98266169,2294
Weibo2014,2,1,0.53125,0.53125,"[15, 17]",0.53125,False,1,0.66427006,0.11064325,0.58294861,True,0.54114677,0.99266577,2294
Weibo2014,2,2,0.53125,0.53125,"[19, 13]",0.59375,False,0,0.64522492,0.11651149,0.56623502,True,0.54111414,0.99342353,2294
Weibo2014,2,3,0.5,0.5,"[22, 10]",0.6875,False,0,0.66887764,0.15221854,0.58699212,True,0.54424782,0.99085337,2294
Weibo2014,2,4,0.4375,0.4375,"[20, 12]",0.625,False,0,0.69797603,0.12655792,0.61252823,True,0.5591935,0.98476104,2294
Weibo2014,2,5,0.5,0.5,"[12, 20]",0.625,False,1,0.74973886,0.14630306,0.65795413,True,0.57333114,0.97397775,2294
Weibo2014,3,1,0.53125,0.53125,"[15, 17]",0.53125,False,1,0.75676766,0.12752799,0.66412245,True,0.54780467,0.99023846,2294
Weibo2014,3,2,0.40625,0.40625,"[17, 15]",0.53125,False,0,0.69414007,0.1320848,0.60916187,True,0.54293423,0.99223314,2294
Weibo2014,3,3,0.5,0.5,"[20, 12]",0.625,False,0,0.71771198,0.1515713,0.62984805,True,0.56656434,0.98027088,2294
Weibo2014,3,4,0.59375,0.59375,"[13, 19]",0.59375,False,1,0.67083626,0.14636056,0.58871096,True,0.54453917,0.99160224,2294
Weibo2014,3,5,0.40625,0.40625,"[17, 15]",0.53125,False,0,0.7373649,0.12951569,0.64709501,True,0.54429966,0.99004266,2294
Weibo2014,4,1,0.71875,0.71875,"[19, 13]",0.59375,False,0,0.67301379,0.16784436,0.59062191,True,0.526155,0.99651745,2294
Weibo2014,4,2,0.75,0.75,"[14, 18]",0.5625,False,1,0.70367205,0.11602259,0.61752692,True,0.54414069,0.9923914,2294
Weibo2014,4,3,0.53125,0.53125,"[17, 15]",0.53125,False,0,0.68480219,0.1337992,0.60096715,True,0.53697667,0.9944906,2294
Weibo2014,4,4,0.5,0.5,"[24, 8]",0.75,False,0,0.67270804,0.12331474,0.5903536,True,0.52896811,0.99536816,2294
Weibo2014,4,5,0.5625,0.5625,"[18, 14]",0.5625,False,0,0.68255646,0.11141317,0.59899635,True,0.53678279,0.99362836,2294
Weibo2014,5,1,0.53125,0.53125,"[7, 25]",0.78125,False,1,0.59154602,0.11859737,0.51912761,True,0.54300266,0.99306215,2294
Weibo2014,5,2,0.625,0.625,"[12, 20]",0.625,False,1,0.57399367,0.10737017,0.50372406,True,0.54506774,0.99078687,2294
Weibo2014,5,3,0.46875,0.46875,"[17, 15]",0.53125,False,0,0.56920558,0.12668845,0.49952214,True,0.52855811,0.99622903,2294
Weibo2014,5,4,0.46875,0.46875,"[15, 17]",0.53125,False,1,0.59331591,0.10668246,0.52068083,True,0.55415458,0.98685151,2294
Weibo2014,5,5,0.59375,0.59375,"[11, 21]",0.65625,False,1,0.51163461,0.10336207,0.44899914,True,0.54109916,0.99225561,2294
Weibo2014,6,1,0.6428571428571429,0.6428571428571428,"[10, 18]",0.64285714,False,1,0.46881341,0.07460818,0.41142021,True,0.52903859,0.9968153,2294
Weibo2014,6,2,0.6071428571428571,0.6071428571428572,"[11, 17]",0.60714286,False,1,0.47493624,0.09153402,0.41679347,True,0.52241773,0.99757354,2294
Weibo2014,6,3,0.6428571428571429,0.6428571428571428,"[12, 16]",0.57142857,False,1,0.46040686,0.09748592,0.40404281,True,0.52400542,0.9973353,2294
Weibo2014,6,4,0.5357142857142857,0.5357142857142857,"[9, 19]",0.67857143,False,1,0.4335648,0.0917428,0.38048682,True,0.52648732,0.99743111,2294
Weibo2014,6,5,0.35714285714285715,0.3571428571428571,"[12, 16]",0.57142857,False,1,0.46817262,0.09196923,0.41085787,True,0.52286093,0.99766259,2294
Weibo2014,7,1,0.4375,0.4375,"[20, 12]",0.625,False,0,0.58564847,0.10116235,0.51395206,True,0.53738143,0.99448863,2294
Weibo2014,7,2,0.625,0.625,"[16, 16]",0.5,False,0,0.68454257,0.1639748,0.60073932,True,0.54631415,0.98974349,2294
Weibo2014,7,3,0.5625,0.5625,"[20, 12]",0.625,False,0,0.68126343,0.13988813,0.59786162,True,0.54628477,0.98680847,2294
Weibo2014,7,4,0.4375,0.4375,"[16, 16]",0.5,False,0,0.68874844,0.12258664,0.6044303,True,0.53827883,0.99386461,2294
Weibo2014,7,5,0.4375,0.4375,"[14, 18]",0.5625,False,1,0.64586936,0.14431461,0.56680057,True,0.53256326,0.99532502,2294
Weibo2014,8,1,0.59375,0.59375,"[19, 13]",0.59375,False,0,0.81595228,0.14344922,0.71606155,True,0.53937598,0.99324229,2294
Weibo2014,8,2,0.40625,0.40625,"[13, 19]",0.59375,False,1,0.68014423,0.13197676,0.59687943,True,0.53763299,0.99357496,2294
Weibo2014,8,3,0.46875,0.46875,"[19, 13]",0.59375,False,0,0.76883454,0.12514507,0.67471207,True,0.53587756,0.99454038,2294
Weibo2014,8,4,0.625,0.625,"[18, 14]",0.5625,False,0,0.61821335,0.13841707,0.54253027,True,0.52717537,0.99669686,2294
