model_name,subject_id,mean_accuracy,std_accuracy,mean_balanced_accuracy,mean_roc_auc,n_folds
CSP_LDA,1,0.5,0.08838834764831843,0.5,0.4125,5
CSP_LDA,10,0.475,0.16298006013006622,0.475,0.5625,5
CSP_LDA,11,0.4,0.270993542358485,0.4,0.4,5
CSP_LDA,12,0.65,0.18540496217739158,0.65,0.6875,5
CSP_LDA,13,0.575,0.14252192813739223,0.575,0.575,5
CSP_LDA,14,0.45,0.14252192813739223,0.45,0.425,5
CSP_LDA,15,0.375,0.23385358667337136,0.375,0.3875,5
CSP_LDA,16,0.45,0.14252192813739226,0.45,0.4125,5
CSP_LDA,17,0.675,0.20916500663351892,0.675,0.625,5
CSP_LDA,18,0.55,0.18957188610128875,0.55,0.45,5
CSP_LDA,19,0.375,0.08838834764831845,0.375,0.325,5
CSP_LDA,2,0.5,0.15309310892394862,0.5,0.4875,5
CSP_LDA,20,0.7,0.06846531968814575,0.7,0.725,5
CSP_LDA,21,0.45,0.27386127875258304,0.45,0.375,5
CSP_LDA,22,0.8,0.06846531968814576,0.8,0.9,5
CSP_LDA,23,0.9,0.10458250331675945,0.9,0.9125,5
CSP_LDA,24,0.5,0.08838834764831845,0.5,0.575,5
CSP_LDA,25,0.475,0.16298006013006622,0.475,0.475,5
CSP_LDA,26,0.525,0.24044230077089182,0.525,0.5625,5
CSP_LDA,27,0.425,0.06846531968814577,0.425,0.3375,5
CSP_LDA,28,0.675,0.06846531968814577,0.675,0.8,5
CSP_LDA,29,0.425,0.14252192813739223,0.425,0.5125,5
CSP_LDA,3,0.425,0.06846531968814576,0.425,0.4,5
CSP_LDA,30,0.55,0.2592055169165965,0.55,0.65,5
CSP_LDA,31,0.45,0.06846531968814576,0.45,0.4125,5
CSP_LDA,32,0.5,0.19764235376052372,0.5,0.5,5
CSP_LDA,33,0.45,0.14252192813739226,0.45,0.3625,5
CSP_LDA,34,0.5,0.15309310892394862,0.5,0.475,5
CSP_LDA,35,0.35,0.13693063937629152,0.35,0.2125,5
CSP_LDA,36,0.35,0.10458250331675945,0.35,0.35,5
CSP_LDA,37,0.675,0.06846531968814577,0.675,0.8,5
CSP_LDA,38,0.4,0.10458250331675945,0.4,0.325,5
CSP_LDA,39,0.6,0.10458250331675945,0.6,0.5875,5
CSP_LDA,4,0.375,0.125,0.375,0.275,5
CSP_LDA,40,0.75,0.23385358667337136,0.75,0.75,5
CSP_LDA,41,0.425,0.27386127875258304,0.425,0.475,5
CSP_LDA,42,0.625,0.1767766952966369,0.625,0.675,5
CSP_LDA,43,0.475,0.10458250331675943,0.475,0.5875,5
CSP_LDA,44,0.6,0.2053959590644373,0.6,0.625,5
CSP_LDA,45,0.575,0.18957188610128875,0.575,0.625,5
CSP_LDA,46,0.45,0.25920551691659655,0.45,0.3625,5
CSP_LDA,47,0.4,0.2404423007708918,0.4,0.4625,5
CSP_LDA,48,0.475,0.055901699437494734,0.475,0.4875,5
CSP_LDA,49,0.45,0.18957188610128875,0.45,0.4375,5
CSP_LDA,5,0.55,0.14252192813739226,0.55,0.575,5
CSP_LDA,50,0.3,0.2270737765573119,0.3,0.375,5
CSP_LDA,6,0.425,0.11180339887498948,0.425,0.3375,5
CSP_LDA,7,0.75,0.15309310892394865,0.75,0.7125,5
CSP_LDA,8,0.45,0.2592055169165965,0.45,0.3875,5
CSP_LDA,9,0.525,0.10458250331675945,0.525,0.5375,5
FBCSP_LDA,1,0.35,0.16298006013006622,0.35,0.4,5
FBCSP_LDA,10,0.45,0.06846531968814576,0.45,0.4375,5
FBCSP_LDA,11,0.5,0.19764235376052372,0.5,0.5125,5
FBCSP_LDA,12,0.45,0.06846531968814576,0.45,0.4625,5
FBCSP_LDA,13,0.625,0.08838834764831845,0.625,0.6875,5
FBCSP_LDA,14,0.475,0.2053959590644373,0.475,0.425,5
FBCSP_LDA,15,0.4,0.18540496217739158,0.4,0.4625,5
FBCSP_LDA,16,0.525,0.10458250331675943,0.525,0.5125,5
FBCSP_LDA,17,0.525,0.16298006013006622,0.525,0.6125,5
FBCSP_LDA,18,0.4,0.16298006013006622,0.4,0.425,5
FBCSP_LDA,19,0.475,0.22360679774997896,0.475,0.4375,5
FBCSP_LDA,2,0.375,0.125,0.375,0.3625,5
FBCSP_LDA,20,0.625,0.2651650429449553,0.625,0.625,5
FBCSP_LDA,21,0.55,0.11180339887498948,0.55,0.65,5
FBCSP_LDA,22,0.65,0.13693063937629152,0.65,0.725,5
FBCSP_LDA,23,0.6,0.2053959590644373,0.6,0.575,5
